IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Dynamic Execution,Masked%,Crash%,INS_type
403d91,xmm5,192837,10886,masked,<_Z15generate_matrixiiiPP24HPC_Sparse_Matrix_STRUCTPPdS3_S3_>,movsd,"movsd, 0x559f(%rip),%xmm5",1,0,0.0,76.23762376237623,23.76237623762376,UnKnown
403dc4,rflags,259538,6122,masked,<_Z15generate_matrixiiiPP24HPC_Sparse_Matrix_STRUCTPPdS3_S3_>,test,"test, %ecx,%ecx",1,0,0.001864,76.47058823529412,23.529411764705884,CONDITION
403f60,r9,308862,5385,crash,<_Z15generate_matrixiiiPP24HPC_Sparse_Matrix_STRUCTPPdS3_S3_>,mov,"mov, 0x48(%r9),%r9",0,1,0.003242,76.69902912621359,23.300970873786408,DATAXFER
403de7,rbp,407458,7221,masked,<_Z15generate_matrixiiiPP24HPC_Sparse_Matrix_STRUCTPPdS3_S3_>,add,"add, $0x1,%ebp",1,0,0.005996,76.92307692307692,23.07692307692308,INTEGER
403d87,rflags,463882,5287,masked,<_Z15generate_matrixiiiPP24HPC_Sparse_Matrix_STRUCTPPdS3_S3_>,cmp,"cmp, %esi,0x20(%rsp)",1,0,0.007573,77.14285714285714,22.857142857142858,CONDITION
403da6,rbp,525093,4872,masked,<_Z15generate_matrixiiiPP24HPC_Sparse_Matrix_STRUCTPPdS3_S3_>,add,"add, $0x1,%ebp",1,0,0.009283,77.35849056603773,22.641509433962263,INTEGER
403d6e,r15,530913,11295,masked,<_Z15generate_matrixiiiPP24HPC_Sparse_Matrix_STRUCTPPdS3_S3_>,add,"add, $0x4,%r15",1,0,0.009446,77.57009345794393,22.42990654205608,INTEGER
403d3b,rflags,1402449,2884,masked,<_Z15generate_matrixiiiPP24HPC_Sparse_Matrix_STRUCTPPdS3_S3_>,cmp,"cmp, %eax,%r12d",1,0,0.033796,77.77777777777777,22.22222222222222,CONDITION
403d42,rflags,1521764,11176,masked,<_Z15generate_matrixiiiPP24HPC_Sparse_Matrix_STRUCTPPdS3_S3_>,cmp,"cmp, %edi,0x8(%rsp)",1,0,0.037129,77.98165137614679,22.01834862385321,CONDITION
403d0c,rax,1717381,1927,masked,<_Z15generate_matrixiiiPP24HPC_Sparse_Matrix_STRUCTPPdS3_S3_>,mov,"mov, 0x4(%rsp),%eax",1,0,0.042595,77.27272727272727,22.727272727272727,DATAXFER
403d42,rflags,2077149,7814,masked,<_Z15generate_matrixiiiPP24HPC_Sparse_Matrix_STRUCTPPdS3_S3_>,cmp,"cmp, %edi,0x8(%rsp)",1,0,0.052646,77.47747747747748,22.52252252252252,CONDITION
403e0c,r9,2301247,10672,masked,<_Z15generate_matrixiiiPP24HPC_Sparse_Matrix_STRUCTPPdS3_S3_>,add,"add, 0xc(%rsp),%r9d",1,0,0.058907,77.67857142857143,22.321428571428573,INTEGER
403de7,rbp,2586353,1867,masked,<_Z15generate_matrixiiiPP24HPC_Sparse_Matrix_STRUCTPPdS3_S3_>,add,"add, $0x1,%ebp",1,0,0.066873,76.99115044247787,23.00884955752212,INTEGER
403dda,r14,3406279,8863,crash,<_Z15generate_matrixiiiPP24HPC_Sparse_Matrix_STRUCTPPdS3_S3_>,add,"add, $0x8,%r14",0,1,0.089781,76.3157894736842,23.68421052631579,INTEGER
403dfc,rdi,3608231,3310,masked,<_Z15generate_matrixiiiPP24HPC_Sparse_Matrix_STRUCTPPdS3_S3_>,add,"add, %r13d,%edi",1,0,0.095423,75.65217391304348,24.347826086956523,INTEGER
403e2a,rdi,3690045,2934,crash,<_Z15generate_matrixiiiPP24HPC_Sparse_Matrix_STRUCTPPdS3_S3_>,mov,"mov, 0x30(%rsp),%rdi",0,1,0.097709,75.86206896551724,24.13793103448276,DATAXFER
403df0,rdx,4137049,14332,crash,<_Z15generate_matrixiiiPP24HPC_Sparse_Matrix_STRUCTPPdS3_S3_>,add,"add, $0x1,%edx",0,1,0.110198,76.06837606837607,23.93162393162393,INTEGER
