IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Dynamic Execution,Masked%,Crash%,INS_type
400cc5,rflags,58135,1479,masked,<bpnn_adjust_weights._omp_fn.1>,add,"add, (%r8,%rax,8),%rcx",1,0,0.0,67.32673267326733,32.67326732673267,INTEGER
400fe4,rax,62330,2164,masked,<bpnn_randomize_weights>,lea,"lea, (%rax,%rbx,4),%rbp",1,0,0.002413,66.66666666666667,33.333333333333336,INTEGER
400daa,rdi,103578,4613,masked,<bpnn_layerforward._omp_fn.0>,cmp,"cmp, %eax,%ecx",1,0,0.026141,66.01941747572816,33.980582524271846,CONDITION
400da6,xmm0,266497,2110,masked,<bpnn_layerforward._omp_fn.0>,add,"add, $0x1,%rax",1,0,0.119858,65.38461538461539,34.61538461538461,INTEGER
400fe8,xmm0,417112,671,crash,<bpnn_randomize_weights>,add,"add, $0x1,%rbx",0,1,0.206498,64.76190476190476,35.23809523809524,INTEGER
400f11,rflags,427181,4129,masked,<alloc_1d_dbl>,shl,"shl, $0x2,%edi",1,0,0.21229,64.15094339622641,35.84905660377358,SHIFT
400fe4,rax,437147,1207,masked,<bpnn_randomize_weights>,lea,"lea, (%rax,%rbx,4),%rbp",1,0,0.218023,64.48598130841121,35.51401869158879,INTEGER
400fe4,rdx,457837,1367,masked,<bpnn_randomize_weights>,lea,"lea, (%rax,%rbx,4),%rbp",1,0,0.229925,64.81481481481481,35.18518518518518,INTEGER
4012eb,rbp,461154,813,masked,<bpnn_create>,cmp,"cmp, %ecx,%ebx",1,0,0.231833,65.13761467889908,34.86238532110092,CONDITION
400cbe,rflags,465594,1490,crash,<bpnn_adjust_weights._omp_fn.1>,add,"add, (%r9,%rax,8),%rdx",0,1,0.234387,64.54545454545455,35.45454545454545,INTEGER
400ff5,rax,467054,3397,masked,<bpnn_randomize_weights>,cmp,"cmp, %ebx,%r12d",1,0,0.235227,63.96396396396396,36.03603603603604,CONDITION
4012eb,xmm0,479900,3567,masked,<bpnn_create>,cmp,"cmp, %ecx,%ebx",1,0,0.242616,64.28571428571429,35.714285714285715,CONDITION
400ccc,rcx,489356,2702,masked,<bpnn_adjust_weights._omp_fn.1>,add,"add, $0x1,%rax",1,0,0.248056,64.60176991150442,35.39823008849557,INTEGER
400cc2,rax,518410,3521,masked,<bpnn_adjust_weights._omp_fn.1>,mov,"mov, %rsi,%rcx",1,0,0.264769,64.03508771929825,35.96491228070175,DATAXFER
400ff8,xmm0,545189,2495,masked,<bpnn_randomize_weights>,mulss,"mulss, 0x1090(%rip),%xmm0",1,0,0.280173,63.47826086956522,36.52173913043478,FP
400ccc,rax,598791,2861,masked,<bpnn_adjust_weights._omp_fn.1>,add,"add, $0x1,%rax",1,0,0.311007,62.93103448275862,37.06896551724138,INTEGER
400ff1,rbx,605639,3148,masked,<bpnn_randomize_weights>,cvtsi2ss,"cvtsi2ss, %eax,%xmm0",1,0,0.314946,62.39316239316239,37.60683760683761,CONVERT
400fe8,rax,637354,1233,masked,<bpnn_randomize_weights>,add,"add, $0x1,%rbx",1,0,0.33319,61.86440677966102,38.13559322033898,INTEGER
4012eb,rflags,653313,1224,crash,<bpnn_create>,cmp,"cmp, %ecx,%ebx",0,1,0.34237,62.18487394957983,37.81512605042017,CONDITION
