IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Dynamic Execution,Masked%,Crash%,INS_type
400b80,rflags,98,4549,masked,<main>,test,"test, %r15d,%r15d",1,0,0.0,84.15841584158416,15.84158415841584,CONDITION
400bc3,rflags,217,927,masked,<main>,cmp,"cmp, %r15d,%eax",1,0,0.026363,84.31372549019608,15.68627450980392,CONDITION
400af7,r13,345,4561,masked,<main>,mov,"mov, %rax,%r13",1,0,0.05472,84.46601941747574,15.533980582524272,DATAXFER
400bb8,xmm2,561,1233,masked,<main>,cvtpd2ps,"cvtpd2ps, %xmm0,%xmm2",1,0,0.102572,84.61538461538461,15.384615384615383,CONVERT
400ba3,xmm0,656,657,masked,<main>,movsd,"movsd, 0x38(%rdx),%xmm0",1,0,0.123618,84.76190476190476,15.238095238095235,UnKnown
400b6c,r14,717,1114,masked,<main>,add,"add, $0x31,%r14",1,0,0.137131,83.9622641509434,16.037735849056602,INTEGER
400b8e,rax,724,2884,crash,<main>,xor,"xor, %eax,%eax",0,1,0.138682,84.11214953271028,15.88785046728972,LOGICAL
400b68,r13,807,2478,masked,<main>,add,"add, $0x1,%r13",1,0,0.15707,84.25925925925925,15.74074074074074,INTEGER
400b7a,r14,894,1796,crash,<main>,xor,"xor, %r14d,%r14d",0,1,0.176343,83.4862385321101,16.513761467889907,LOGICAL
400afa,rbx,961,2209,crash,<main>,mov,"mov, %eax,%ebx",0,1,0.191186,83.63636363636364,16.363636363636363,DATAXFER
400b3d,xmm1,971,4575,masked,<main>,subss,"subss, (%rsp),%xmm1",1,0,0.193402,83.78378378378379,16.216216216216218,FP
400ba8,xmm1,990,2281,masked,<main>,cvtps2pd,"cvtps2pd, %xmm2,%xmm1",1,0,0.197611,83.92857142857143,16.071428571428573,CONVERT
400b0f,r13,1057,3217,crash,<main>,xor,"xor, %r13d,%r13d",0,1,0.212454,84.070796460177,15.929203539823009,LOGICAL
400ba0,xmm2,1092,2481,masked,<main>,unpcklps,"unpcklps, %xmm2,%xmm2",1,0,0.220208,83.33333333333333,16.666666666666668,UnKnown
400b42,xmm0,1152,569,masked,<main>,subss,"subss, 0x4(%rsp),%xmm0",1,0,0.2335,83.47826086956522,16.52173913043478,FP
400b80,rflags,1254,4259,masked,<main>,test,"test, %r15d,%r15d",1,0,0.256097,83.62068965517241,16.379310344827587,CONDITION
400ba0,xmm2,1286,2834,masked,<main>,unpcklps,"unpcklps, %xmm2,%xmm2",1,0,0.263186,83.76068376068376,16.23931623931624,UnKnown
400b70,rflags,1423,1129,masked,<main>,cmp,"cmp, %r13d,%ebx",1,0,0.293536,83.05084745762711,16.949152542372882,CONDITION
400ccc,rdi,1481,2552,masked,<main>,mov,"mov, %rcx,%rdi",1,0,0.306386,83.19327731092437,16.80672268907563,DATAXFER
400bab,rflags,1549,2134,masked,<main>,ucomisd,"ucomisd, %xmm1,%xmm0",1,0,0.32145,83.33333333333333,16.666666666666668,CONDITION
400bbc,rax,1640,2465,masked,<main>,add,"add, $0x1,%eax",1,0,0.34161,83.47107438016529,16.52892561983471,INTEGER
400bc3,rflags,1888,283,masked,<main>,cmp,"cmp, %r15d,%eax",1,0,0.396551,83.60655737704919,16.39344262295082,CONDITION
400bd6,rdx,1906,1940,masked,<main>,lea,"lea, 0x1(%r14),%edx",1,0,0.400539,82.92682926829268,17.073170731707318,INTEGER
400ccc,rdi,1912,1853,crash,<main>,mov,"mov, %rcx,%rdi",0,1,0.401868,83.06451612903226,16.93548387096774,DATAXFER
400b54,xmm0,1941,2551,masked,<main>,sqrtss,"sqrtss, %xmm1,%xmm0",1,0,0.408293,83.2,16.8,UnKnown
400b22,rax,2017,2384,masked,<main>,xor,"xor, %eax,%eax",1,0,0.425129,82.53968253968254,17.46031746031746,LOGICAL
