IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Dynamic Execution,Masked%,Crash%
401462,xmm1,16341,1952,crash,,,,0,1,0.0,87.1287128713,12.8712871287
401404,xmm0,16622,4545,masked,,,,1,0,0.000409,86.2745098039,13.7254901961
4013ec,r14,19958,3613,masked,,,,1,0,0.005267,86.4077669903,13.5922330097
4013f6,xmm1,33771,3872,masked,,,,1,0,0.025379,86.5384615385,13.4615384615
4013da,xmm0,55884,1871,masked,,,,1,0,0.057577,86.6666666667,13.3333333333
4014a4,xmm1,83530,4126,masked,,,,1,0,0.097831,86.7924528302,13.2075471698
4013e0,xmm4,86890,744,masked,,,,1,0,0.102723,86.9158878505,13.0841121495
401440,xmm4,145933,2159,masked,,,,1,0,0.188693,86.1111111111,13.8888888889
4013e0,xmm1,146052,2833,masked,,,,1,0,0.188867,85.3211009174,14.6788990826
40145a,xmm1,204935,3583,masked,,,,1,0,0.274604,85.4545454545,14.5454545455
40145a,xmm4,216689,4261,masked,,,,1,0,0.291718,85.5855855856,14.4144144144
4013ca,xmm4,217209,192,masked,,,,1,0,0.292475,85.7142857143,14.2857142857
401404,xmm2,229493,1215,masked,,,,1,0,0.310361,85.8407079646,14.1592920354
4013f2,xmm2,240570,1147,masked,,,,1,0,0.32649,85.9649122807,14.0350877193
401453,xmm2,251770,3178,masked,,,,1,0,0.342798,86.0869565217,13.9130434783
401487,r14,262851,821,crash,,,,0,1,0.358933,86.2068965517,13.7931034483
4014a4,xmm3,329727,1646,masked,,,,1,0,0.456308,85.4700854701,14.5299145299
4013c0,xmm0,338395,2890,masked,,,,1,0,0.468929,85.593220339,14.406779661
401414,xmm0,348046,3791,masked,,,,1,0,0.482981,85.7142857143,14.2857142857
4013f6,xmm2,366163,2628,masked,,,,1,0,0.509361,85.8333333333,14.1666666667
401404,xmm3,384195,4183,masked,,,,1,0,0.535616,85.9504132231,14.0495867769
40141d,xmm0,384195,4183,masked,,,,1,0,0.535616,86.0655737705,13.9344262295
401467,xmm4,384195,4183,crash,,,,0,1,0.535616,85.3658536585,14.6341463415
4014a1,xmm3,412703,1508,crash,,,,0,1,0.577126,85.4838709677,14.5161290323
40142d,xmm4,477818,1833,masked,,,,1,0,0.671937,84.8,15.2
401431,xmm1,477818,1833,masked,,,,1,0,0.671937,84.9206349206,15.0793650794
40144f,xmm0,493814,1372,masked,,,,1,0,0.695228,85.0393700787,14.9606299213
40142d,rdi,516448,2197,masked,,,,1,0,0.728184,85.15625,14.84375
401453,xmm0,519714,4218,masked,,,,1,0,0.73294,85.2713178295,14.7286821705
401453,xmm1,527254,563,masked,,,,1,0,0.743918,85.3846153846,14.6153846154
4014a1,xmm3,548903,4191,crash,,,,0,1,0.775441,85.4961832061,14.5038167939
401431,xmm2,548903,4191,masked,,,,1,0,0.775441,85.6060606061,14.3939393939
4014a4,xmm2,557964,3692,masked,,,,1,0,0.788634,85.7142857143,14.2857142857
40140d,xmm1,591854,1132,masked,,,,1,0,0.83798,85.8208955224,14.1791044776
4013d4,xmm3,617145,1872,masked,,,,1,0,0.874805,85.9259259259,14.0740740741
401414,xmm1,622863,4342,masked,,,,1,0,0.883131,86.0294117647,13.9705882353
4013d4,xmm2,656590,4360,masked,,,,1,0,0.932239,86.1313868613,13.8686131387
401427,r14,715938,4158,masked,,,,1,0,1.018653,86.231884058,13.768115942
40145a,r14,732111,2974,masked,,,,1,0,1.042202,86.3309352518,13.6690647482
40144f,xmm0,734773,1242,crash,,,,0,1,1.046078,86.4285714286,13.5714285714
401427,xmm0,744036,3390,masked,,,,1,0,1.059565,86.524822695,13.475177305
401400,xmm3,760855,1650,masked,,,,1,0,1.084055,86.6197183099,13.3802816901
4013e0,r14,761702,2476,masked,,,,1,0,1.085288,86.7132867133,13.2867132867
4013e6,xmm1,778904,770,masked,,,,1,0,1.110335,86.8055555556,13.1944444444
401421,xmm3,792642,140,crash,,,,0,1,1.130339,86.8965517241,13.1034482759
4013c6,r12,810424,616,masked,,,,1,0,1.15623,86.9863013699,13.0136986301
40140d,xmm1,816326,3938,masked,,,,1,0,1.164824,87.074829932,12.925170068
401431,xmm2,823393,2796,masked,,,,1,0,1.175114,87.1621621622,12.8378378378
40144f,xmm3,824476,2444,masked,,,,1,0,1.176691,87.2483221477,12.7516778523
4014a1,xmm0,836708,590,masked,,,,1,0,1.194501,87.3333333333,12.6666666667
40143d,xmm1,838174,2646,masked,,,,1,0,1.196636,87.417218543,12.582781457
4013e0,xmm2,845141,2512,masked,,,,1,0,1.20678,87.5,12.5
401476,xmm4,847564,1804,masked,,,,1,0,1.210308,87.5816993464,12.4183006536
4013ec,xmm0,856416,3000,masked,,,,1,0,1.223197,87.6623376623,12.3376623377
40148e,xmm2,858777,1305,masked,,,,1,0,1.226635,87.7419354839,12.2580645161
4013c0,xmm4,919394,3832,masked,,,,1,0,1.314897,87.8205128205,12.1794871795
401404,xmm1,921821,3844,masked,,,,1,0,1.318431,87.898089172,12.101910828
40144c,xmm3,942195,3738,masked,,,,1,0,1.348096,87.9746835443,12.0253164557
40145a,r12,943598,3163,masked,,,,1,0,1.350139,88.0503144654,11.9496855346
40143d,xmm3,966948,2491,masked,,,,1,0,1.384138,87.5,12.5
40146b,xmm4,1021388,2641,masked,,,,1,0,1.463406,87.5776397516,12.4223602484
4014a1,xmm2,1041684,576,masked,,,,1,0,1.492958,87.6543209877,12.3456790123
401446,xmm3,1044308,2672,masked,,,,1,0,1.496779,87.7300613497,12.2699386503
40142d,xmm2,1057601,1279,masked,,,,1,0,1.516134,87.8048780488,12.1951219512
4014a1,xmm3,1069411,4491,masked,,,,1,0,1.53333,87.8787878788,12.1212121212
4013ce,xmm3,1091602,3145,masked,,,,1,0,1.565641,87.9518072289,12.0481927711
401440,xmm3,1101595,2375,masked,,,,1,0,1.580192,88.0239520958,11.9760479042
40146b,xmm0,1107214,3453,crash,,,,0,1,1.588373,88.0952380952,11.9047619048
401421,xmm2,1130219,565,masked,,,,1,0,1.62187,88.1656804734,11.8343195266
4013c6,xmm3,1151628,4279,masked,,,,1,0,1.653043,88.2352941176,11.7647058824
4013ec,xmm3,1153564,1381,crash,,,,0,1,1.655862,87.7192982456,12.2807017544
