IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Dynamic Execution,Masked%,Crash%,INS_type
401986,rcx,16815,12064,crash,<create_matrix>,add,"add, $0x4,%rcx",0,1,0.0,63.36633663,36.63366337,INTEGER
401983,rdx,36527,4197,masked,<create_matrix>,add,"add, $0x1,%edx",1,0,0.007276,63.7254902,36.2745098,INTEGER
401995,rflags,52201,7075,masked,<create_matrix>,cmp,"cmp, %edx,%edi",1,0,0.013061,64.0776699,35.9223301,CONDITION
401986,rcx,53560,6810,crash,<create_matrix>,add,"add, $0x4,%rcx",0,1,0.013563,64.42307692,35.57692308,INTEGER
40198a,xmm0,69992,14837,masked,<create_matrix>,movss,"movss, (%rbx,%r8,4),%xmm0",1,0,0.019628,64.76190476,35.23809524,DATAXFER
401995,rflags,75365,6295,masked,<create_matrix>,cmp,"cmp, %edx,%edi",1,0,0.021611,65.09433962,34.90566038,CONDITION
40198a,xmm0,84713,1210,masked,<create_matrix>,movss,"movss, (%rbx,%r8,4),%xmm0",1,0,0.025061,64.48598131,35.51401869,DATAXFER
401995,rflags,103806,13619,masked,<create_matrix>,cmp,"cmp, %edx,%edi",1,0,0.032109,64.81481481,35.18518519,CONDITION
401995,rflags,107663,9489,masked,<create_matrix>,cmp,"cmp, %edx,%edi",1,0,0.033532,65.13761468,34.86238532,CONDITION
40198a,xmm0,113459,12281,masked,<create_matrix>,movss,"movss, (%rbx,%r8,4),%xmm0",1,0,0.035672,65.45454545,34.54545455,DATAXFER
401980,r8,120484,129,crash,<create_matrix>,movslq,"movslq, %edx,%r8",0,1,0.038264,65.76576577,34.23423423,DATAXFER
401980,r8,138000,9687,masked,<create_matrix>,movslq,"movslq, %edx,%r8",1,0,0.04473,65.17857143,34.82142857,DATAXFER
401995,rflags,151770,8294,masked,<create_matrix>,cmp,"cmp, %edx,%edi",1,0,0.049812,64.60176991,35.39823009,CONDITION
401995,rflags,154201,3314,masked,<create_matrix>,cmp,"cmp, %edx,%edi",1,0,0.050709,64.9122807,35.0877193,CONDITION
40198a,xmm0,186492,9562,masked,<create_matrix>,movss,"movss, (%rbx,%r8,4),%xmm0",1,0,0.062628,65.2173913,34.7826087,DATAXFER
401986,rcx,194409,11553,masked,<create_matrix>,add,"add, $0x4,%rcx",1,0,0.06555,65.51724138,34.48275862,INTEGER
401983,rdx,205173,13944,crash,<create_matrix>,add,"add, $0x1,%edx",0,1,0.069523,65.81196581,34.18803419,INTEGER
401986,rcx,213247,7214,masked,<create_matrix>,add,"add, $0x4,%rcx",1,0,0.072504,66.10169492,33.89830508,INTEGER
401995,rflags,243466,6820,masked,<create_matrix>,cmp,"cmp, %edx,%edi",1,0,0.083657,66.38655462,33.61344538,CONDITION
