IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Dynamic Execution,Masked%,Crash%,INS_type
400c7d,rdx,13048,1400,masked,<_Z7runTestiPPc>,mov,"mov, (%rax),%edx",1,0,0,68.31683168,31.68316832,DATAXFER
400c71,rax,14775,4977,crash,<_Z7runTestiPPc>,add,"add, (%rsi),%edx",0,1,0.002907,68.62745098,31.37254902,INTEGER
400b55,rsi,14914,2173,crash,<_Z7runTestiPPc>,add,"add, %rcx,%rdx",0,1,0.003141,67.96116505,32.03883495,INTEGER
400b58,rdx,25910,1076,masked,<_Z7runTestiPPc>,mov,"mov, 0x6020a0(,%rdx,4),%edx",1,0,0.021648,68.26923077,31.73076923,DATAXFER
400c6c,rflags,35460,4800,masked,<_Z7runTestiPPc>,mov,"mov, 0x4(%r15,%r8,4),%r15d",1,0,0.037722,68.57142857,31.42857143,DATAXFER
400b67,r15,54740,495,masked,<_Z7runTestiPPc>,cmp,"cmp, %rdi,%rax",1,0,0.070172,67.9245283,32.0754717,CONDITION
400c73,rdx,84461,2094,masked,<_Z7runTestiPPc>,sub,"sub, %ebx,%r15d",1,0,0.120195,68.22429907,31.77570093,INTEGER
400c6c,rdx,85343,2620,masked,<_Z7runTestiPPc>,mov,"mov, 0x4(%r15,%r8,4),%r15d",1,0,0.12168,68.51851852,31.48148148,DATAXFER
400b58,rdx,85969,2667,masked,<_Z7runTestiPPc>,mov,"mov, 0x6020a0(,%rdx,4),%edx",1,0,0.122733,68.80733945,31.19266055,DATAXFER
400c60,rax,90377,2271,crash,<_Z7runTestiPPc>,lea,"lea, (%rax,%r11,1),%r15",0,1,0.130152,68.18181818,31.81818182,INTEGER
400c64,rflags,96056,740,masked,<_Z7runTestiPPc>,add,"add, $0x1,%ecx",1,0,0.139711,68.46846847,31.53153153,INTEGER
400c60,rdx,104094,655,masked,<_Z7runTestiPPc>,lea,"lea, (%rax,%r11,1),%r15",1,0,0.153239,68.75,31.25,INTEGER
400b55,rflags,118572,3410,masked,<_Z7runTestiPPc>,add,"add, %rcx,%rdx",1,0,0.177607,69.02654867,30.97345133,INTEGER
400b67,rflags,135441,535,masked,<_Z7runTestiPPc>,cmp,"cmp, %rdi,%rax",1,0,0.206,69.29824561,30.70175439,CONDITION
400c6c,rflags,185639,4757,masked,<_Z7runTestiPPc>,mov,"mov, 0x4(%r15,%r8,4),%r15d",1,0,0.290488,69.56521739,30.43478261,DATAXFER
