IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Dynamic Execution,Masked%,Crash%,INS_type
400ad1,rax,7634,4109,masked,<_Z4initiPPc>,lea,"lea, (%rdx,%rdx,4),%eax",1,0,0,79.20792079,20.79207921,INTEGER
400aa8,rax,21351,1357,crash,<_Z4initiPPc>,mov,"mov, 0x201609(%rip),%rax",0,1,0.004335,79.41176471,20.58823529,DATAXFER
400ad1,rax,133570,3174,masked,<_Z4initiPPc>,lea,"lea, (%rdx,%rdx,4),%eax",1,0,0.039799,79.61165049,20.38834951,INTEGER
400ac2,rcx,133852,1686,masked,<_Z4initiPPc>,mov,"mov, %eax,%ecx",1,0,0.039888,79.80769231,20.19230769,DATAXFER
400acc,rdx,222784,4177,masked,<_Z4initiPPc>,sar,"sar, $0x2,%edx",1,0,0.067993,80,20,SHIFT
400acc,rdx,245648,4904,masked,<_Z4initiPPc>,sar,"sar, $0x2,%edx",1,0,0.075219,80.18867925,19.81132075,SHIFT
400ac2,rcx,323068,1964,masked,<_Z4initiPPc>,mov,"mov, %eax,%ecx",1,0,0.099686,80.37383178,19.62616822,DATAXFER
400ab9,r15,393995,3520,crash,<_Z4initiPPc>,add,"add, (%rax,%rbp,1),%r15",0,1,0.1221,79.62962963,20.37037037,INTEGER
400aa8,rax,473399,1957,crash,<_Z4initiPPc>,mov,"mov, 0x201609(%rip),%rax",0,1,0.147194,79.81651376,20.18348624,DATAXFER
400ab5,r14,474426,1548,masked,<_Z4initiPPc>,add,"add, $0x4,%r14",1,0,0.147519,80,20,INTEGER
400ab9,r15,568299,834,masked,<_Z4initiPPc>,add,"add, (%rax,%rbp,1),%r15",1,0,0.177185,79.27927928,20.72072072,INTEGER
400acf,rdx,594513,1580,masked,<_Z4initiPPc>,sub,"sub, %eax,%edx",1,0,0.185469,79.46428571,20.53571429,INTEGER
400adb,rax,711013,2486,masked,<_Z4initiPPc>,mov,"mov, 0x2015e7(%rip),%eax",1,0,0.222286,78.76106195,21.23893805,DATAXFER
400ad6,rcx,738772,419,masked,<_Z4initiPPc>,sub,"sub, %eax,%ecx",1,0,0.231059,78.94736842,21.05263158,INTEGER
400ab5,r14,756282,4703,masked,<_Z4initiPPc>,add,"add, $0x4,%r14",1,0,0.236593,79.13043478,20.86956522,INTEGER
400ad4,rax,804963,2817,masked,<_Z4initiPPc>,add,"add, %eax,%eax",1,0,0.251977,79.31034483,20.68965517,INTEGER
