IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Dynamic Execution,Masked%,Crash%,INS_type
0x42b8a9,rdx,90563,10047,masked,<__drand48_iterate>,shl,"shl, $0x10,%edx",1,0,0.0,70.29702970297029,29.702970297029704,SHIFT
0x404046,rdx,494045,682,crash,<InitX>,mov,"mov, -0x28(%rbp),%rdx",0,1,0.022905,69.6078431372549,30.392156862745097,DATAXFER
0x42b7d1,rbp,596557,3268,crash,<__erand48_r>,mov,"mov, %rdx,%rbp",0,1,0.028725,69.90291262135922,30.097087378640776,DATAXFER
0x42b83c,rbp,653526,14801,masked,<__erand48_r>,pop,"pop, %rbp",1,0,0.031959,70.1923076923077,29.807692307692307,STACK
0x42b81a,rax,689556,13476,crash,<__erand48_r>,or,"or, %rcx,%rax",0,1,0.034005,70.47619047619048,29.52380952380953,LOGICAL
0x42b7d1,rbp,767218,3990,masked,<__erand48_r>,mov,"mov, %rdx,%rbp",1,0,0.038413,70.75471698113208,29.245283018867923,DATAXFER
0x42b8c1,rax,1063028,11835,masked,<__drand48_iterate>,shr,"shr, $0x20,%rax",1,0,0.055206,70.09345794392523,29.90654205607477,SHIFT
0x42b897,rax,1135917,7309,masked,<__drand48_iterate>,movzwl,"movzwl, 0x4(%rdi),%eax",1,0,0.059344,70.37037037037037,29.62962962962963,DATAXFER
0x42b7d8,rsp,1217407,7420,crash,<__erand48_r>,sub,"sub, $0x18,%rsp",0,1,0.06397,70.64220183486239,29.357798165137616,INTEGER
0x42b8c5,rdx,1222522,10918,masked,<__drand48_iterate>,shr,"shr, $0x10,%rdx",1,0,0.064261,70.0,30.0,SHIFT
0x42b7fe,rcx,1258920,5657,masked,<__erand48_r>,movzwl,"movzwl, (%rbx),%ecx",1,0,0.066327,70.27027027027027,29.72972972972973,DATAXFER
0x42b7ef,rcx,1431963,2985,masked,<__erand48_r>,shl,"shl, $0x4,%ecx",1,0,0.076151,70.53571428571429,29.464285714285715,SHIFT
0x42b8a5,rdx,1591498,14072,crash,<__drand48_iterate>,movzwl,"movzwl, 0x2(%rdi),%edx",0,1,0.085207,69.91150442477876,30.08849557522124,DATAXFER
0x42b8a5,rdx,1655029,7767,masked,<__drand48_iterate>,movzwl,"movzwl, 0x2(%rdi),%edx",1,0,0.088814,70.17543859649123,29.82456140350877,DATAXFER
0x42b824,xmm0,1772357,1887,masked,<__erand48_r>,movsd,"movsd, 0x8(%rsp),%xmm0",1,0,0.095475,69.56521739130434,30.43478260869565,UnKnown
0x42b7d5,rbx,1898691,14938,masked,<__erand48_r>,mov,"mov, %rdi,%rbx",1,0,0.102647,69.82758620689656,30.17241379310345,DATAXFER
0x42b7ac,rsp,2098707,7899,crash,<drand48>,add,"add, $0x18,%rsp",0,1,0.114001,69.23076923076923,30.76923076923077,INTEGER
0x42b7fc,rax,2151805,337,masked,<__erand48_r>,or,"or, %ecx,%eax",1,0,0.117016,69.49152542372882,30.508474576271187,LOGICAL
0x42b7d0,rsp,2249428,10142,crash,<__erand48_r>,push,"push, %rbp",0,1,0.122558,69.74789915966386,30.252100840336134,STACK
0x42b7d8,rsp,2258905,7500,crash,<__erand48_r>,sub,"sub, $0x18,%rsp",0,1,0.123096,70.0,30.0,INTEGER
0x42b794,rsi,2304186,977,crash,<drand48>,mov,"mov, $0x709750,%esi",0,1,0.125666,69.42148760330579,30.57851239669421,DATAXFER
0x42b8a2,rax,2402946,5721,masked,<__drand48_iterate>,or,"or, %rdx,%rax",1,0,0.131273,69.67213114754098,30.327868852459016,LOGICAL
0x42b897,rax,2412598,10197,masked,<__drand48_iterate>,movzwl,"movzwl, 0x4(%rdi),%eax",1,0,0.131821,69.91869918699187,30.08130081300813,DATAXFER
0x42b815,rcx,2689822,11,masked,<__erand48_r>,shl,"shl, $0x4,%ecx",1,0,0.147559,70.16129032258064,29.83870967741936,SHIFT
0x42b7e9,rcx,2728537,10189,masked,<__erand48_r>,movzwl,"movzwl, 0x4(%rbx),%ecx",1,0,0.149756,70.4,29.6,DATAXFER
0x42b8ac,rax,2781892,5493,masked,<__drand48_iterate>,or,"or, %rdx,%rax",1,0,0.152785,69.84126984126983,30.15873015873016,LOGICAL
0x404084,rbx,3014008,3984,crash,<InitX>,lea,"lea, (%rdx,%rax,1),%rbx",0,1,0.165963,69.29133858267717,30.70866141732284,INTEGER
0x42b8c1,rax,3047093,14524,masked,<__drand48_iterate>,shr,"shr, $0x20,%rax",1,0,0.167841,69.53125,30.46875,SHIFT
0x42b818,rcx,3188222,10592,masked,<__erand48_r>,or,"or, %esi,%ecx",1,0,0.175853,69.76744186046511,30.232558139534884,LOGICAL
0x42b81a,rax,3291015,12287,masked,<__erand48_r>,or,"or, %rcx,%rax",1,0,0.181688,70.0,30.0,LOGICAL
0x40406d,rax,3294131,10894,crash,<InitX>,mov,"mov, -0x18(%rbp),%rax",0,1,0.181865,70.22900763358778,29.77099236641221,DATAXFER
0x42b89b,rdx,3546947,7416,masked,<__drand48_iterate>,movzwl,"movzwl, (%rdi),%edx",1,0,0.196217,70.45454545454545,29.545454545454547,DATAXFER
0x42b7ed,rax,3579191,4848,masked,<__erand48_r>,mov,"mov, %esi,%eax",1,0,0.198048,69.92481203007519,30.07518796992481,DATAXFER
0x42b7e9,rcx,3687775,3196,masked,<__erand48_r>,movzwl,"movzwl, 0x4(%rbx),%ecx",1,0,0.204212,70.14925373134328,29.85074626865672,DATAXFER
