IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Dynamic Execution,Masked%,Crash%,INS_type
0x461f41,rax,1218,1164,crash,<hypre_ParCSRRelaxThreads._omp_fn.2>,add,"add, $0x1,%rax",0,1,0.0,51.48514851485149,43.56435643564357,INTEGER
0x461e93,rdi,3516,1364,masked,<hypre_ParCSRRelaxThreads._omp_fn.2>,push,"push, %rbx",1,0,0.013581,51.96078431372549,43.13725490196079,STACK
0x46185c,,18504,1432,masked,<hypre_ParCSRComputeL1NormsThreads._omp_fn.0>,addsd,"addsd, %xmm1,%xmm0",1,0,0.10216,52.42718446601942,42.71844660194175,FP
0x461fa4,xmm1,33470,859,crash,<hypre_ParCSRRelaxThreads._omp_fn.2>,cmp,"cmp, %rbp,%r10",0,1,0.190609,52.88461538461539,42.30769230769231,CONDITION
0x404684,rflags,34355,780,masked,<BuildIJLaplacian27pt._omp_fn.0>,cmp,"cmp, %rax,%r8",1,0,0.195839,53.333333333333336,41.90476190476191,CONDITION
0x424d09,xmm1,34648,1105,crash,<hypre_BoomerAMGBuildMultipass._omp_fn.5>,cmp,"cmp, %r8,(%rdi)",0,1,0.197571,52.83018867924528,42.45283018867924,CONDITION
0x461f4e,xmm1,38125,1613,crash,<hypre_ParCSRRelaxThreads._omp_fn.2>,subsd,"subsd, %xmm1,%xmm0",0,1,0.21812,53.271028037383175,42.05607476635514,FP
0x461f45,rflags,38577,2229,masked,<hypre_ParCSRRelaxThreads._omp_fn.2>,cmp,"cmp, %rsi,%rax",1,0,0.220791,53.7037037037037,41.66666666666666,CONDITION
0x461fac,rdx,51490,91,masked,<hypre_ParCSRRelaxThreads._omp_fn.2>,mov,"mov, %r10,%rcx",1,0,0.297107,53.211009174311926,42.20183486238532,DATAXFER
0x461f45,rdx,55675,1536,crash,<hypre_ParCSRRelaxThreads._omp_fn.2>,cmp,"cmp, %rsi,%rax",0,1,0.32184,52.72727272727273,42.72727272727273,CONDITION
0x461f02,xmm1,61933,197,masked,<hypre_ParCSRRelaxThreads._omp_fn.2>,jmp,"jmp, 461f02, <hypre_ParCSRRel",1,0,0.358825,53.15315315315316,42.34234234234234,BR_OR_LP_CTRL
0x480168,rdx,66414,372,masked,<hypre_CSRMatrixMatvecOutOfPlace._omp_fn.6>,mov,"mov, (%r9,%rbx,8),%rdx",1,0,0.385307,53.57142857142857,41.96428571428572,DATAXFER
0x461858,r11,67859,1421,masked,<hypre_ParCSRComputeL1NormsThreads._omp_fn.0>,andpd,"andpd, %xmm6,%xmm0",1,0,0.393847,53.09734513274336,42.47787610619469,LOGICAL
0x4576fa,rflags,70607,1095,masked,<hypre_BoomerAMGCreate2ndS._omp_fn.10>,mov,"mov, (%rcx,%rdx,8),%rdx",1,0,0.410088,53.50877192982456,42.10526315789474,DATAXFER
0x48036e,xmm0,74109,341,crash,<hypre_CSRMatrixMatvecOutOfPlace._omp_fn.6>,cmp,"cmp, %rcx,%rdx",0,1,0.430785,53.04347826086956,42.60869565217392,CONDITION
