IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Dynamic Execution,Masked%,Crash%,INS_type
0x400dd5,rdi,103,15,masked,<main>,mov,"mov, $0x16c,%edi",1,0,0.0,86.1386138614,13.8613861386,DATAXFER
0x40481b,rdx,123,8708,masked,<master._omp_fn.0>,test,"test, %esi,%esi",1,0,0.004131,86.2745098039,13.7254901961,CONDITION
0x404d88,xmm1,128,5500,masked,<master>,movss,"movss, (%rdx),%xmm0",1,0,0.005164,86.4077669903,13.5922330097,DATAXFER
0x405ab0,xmm0,168,3092,masked,<solver>,subss,"subss, (%r15,%rax,1),%xmm0",1,0,0.013425,85.5769230769,14.4230769231,FP
0x404db2,xmm0,199,9660,crash,<master>,cmp,"cmp, %rdx,%rcx",0,1,0.019828,84.7619047619,15.2380952381,CONDITION
0x405327,xmm0,362,4363,crash,<solver>,mulss,"mulss, (%rax,%rdx,1),%xmm4",0,1,0.053494,84.9056603774,15.0943396226,FP
0x40584c,rsp,365,7786,masked,<solver>,movss,"movss, 0x1064(%rip),%xmm1",1,0,0.054114,84.1121495327,15.8878504673,DATAXFER
0x40554f,xmm4,381,4207,masked,<solver>,mulss,"mulss, (%r14,%rdx,1),%xmm4",1,0,0.057419,84.2592592593,15.7407407407,FP
0x405bb7,xmm1,410,4166,masked,<solver>,cmp,"cmp, $0x16c,%rbx",1,0,0.063409,83.4862385321,16.5137614679,CONDITION
0x404d94,xmm1,412,7299,masked,<master>,andps,"andps, %xmm2,%xmm1",1,0,0.063822,83.6363636364,16.3636363636,LOGICAL
0x405340,xmm1,512,297,masked,<solver>,add,"add, $0x4,%rdx",1,0,0.084476,83.7837837838,16.2162162162,INTEGER
0x404d97,xmm1,647,3163,crash,<master>,ucomiss,"ucomiss, 0x1a56(%rip),%xmm1",0,1,0.112359,83.9285714286,16.0714285714,CONDITION
0x404d94,xmm1,667,2423,masked,<master>,andps,"andps, %xmm2,%xmm1",1,0,0.11649,84.0707964602,15.9292035398,LOGICAL
0x404dae,xmm1,784,8347,masked,<master>,jbe,"jbe, 404dae, <master+0x18e>",1,0,0.140655,84.2105263158,15.7894736842,BR_OR_LP_CTRL
0x405b1c,xmm4,871,9844,masked,<solver>,movss,"movss, (%rax),%xmm0",1,0,0.158625,84.347826087,15.652173913,DATAXFER
0x4053df,xmm1,954,1354,masked,<solver>,addss,"addss, %xmm4,%xmm1",1,0,0.175768,83.6206896552,16.3793103448,FP
0x405561,rflags,974,148,masked,<solver>,mulss,"mulss, (%r8,%rdx,1),%xmm4",1,0,0.179898,82.905982906,17.094017094,FP
0x404d91,rflags,993,7807,masked,<master>,movaps,"movaps, %xmm0,%xmm1",1,0,0.183823,83.0508474576,16.9491525424,DATAXFER
0x405516,xmm0,1032,4137,masked,<solver>,movss,"movss, (%rbx,%rdx,1),%xmm1",1,0,0.191878,83.1932773109,16.8067226891,DATAXFER
0x405836,xmm0,1112,4590,crash,<solver>,addss,"addss, %xmm1,%xmm0",0,1,0.208401,83.3333333333,16.6666666667,FP
0x405288,xmm1,1118,1167,masked,<solver>,mulss,"mulss, (%r15,%rax,1),%xmm4",1,0,0.209641,83.4710743802,16.5289256198,FP
0x404c22,xmm1,1154,9053,masked,<master>,push,"push, %r12",1,0,0.217076,83.606557377,16.393442623,STACK
0x4051f4,xmm1,1224,8524,masked,<solver>,addss,"addss, 0x0(%rbp,%rax,1),%xmm0",1,0,0.231534,83.7398373984,16.2601626016,FP
0x405633,rax,1368,4416,masked,<solver>,movss,"movss, 0x1241(%rip),%xmm4",1,0,0.261276,83.8709677419,16.1290322581,DATAXFER
0x404c6e,xmm4,1459,5058,masked,<master>,cmp,"cmp, %ecx,%eax",1,0,0.280072,84.0,16.0,CONDITION
0x405828,xmm4,1460,1068,masked,<solver>,movss,"movss, 0x1080(%rip),%xmm1",1,0,0.280278,84.126984127,15.873015873,DATAXFER
0x404d97,rflags,1494,6979,masked,<master>,ucomiss,"ucomiss, 0x1a56(%rip),%xmm1",1,0,0.287301,84.2519685039,15.7480314961,CONDITION
0x404818,xmm1,1555,1736,masked,<master._omp_fn.0>,mov,"mov, 0x4(%rax),%esi",1,0,0.2999,83.59375,16.40625,DATAXFER
0x40567d,rflags,1712,2412,masked,<solver>,cmp,"cmp, $0x16c,%rdx",1,0,0.332327,83.7209302326,16.2790697674,CONDITION
0x405c60,xmm1,1798,412,crash,<solver>,cmp,"cmp, $0x16c,%rax",0,1,0.350089,83.8461538462,16.1538461538,CONDITION
0x405870,xmm1,1844,4441,masked,<solver>,mulss,"mulss, %xmm2,%xmm0",1,0,0.35959,83.9694656489,16.0305343511,FP
0x40551b,rflags,1923,8650,masked,<solver>,addss,"addss, %xmm1,%xmm1",1,0,0.375907,84.0909090909,15.9090909091,FP
0x4051d8,rflags,1989,7736,masked,<solver>,movss,"movss, 0x161c(%rip),%xmm0",1,0,0.389539,83.4586466165,16.5413533835,DATAXFER
0x405164,xmm1,2058,481,crash,<solver>,addss,"addss, 0x0(%rbp,%rax,1),%xmm1",0,1,0.40379,82.8358208955,17.1641791045,FP
0x405915,xmm1,2070,5637,masked,<solver>,mulss,"mulss, (%r15,%rdx,1),%xmm0",1,0,0.406269,82.962962963,17.037037037,FP
0x4055f0,xmm0,2106,6819,masked,<solver>,movss,"movss, 0x1274(%rip),%xmm4",1,0,0.413705,83.0882352941,16.9117647059,DATAXFER
0x404d91,xmm1,2131,7849,masked,<master>,movaps,"movaps, %xmm0,%xmm1",1,0,0.418868,83.2116788321,16.7883211679,DATAXFER
0x40546d,rdx,2396,2846,masked,<solver>,addss,"addss, %xmm1,%xmm0",1,0,0.473602,83.3333333333,16.6666666667,FP
0x404dae,rdi,2408,1224,masked,<master>,jbe,"jbe, 404dae, <master+0x18e>",1,0,0.47608,83.4532374101,16.5467625899,BR_OR_LP_CTRL
0x404d94,rflags,2467,918,masked,<master>,andps,"andps, %xmm2,%xmm1",1,0,0.488266,83.5714285714,16.4285714286,LOGICAL
0x405910,xmm1,2525,6282,crash,<solver>,mulss,"mulss, (%rbx,%rdx,1),%xmm1",0,1,0.500246,83.6879432624,16.3120567376,FP
0x4050d9,rbp,2536,2620,masked,<solver>,addss,"addss, 0x0(%rbp,%rax,1),%xmm1",1,0,0.502518,83.8028169014,16.1971830986,FP
0x4053cc,xmm4,2608,1044,crash,<solver>,addss,"addss, %xmm4,%xmm1",0,1,0.517389,83.9160839161,16.0839160839,FP
0x404dae,rflags,2638,8941,masked,<master>,jbe,"jbe, 404dae, <master+0x18e>",1,0,0.523585,84.0277777778,15.9722222222,BR_OR_LP_CTRL
0x404dae,xmm1,2638,5367,masked,<master>,jbe,"jbe, 404dae, <master+0x18e>",1,0,0.523585,84.1379310345,15.8620689655,BR_OR_LP_CTRL
0x404ad3,xmm1,2714,7505,masked,<fin>,subss,"subss, (%rdi,%r8,4),%xmm4",1,0,0.539282,84.2465753425,15.7534246575,FP
