IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Dynamic Execution,Masked%,Crash%,INS_type
0x401bb5,rflags,2590074,1083,crash,<main._omp_fn.0>,addss,"addss, %xmm0,%xmm12",0,1,0.0,75.2475247525,24.7524752475,FP
0x401046,rax,3439830,1422,masked,<main>,addss,"addss, %xmm0,%xmm2",1,0,0.074664,74.5098039216,25.4901960784,FP
0x401043,xmm1,3931403,43,masked,<main>,cmp,"cmp, %rbx,%rax",1,0,0.117856,74.7572815534,25.2427184466,CONDITION
0x401bd8,xmm0,5179813,4,masked,<main._omp_fn.0>,cvtss2sd,"cvtss2sd, %xmm12,%xmm11",1,0,0.227547,75.0,25.0,CONVERT
0x401046,rdx,5354174,1086,masked,<main>,addss,"addss, %xmm0,%xmm2",1,0,0.242867,75.2380952381,24.7619047619,FP
0x401948,xmm3,5756276,75,crash,<main._omp_fn.1>,movslq,"movslq, (%r14,%rax,4),%rdx",0,1,0.278198,75.4716981132,24.5283018868,DATAXFER
0x401948,xmm12,5860916,1270,masked,<main._omp_fn.1>,movslq,"movslq, (%r14,%rax,4),%rdx",1,0,0.287392,75.7009345794,24.2990654206,DATAXFER
0x401976,xmm10,7476694,1052,crash,<main._omp_fn.1>,addss,"addss, %xmm2,%xmm1",0,1,0.429363,75.9259259259,24.0740740741,FP
0x401b0f,rflags,7487987,1250,masked,<main._omp_fn.0>,add,"add, $0x1,%rax",1,0,0.430355,76.1467889908,23.8532110092,INTEGER
0x401c37,rcx,8361575,417,masked,<main._omp_fn.0>,cvtsd2ss,"cvtsd2ss, %xmm3,%xmm0",1,0,0.507113,75.4545454545,24.5454545455,CONVERT
0x401030,xmm12,8396534,713,masked,<main>,movss,"movss, (%rdx),%xmm0",1,0,0.510184,75.6756756757,24.3243243243,DATAXFER
0x4019b0,rdx,9938324,1624,crash,<main._omp_fn.1>,addsd,"addsd, %xmm1,%xmm0",0,1,0.645654,75.0,25.0,FP
0x401ba4,xmm1,11305913,1582,crash,<main._omp_fn.0>,addss,"addss, %xmm1,%xmm12",0,1,0.765817,74.3362831858,25.6637168142,FP
0x4019b4,xmm2,12014648,1280,masked,<main._omp_fn.1>,cvtsd2ss,"cvtsd2ss, %xmm0,%xmm4",1,0,0.82809,74.5614035088,25.4385964912,CONVERT
0x401043,xmm0,12965706,223,masked,<main>,cmp,"cmp, %rbx,%rax",1,0,0.911654,74.7826086957,25.2173913043,CONDITION
0x401bff,xmm12,13310078,300,crash,<main._omp_fn.0>,mulsd,"mulsd, %xmm8,%xmm0",0,1,0.941913,75.0,25.0,FP
0x401bbe,xmm12,13901792,1343,masked,<main._omp_fn.0>,addss,"addss, %xmm2,%xmm1",1,0,0.993903,74.358974359,25.641025641,FP
0x401c3b,rdx,14335608,913,masked,<main._omp_fn.0>,ucomiss,"ucomiss, %xmm0,%xmm6",1,0,1.032021,73.7288135593,26.2711864407,CONDITION
0x401b42,xmm1,15403527,1382,crash,<main._omp_fn.0>,add,"add, %r8,%rdx",0,1,1.125853,73.9495798319,26.0504201681,INTEGER
0x4019c1,xmm2,15625834,1265,masked,<main._omp_fn.1>,cmp,"cmp, %rsi,%rax",1,0,1.145386,74.1666666667,25.8333333333,CONDITION
0x401b5b,rdx,15920817,773,masked,<main._omp_fn.0>,movss,"movss, (%r12,%rax,4),%xmm0",1,0,1.171305,74.3801652893,25.6198347107,DATAXFER
0x401b8c,rflags,18305815,1496,masked,<main._omp_fn.0>,mulss,"mulss, %xmm3,%xmm3",1,0,1.380863,74.5901639344,25.4098360656,FP
0x401b4b,rdx,18663319,1036,masked,<main._omp_fn.0>,movss,"movss, (%rsi,%rdx,4),%xmm0",1,0,1.412275,74.7967479675,25.2032520325,DATAXFER
0x401963,rflags,22473287,112,masked,<main._omp_fn.1>,add,"add, %rdi,%rdx",1,0,1.747037,75.0,25.0,INTEGER
0x401953,xmm0,23306227,61,masked,<main._omp_fn.1>,movss,"movss, 0x0(%rbp,%rax,4),%xmm2",1,0,1.820224,75.2,24.8,DATAXFER
0x40199a,xmm2,23581767,1286,masked,<main._omp_fn.1>,cvtss2sd,"cvtss2sd, 0x50(%rbx),%xmm0",1,0,1.844434,75.3968253968,24.6031746032,CONVERT
0x401c13,xmm0,24028654,928,masked,<main._omp_fn.0>,cvtsd2ss,"cvtsd2ss, %xmm0,%xmm0",1,0,1.8837,75.5905511811,24.4094488189,CONVERT
0x401043,xmm0,25115766,1212,crash,<main>,cmp,"cmp, %rbx,%rax",0,1,1.979219,75.78125,24.21875,CONDITION
0x401b17,xmm0,25115766,1212,masked,<main._omp_fn.0>,cmp,"cmp, (%rsp),%rax",1,0,1.979219,75.9689922481,24.0310077519,CONDITION
0x401b71,rdx,25780705,114,crash,<main._omp_fn.0>,subss,"subss, %xmm13,%xmm0",0,1,2.037643,75.3846153846,24.6153846154,FP
0x401038,rdx,27408025,60,masked,<main>,add,"add, %rcx,%rdx",1,0,2.180628,75.572519084,24.427480916,INTEGER
0x401030,rdx,28909482,516,masked,<main>,movss,"movss, (%rdx),%xmm0",1,0,2.312553,75.0,25.0,DATAXFER
0x401c1c,xmm3,30151037,821,masked,<main._omp_fn.0>,subss,"subss, %xmm10,%xmm0",1,0,2.421642,74.4360902256,25.5639097744,FP
0x4019c1,xmm3,30972792,138,masked,<main._omp_fn.1>,cmp,"cmp, %rsi,%rax",1,0,2.493846,74.6268656716,25.3731343284,CONDITION
0x401b00,xmm2,31108443,36,masked,<main._omp_fn.0>,ucomiss,"ucomiss, %xmm5,%xmm0",1,0,2.505765,74.8148148148,25.1851851852,CONDITION
0x401b86,xmm2,31204686,1018,masked,<main._omp_fn.0>,movss,"movss, (%r9,%rax,4),%xmm2",1,0,2.514221,75.0,25.0,DATAXFER
0x401963,xmm0,32017070,1348,masked,<main._omp_fn.1>,add,"add, %rdi,%rdx",1,0,2.585601,75.1824817518,24.8175182482,INTEGER
0x401b42,xmm0,33159129,1401,masked,<main._omp_fn.0>,add,"add, %r8,%rdx",1,0,2.685948,74.6376811594,25.3623188406,INTEGER
0x40103b,xmm0,33220840,282,masked,<main>,addss,"addss, %xmm0,%xmm1",1,0,2.69137,74.1007194245,25.8992805755,FP
0x401c04,xmm0,33220840,282,masked,<main._omp_fn.0>,cvtsd2ss,"cvtsd2ss, %xmm11,%xmm11",1,0,2.69137,74.2857142857,25.7142857143,CONVERT
0x4019c6,xmm0,33281838,1108,masked,<main._omp_fn.1>,add,"add, $0x1,%r15",1,0,2.69673,73.7588652482,26.2411347518,INTEGER
0x401bf1,xmm12,33873003,480,masked,<main._omp_fn.0>,mulsd,"mulsd, %xmm7,%xmm12",1,0,2.748673,73.9436619718,26.0563380282,FP
