loop_name,COUNT,CRASHC,Crash%
loop__10.csv,192,85,0.4427
loop__18.csv,59,27,0.4576
loop__25.csv,883,299,0.3386
loop__28.csv,311,102,0.3280
loop__29.csv,311,102,0.3280
loop__30.csv,311,102,0.3280
loop__31.csv,71,29,0.4085
loop__32.csv,889,349,0.3926
loop__33.csv,57,25,0.4386
loop__34.csv,1805,701,0.3884
loop__35.csv,1805,701,0.3884
loop__39.csv,50,19,0.3800
loop__40.csv,590,242,0.4102
loop__42.csv,59,27,0.4576
loop__44.csv,135,54,0.4000
loop__5.csv,107,36,0.3364
loop__8.csv,192,85,0.4427
loop__9.csv,192,85,0.4427
