loop_name,COUNT,CRASHC,Crash%
loop__10.csv,1139,657,0.5768
loop__1044.csv,1714,665,0.3880
loop__1068.csv,1714,665,0.3880
loop__1070.csv,1714,665,0.3880
loop__1072.csv,1714,665,0.3880
loop__1074.csv,1714,665,0.3880
loop__1077.csv,1714,665,0.3880
loop__1078.csv,1714,665,0.3880
loop__1081.csv,1714,665,0.3880
loop__1083.csv,1714,665,0.3880
loop__1088.csv,1714,665,0.3880
loop__1090.csv,1714,665,0.3880
loop__1093.csv,1714,665,0.3880
loop__1094.csv,1714,665,0.3880
loop__1095.csv,1714,665,0.3880
loop__1096.csv,1714,665,0.3880
loop__1098.csv,1714,665,0.3880
loop__11.csv,1139,657,0.5768
loop__1168.csv,1714,665,0.3880
loop__1193.csv,1714,665,0.3880
loop__1196.csv,1714,665,0.3880
loop__1197.csv,1714,665,0.3880
loop__1199.csv,1714,665,0.3880
loop__12.csv,1139,657,0.5768
loop__1200.csv,1714,665,0.3880
loop__1204.csv,1714,665,0.3880
loop__1208.csv,1714,665,0.3880
loop__1234.csv,1714,665,0.3880
loop__1235.csv,1714,665,0.3880
loop__1241.csv,1714,665,0.3880
loop__1242.csv,1714,665,0.3880
loop__1257.csv,1714,665,0.3880
loop__1258.csv,1714,665,0.3880
loop__1266.csv,1714,665,0.3880
loop__1267.csv,1714,665,0.3880
loop__1268.csv,1714,665,0.3880
loop__1269.csv,1714,665,0.3880
loop__1270.csv,1714,665,0.3880
loop__1290.csv,1714,665,0.3880
loop__1291.csv,1714,665,0.3880
loop__1292.csv,1714,665,0.3880
loop__1294.csv,1714,665,0.3880
loop__1298.csv,1714,665,0.3880
loop__1299.csv,1714,665,0.3880
loop__13.csv,1139,657,0.5768
loop__1316.csv,1714,665,0.3880
loop__1317.csv,1714,665,0.3880
loop__1319.csv,1714,665,0.3880
loop__1344.csv,1714,665,0.3880
loop__1345.csv,1714,665,0.3880
loop__1350.csv,1714,665,0.3880
loop__1351.csv,1714,665,0.3880
loop__1352.csv,1714,665,0.3880
loop__1353.csv,1714,665,0.3880
loop__1354.csv,1714,665,0.3880
loop__1355.csv,1714,665,0.3880
loop__1356.csv,1714,665,0.3880
loop__1357.csv,637,221,0.3469
loop__1358.csv,637,221,0.3469
loop__1359.csv,637,221,0.3469
loop__1360.csv,637,221,0.3469
loop__1361.csv,637,221,0.3469
loop__1391.csv,1714,665,0.3880
loop__1392.csv,1714,665,0.3880
loop__1393.csv,637,221,0.3469
loop__1394.csv,637,221,0.3469
loop__1395.csv,637,221,0.3469
loop__14.csv,1139,657,0.5768
loop__1410.csv,1714,665,0.3880
loop__1411.csv,1714,665,0.3880
loop__1454.csv,1714,665,0.3880
loop__1455.csv,1714,665,0.3880
loop__1457.csv,1714,665,0.3880
loop__1467.csv,1714,665,0.3880
loop__1468.csv,1714,665,0.3880
loop__1470.csv,1714,665,0.3880
loop__1471.csv,1714,665,0.3880
loop__1472.csv,1714,665,0.3880
loop__1483.csv,637,221,0.3469
loop__1484.csv,637,221,0.3469
loop__1485.csv,637,221,0.3469
loop__1499.csv,1714,665,0.3880
loop__15.csv,1304,410,0.3144
loop__1500.csv,637,221,0.3469
loop__1503.csv,1714,665,0.3880
loop__1572.csv,637,221,0.3469
loop__1573.csv,637,221,0.3469
loop__1576.csv,1214,467,0.3847
loop__1577.csv,1214,467,0.3847
loop__1578.csv,1714,665,0.3880
loop__1592.csv,1714,665,0.3880
