IP,CrashOnSameIP
0x40bf35,0.0
0x40c00d,0.0
0x40c012,0.0
0x40c019,0.0
0x40c01e,0.0
0x40c023,0.0
0x40c028,0.0
0x40c02d,0.0
0x40c033,0.0
0x40c038,0.0
0x40c03e,0.0
0x40c043,0.0
0x40c048,0.0
0x40c04e,0.0
0x40c053,0.0
0x40c057,0.0
0x40c05c,0.0
0x40c061,0.0
0x40c066,0.0
0x40c06b,0.0
0x40c071,0.0
0x40c077,0.375
0x40c07b,0.0
0x40c080,0.0
0x40c082,0.0
0x40c087,0.0
0x40c08c,0.0
0x40c090,0.0
0x40c095,0.0
0x40c099,0.0
0x40c09e,0.0
0x40c0a3,0.0
0x40c0a8,0.0
0x40c0ad,0.0
0x40c0b2,0.0
0x40c0b6,0.0
0x40c0ba,0.0
0x40c0bf,0.0
0x40c0c3,0.0
0x40c2d0,0.0
0x40c46e,0.0
0x40c477,0.0
0x40c47e,0.0
0x40c485,0.0
0x40c48c,0.0
0x40c493,0.0
0x40c498,0.0
0x40c49d,0.0
0x40c4a4,0.0
0x40c4aa,0.0
0x40c4af,0.0
0x40c4b4,0.0
0x40c4b9,0.0
0x40c4be,0.0
0x40c4c3,0.0
0x40c4ca,0.0
0x40c4df,0.0
0x40c4e6,0.0
0x40c4ed,0.0
0x40c4f4,0.0
0x40c4fb,0.0
0x40c500,0.0
0x40c505,0.0
0x40c50a,0.0
0x40c510,0.0
0x40c515,0.0
0x40c51a,0.0
0x40c51f,0.0
0x40c532,0.0
0x40c539,0.0
0x40c540,0.0
0x40c545,0.0
0x40c54a,0.0
0x40c54e,0.0
0x40c553,0.0
0x40c557,0.0
0x40c55c,0.0
0x40c560,0.0
0x40c573,0.0
0x40c57a,0.0
0x40c581,0.0
0x40c586,0.0
0x40c58b,0.0
0x40c590,0.0
0x40c595,0.0
0x40c59a,0.0
0x40c59f,0.0
0x40c5a4,0.0
0x40c5b7,1.0
0x40c5bb,0.0
0x40d028,0.0
0x412ab8,0.0
0x412ac2,1.0
0x412ad1,0.0
0x412ae0,0.0
0x412ae4,0.0
0x412afc,0.0
0x412b0e,0.0
0x412b67,0.0
0x412b89,0.0
0x412b97,0.8333333333333334
0x412bad,0.5
0x412bbd,0.6666666666666666
0x412bcd,0.4444444444444444
0x412bdd,1.0
0x412bed,0.6666666666666666
0x412bfd,0.5
0x412c01,0.4444444444444444
0x412c0a,0.2857142857142857
0x412c2c,1.0
0x412c34,1.0
0x412c44,1.0
0x414831,1.0
0x414939,0.0
0x41495c,0.0
0x41497a,0.0
0x4149f9,1.0
0x414a0a,1.0
0x414a1c,0.0
0x414a46,0.0
0x414a54,0.0
0x414a5a,1.0
0x414a84,0.0
0x414a90,0.0
0x414a9c,0.0
0x414abd,0.0
0x414ac6,0.0
0x414ae4,0.0
0x414d70,0.0
0x414d75,0.0
0x415837,0.0
0x415881,0.0
0x41618d,1.0
0x41619a,0.0
0x4161a9,0.0
0x4161b1,0.0
0x41625b,0.0
0x4162ea,0.0
0x41631b,0.0
0x4163bd,0.0
0x4165ad,0.0
0x41729d,0.0
0x4172a7,0.0
0x4172b9,0.0
0x4172cd,1.0
0x4172d0,0.0
0x4172df,0.0
0x4172e9,1.0
0x417305,1.0
0x417308,0.0
0x417321,1.0
0x417329,0.0
0x417333,0.5
0x417340,0.0
0x41734f,0.0
0x417361,0.0
0x41736b,1.0
0x417375,0.0
0x417378,0.0
0x41737c,0.0
0x41738f,1.0
0x4173ac,0.0
0x4173b9,1.0
0x4173dd,0.0
0x4173ef,1.0
0x4173fc,0.0
0x417401,0.0
0x417415,1.0
0x417431,1.0
0x417434,0.0
0x417439,0.0
0x41745d,1.0
0x417467,1.0
0x417477,1.0
0x4174a2,0.0
0x4174b4,0.0
0x4174cb,1.0
0x4174d3,0.0
0x4174e2,0.75
0x4174ea,0.0
0x41752a,0.0
0x417546,0.0
0x417555,1.0
0x41758c,0.0
0x4175b8,0.0
0x4175e4,0.5
0x4175ee,1.0
0x417600,0.0
0x417608,1.0
0x4178c3,0.0
0x4178e5,0.0
0x4179df,0.0
0x419a15,1.0
0x41a80b,0.0
0x41a874,0.0
0x41a8da,0.0
0x41a923,1.0
0x41a94e,0.0
0x41a9c8,0.0
0x41aa03,0.0
0x41aa32,1.0
0x41b287,0.0
0x41b2d5,1.0
0x41b855,0.0
0x41b85c,0.0
0x420961,0.0
0x4209c3,0.0
0x420a3e,1.0
0x420a4d,1.0
0x420a50,1.0
0x420a53,1.0
0x420a70,1.0
0x420a74,0.0
0x420a79,0.7090909090909091
0x420a81,0.0
0x420a84,0.0
0x420a8c,0.0
