loop_name,COUNT,CRASHC,Crash%
loop__0.csv,7,1,0.1429
loop__1.csv,1,0,0.0000
loop__11.csv,8,1,0.1250
loop__118.csv,1,0,0.0000
loop__121.csv,1,0,0.0000
loop__128.csv,1,0,0.0000
loop__13.csv,1,0,0.0000
loop__14.csv,8,1,0.1250
loop__149.csv,1,0,0.0000
loop__158.csv,1,0,0.0000
loop__159.csv,1,0,0.0000
loop__16.csv,8,1,0.1250
loop__209.csv,1,0,0.0000
loop__210.csv,1,0,0.0000
loop__22.csv,1,0,0.0000
loop__223.csv,3,2,0.6667
loop__234.csv,1,0,0.0000
loop__235.csv,1,0,0.0000
loop__237.csv,8,2,0.2500
loop__240.csv,7,1,0.1429
loop__241.csv,1,0,0.0000
loop__248.csv,7,1,0.1429
loop__249.csv,7,1,0.1429
loop__250.csv,5,0,0.0000
loop__253.csv,7,1,0.1429
loop__254.csv,5,0,0.0000
loop__260.csv,7,1,0.1429
loop__264.csv,4,0,0.0000
loop__265.csv,4,0,0.0000
loop__266.csv,4,0,0.0000
loop__267.csv,6,1,0.1667
loop__269.csv,6,1,0.1667
loop__271.csv,6,1,0.1667
loop__272.csv,6,1,0.1667
loop__275.csv,6,1,0.1667
loop__276.csv,6,1,0.1667
loop__277.csv,2,1,0.5000
loop__278.csv,6,1,0.1667
loop__279.csv,6,1,0.1667
loop__280.csv,2,1,0.5000
loop__281.csv,2,1,0.5000
loop__282.csv,2,1,0.5000
loop__283.csv,2,1,0.5000
loop__286.csv,6,1,0.1667
loop__287.csv,8,2,0.2500
loop__288.csv,6,1,0.1667
loop__289.csv,6,1,0.1667
loop__290.csv,6,1,0.1667
loop__291.csv,6,1,0.1667
loop__294.csv,3,2,0.6667
loop__295.csv,2,1,0.5000
loop__296.csv,2,1,0.5000
loop__308.csv,4668,361,0.0773
loop__309.csv,4819,361,0.0749
loop__310.csv,7905,535,0.0677
loop__311.csv,1755,0,0.0000
loop__312.csv,7967,536,0.0673
loop__313.csv,1756,0,0.0000
loop__314.csv,243,106,0.4362
loop__315.csv,5,5,1.0000
loop__318.csv,1450,168,0.1159
loop__319.csv,1501,196,0.1306
loop__320.csv,65,35,0.5385
loop__38.csv,1,0,0.0000
loop__397.csv,10,2,0.2000
loop__398.csv,1,0,0.0000
loop__4.csv,1,0,0.0000
loop__400.csv,4,0,0.0000
loop__403.csv,3,0,0.0000
loop__405.csv,4,0,0.0000
loop__407.csv,1,0,0.0000
loop__412.csv,2,0,0.0000
loop__55.csv,1,0,0.0000
loop__62.csv,8,1,0.1250
loop__63.csv,1,0,0.0000
loop__69.csv,1,0,0.0000
loop__7.csv,8,1,0.1250
loop__75.csv,1,0,0.0000
loop__76.csv,1,0,0.0000
