loop_name,COUNT,CRASHC,Crash%
loop__0.csv,230,63,0.2739
loop__100.csv,76,36,0.4737
loop__101.csv,76,36,0.4737
loop__11.csv,75,36,0.4800
loop__114.csv,75,36,0.4800
loop__115.csv,39,17,0.4359
loop__116.csv,39,17,0.4359
loop__117.csv,39,17,0.4359
loop__118.csv,75,36,0.4800
loop__119.csv,75,36,0.4800
loop__12.csv,302,48,0.1589
loop__121.csv,75,36,0.4800
loop__122.csv,193,53,0.2746
loop__123.csv,27,3,0.1111
loop__124.csv,27,3,0.1111
loop__125.csv,27,3,0.1111
loop__127.csv,27,3,0.1111
loop__13.csv,1,0,0.0000
loop__130.csv,27,3,0.1111
loop__131.csv,103,39,0.3786
loop__132.csv,27,3,0.1111
loop__134.csv,27,3,0.1111
loop__136.csv,27,3,0.1111
loop__137.csv,26,3,0.1154
loop__138.csv,19,2,0.1053
loop__139.csv,16,2,0.1250
loop__15.csv,76,37,0.4868
loop__157.csv,76,36,0.4737
loop__159.csv,170,34,0.2000
loop__16.csv,39,17,0.4359
loop__166.csv,76,36,0.4737
loop__169.csv,75,36,0.4800
loop__17.csv,36,19,0.5278
loop__177.csv,76,36,0.4737
loop__181.csv,39,17,0.4359
loop__182.csv,39,17,0.4359
loop__183.csv,39,17,0.4359
loop__184.csv,39,17,0.4359
loop__185.csv,39,17,0.4359
loop__186.csv,39,17,0.4359
loop__19.csv,40,17,0.4250
loop__2.csv,103,39,0.3786
loop__208.csv,39,17,0.4359
loop__209.csv,39,17,0.4359
loop__217.csv,13,0,0.0000
loop__219.csv,4,0,0.0000
loop__226.csv,76,36,0.4737
loop__237.csv,76,36,0.4737
loop__24.csv,76,36,0.4737
loop__25.csv,211,55,0.2607
loop__252.csv,75,36,0.4800
loop__254.csv,76,36,0.4737
loop__255.csv,76,36,0.4737
loop__26.csv,39,17,0.4359
loop__27.csv,75,36,0.4800
loop__28.csv,102,39,0.3824
loop__285.csv,76,36,0.4737
loop__288.csv,1,1,1.0000
loop__29.csv,150,24,0.1600
loop__298.csv,1,1,1.0000
loop__299.csv,580,108,0.1862
loop__3.csv,76,36,0.4737
loop__30.csv,228,56,0.2456
loop__300.csv,2,0,0.0000
loop__301.csv,19,4,0.2105
loop__302.csv,108,60,0.5556
loop__303.csv,77,47,0.6104
loop__304.csv,21,0,0.0000
loop__305.csv,68,28,0.4118
loop__306.csv,87,24,0.2759
loop__308.csv,36,21,0.5833
loop__31.csv,76,36,0.4737
loop__311.csv,116,25,0.2155
loop__312.csv,44,2,0.0455
loop__313.csv,66,21,0.3182
loop__315.csv,445,79,0.1775
loop__316.csv,268,45,0.1679
loop__317.csv,294,57,0.1939
loop__318.csv,38,1,0.0263
loop__319.csv,153,29,0.1895
loop__32.csv,75,36,0.4800
loop__324.csv,1,0,0.0000
loop__325.csv,1,0,0.0000
loop__326.csv,93,13,0.1398
loop__34.csv,134,21,0.1567
loop__348.csv,89,9,0.1011
loop__349.csv,63,9,0.1429
loop__35.csv,150,24,0.1600
loop__350.csv,193,46,0.2383
loop__351.csv,81,25,0.3086
loop__352.csv,147,33,0.2245
loop__36.csv,150,24,0.1600
loop__374.csv,183,52,0.2842
loop__377.csv,183,52,0.2842
loop__381.csv,4,0,0.0000
loop__387.csv,75,36,0.4800
loop__39.csv,134,21,0.1567
loop__391.csv,39,17,0.4359
loop__394.csv,75,36,0.4800
loop__396.csv,39,17,0.4359
loop__4.csv,76,36,0.4737
loop__40.csv,97,4,0.0412
loop__401.csv,75,36,0.4800
loop__406.csv,39,17,0.4359
loop__41.csv,44,0,0.0000
loop__415.csv,37,17,0.4595
loop__416.csv,76,36,0.4737
loop__419.csv,75,36,0.4800
loop__42.csv,3211,1690,0.5263
loop__420.csv,76,36,0.4737
loop__421.csv,76,36,0.4737
loop__422.csv,36,0,0.0000
loop__423.csv,88,0,0.0000
loop__429.csv,38,19,0.5000
loop__43.csv,2100,1639,0.7805
loop__432.csv,39,19,0.4872
loop__441.csv,36,19,0.5278
loop__443.csv,36,19,0.5278
loop__444.csv,36,19,0.5278
loop__445.csv,36,19,0.5278
loop__45.csv,135,19,0.1407
loop__452.csv,37,20,0.5405
loop__453.csv,1,1,1.0000
loop__454.csv,1,1,1.0000
loop__455.csv,1,1,1.0000
loop__46.csv,135,19,0.1407
loop__465.csv,36,19,0.5278
loop__47.csv,1,1,1.0000
loop__48.csv,1,1,1.0000
loop__480.csv,36,19,0.5278
loop__49.csv,1,1,1.0000
loop__495.csv,1,0,0.0000
loop__496.csv,1,0,0.0000
loop__497.csv,36,19,0.5278
loop__5.csv,103,39,0.3786
loop__50.csv,1,1,1.0000
loop__522.csv,1,0,0.0000
loop__523.csv,1,0,0.0000
loop__53.csv,89,4,0.0449
loop__56.csv,1,0,0.0000
loop__57.csv,17,5,0.2941
loop__58.csv,11,5,0.4545
loop__6.csv,325,60,0.1846
loop__60.csv,75,36,0.4800
loop__61.csv,75,36,0.4800
loop__63.csv,170,50,0.2941
loop__64.csv,39,17,0.4359
loop__65.csv,75,36,0.4800
loop__66.csv,76,36,0.4737
loop__67.csv,75,36,0.4800
loop__7.csv,794,168,0.2116
loop__75.csv,75,36,0.4800
loop__8.csv,1,0,0.0000
loop__81.csv,27,3,0.1111
loop__82.csv,76,36,0.4737
loop__83.csv,76,36,0.4737
loop__84.csv,103,39,0.3786
loop__85.csv,76,36,0.4737
loop__88.csv,103,39,0.3786
loop__89.csv,27,3,0.1111
loop__9.csv,75,36,0.4800
loop__93.csv,76,36,0.4737
loop__94.csv,76,36,0.4737
