loop_name,COUNT,CRASHC,Crash%
loop__203.csv,17,5,0.2941
loop__204.csv,11,5,0.4545
loop__205.csv,135,22,0.1630
loop__206.csv,135,22,0.1630
loop__21.csv,262,75,0.2863
loop__210.csv,134,21,0.1567
loop__213.csv,89,4,0.0449
loop__215.csv,36,0,0.0000
loop__216.csv,88,0,0.0000
loop__219.csv,44,0,0.0000
loop__22.csv,134,21,0.1567
loop__220.csv,3211,1690,0.5263
loop__221.csv,2100,1639,0.7805
loop__23.csv,207,25,0.1208
loop__24.csv,207,25,0.1208
loop__25.csv,207,25,0.1208
loop__265.csv,93,13,0.1398
loop__266.csv,95,14,0.1474
loop__27.csv,134,21,0.1567
loop__28.csv,1,1,1.0000
loop__282.csv,95,14,0.1474
loop__284.csv,95,14,0.1474
loop__287.csv,89,9,0.1011
loop__288.csv,63,9,0.1429
loop__289.csv,108,16,0.1481
loop__294.csv,27,3,0.1111
loop__295.csv,27,3,0.1111
loop__296.csv,27,3,0.1111
loop__297.csv,27,3,0.1111
loop__299.csv,27,3,0.1111
loop__3.csv,75,31,0.4133
loop__301.csv,27,3,0.1111
loop__302.csv,26,3,0.1154
loop__303.csv,19,2,0.1053
loop__304.csv,16,2,0.1250
loop__326.csv,75,31,0.4133
loop__35.csv,75,31,0.4133
loop__350.csv,4,0,0.0000
loop__360.csv,13,0,0.0000
loop__362.csv,4,0,0.0000
loop__365.csv,580,108,0.1862
loop__366.csv,2,0,0.0000
loop__367.csv,19,4,0.2105
loop__368.csv,108,60,0.5556
loop__369.csv,77,47,0.6104
loop__370.csv,21,0,0.0000
loop__371.csv,68,28,0.4118
loop__372.csv,87,24,0.2759
loop__374.csv,36,21,0.5833
loop__377.csv,116,25,0.2155
loop__378.csv,44,2,0.0455
loop__379.csv,66,21,0.3182
loop__381.csv,445,79,0.1775
loop__382.csv,268,45,0.1679
loop__383.csv,294,57,0.1939
loop__384.csv,38,1,0.0263
loop__385.csv,153,29,0.1895
loop__39.csv,75,31,0.4133
loop__390.csv,1,0,0.0000
loop__391.csv,1,0,0.0000
loop__40.csv,75,31,0.4133
loop__402.csv,75,31,0.4133
loop__412.csv,75,31,0.4133
