IP,CrashOnSameIP
0x4.00E+215,0.0
0x4.00E+225,0.0
0x4.00E+233,0.0
0x4.07E+07,0.0
0x4.07E+11,0.6923076923076923
0x4.09E+62,0.2
0x4.09E+67,0.2857142857142857
0x4.09E+71,0.0
0x4.10E+07,0.0
0x4.10E+12,0.0
0x4.11E+08,1.0
0x4.13E+05,0.0
0x4.13E+07,0.0
0x4.13E+11,0.0
0x406590,0.8888888888888888
0x406592,0.75
0x406596,1.0
0x406597,1.0
0x40659a,0.9090909090909091
0x40659b,0.7692307692307693
0x40659f,0.5
0x4065a1,0.9230769230769231
0x4065a4,0.0
0x4065bc,0.0
0x4065c1,0.8461538461538461
0x4065c5,0.9090909090909091
0x4065ca,0.0
0x4065d4,0.0
0x4065eb,0.058823529411764705
0x4065f0,0.0
0x4065f6,0.25
0x4065f8,0.5294117647058824
0x406601,0.2727272727272727
0x406604,0.25
0x406605,0.75
0x406606,0.7272727272727273
0x406620,0.0625
0x406896,1.0
0x40692d,1.0
0x406958,0.0
0x40695c,0.0
0x406965,0.0
0x4069c0,0.0
0x4069c3,0.6666666666666666
0x4069c7,0.0
0x4069cc,0.0
0x4069d1,0.8571428571428571
0x4069d5,0.14285714285714285
0x4069da,0.0
0x406a62,1.0
0x406a70,0.0
0x406a74,0.0
0x406ab3,0.0
0x406ab6,0.0
0x406ab9,0.0
0x406ac2,0.0
0x406ade,0.5
0x406ae3,1.0
0x406aee,0.0
0x406b06,1.0
0x406b10,0.0
0x406b15,0.0
0x406b19,0.0
0x406b1c,0.7272727272727273
0x406b28,0.13793103448275862
0x406b2b,0.873015873015873
0x406b2f,0.08860759493670886
0x406b34,0.005714285714285714
0x406b39,0.7821782178217822
0x406b3d,0.12643678160919541
0x406b42,0.05
0x406b47,0.0
0x406b5c,0.0
0x406b60,0.0
0x407206,0.0
0x40720a,1.0
0x407213,0.0
0x408650,1.0
0x409d55,0.0
0x409d5e,0.0
0x409de0,0.0
0x409de5,0.6666666666666666
0x409de9,0.0
0x409deb,0.25
0x409def,0.0
0x409e6b,0.0
0x409e6f,0.14285714285714285
0x409f4e,1.0
0x409f53,1.0
0x409f58,1.0
0x409f61,0.0
0x409f7f,1.0
0x409f82,0.0
0x409f85,0.0
0x409f8e,0.0
0x409f91,0.0
0x409f99,1.0
0x409fac,1.0
0x40a01c,1.0
0x40a01f,1.0
0x40a033,0.5
0x40a037,0.0
0x40a03e,1.0
0x40a79a,0.0
0x40a7a6,0.0
0x40a7e6,1.0
0x40bf39,1.0
0x40c42f,0.0
0x40c432,0.0
0x40c4e5,1.0
0x40c4ee,0.0
0x40c4fe,0.0
0x40c520,0.45454545454545453
0x40c524,0.0
0x40c529,1.0
0x40c52d,0.0
0x40c530,0.0
0x40c536,0.0
0x40c603,0.0
0x40c738,0.0
0x40c73d,0.4878048780487805
0x40c741,0.0
0x40c743,0.0
0x40c747,0.022222222222222223
0x40c7f7,0.061224489795918366
0x40c7fd,0.02631578947368421
0x40c802,0.025
0x40c80c,0.3617021276595745
0x40c810,0.0
0x40c8c8,0.4090909090909091
0x40c8cc,0.3333333333333333
0x40c8d1,0.0425531914893617
0x40c8d7,0.023809523809523808
0x40c8dd,0.0
0x40c8e1,0.6739130434782609
0x40c8e4,0.6346153846153846
0x40c8e8,0.6666666666666666
0x40c8ec,0.4782608695652174
0x40c8ee,0.7297297297297297
0x40c8f0,0.6470588235294118
0x40c900,0.6875
0x40c904,0.016498625114573784
0x40c909,0.8713886300093197
0x40c90d,0.0781099324975892
0x40c910,0.030592734225621414
0x40c915,0.02054794520547945
0x40c921,0.6388888888888888
0x40c925,0.05
0x40c980,0.0
0x40c985,0.0
0x40c98a,0.35555555555555557
0x40c98e,0.03508771929824561
0x40c990,0.0
0x40ca94,0.0
0x40ca9a,0.0
0x40ca9f,0.0
0x40caa9,0.4594594594594595
0x40caad,0.05714285714285714
0x40cae6,0.022222222222222223
0x40caeb,0.0
0x40caef,0.0
0x40caf9,0.5581395348837209
0x40cafd,0.034482758620689655
0x40cf7a,0.0
0x40cf80,0.0
0x40cf88,0.0
0x40e21b,0.0
0x40e22a,1.0
0x40e22e,0.0
0x40e23c,1.0
0x40e61d,1.0
0x40e640,0.0
0x40e7a0,0.0
0x40e960,0.0
0x40e962,0.0
0x40ea95,0.0
0x40eba6,0.0
0x40ed94,0.0
0x40eea5,1.0
0x40eea9,1.0
0x40eead,1.0
0x40eec0,0.0
0x40eedb,0.0
0x40eee4,0.0
0x40eef2,0.0
0x40ef00,0.42857142857142855
0x40ef04,0.0
0x40ef07,1.0
0x40ef0a,0.0
0x40ef10,1.0
0x40ef6c,1.0
0x40ef70,0.5
0x40ef7e,0.0
0x40ef83,0.0
0x40ef85,0.0
0x40ef87,0.0
0x40ef8a,0.0
0x40ef91,0.0
0x40ef96,0.0
0x40efc1,1.0
0x40efcf,1.0
0x40efd3,0.0
0x40efd7,0.0
0x40efdb,0.5
0x40efe0,0.5
0x40efe4,0.0
0x40efe7,0.8
0x40eff3,0.0
0x40eff7,0.5
0x40effa,0.5
0x40effe,0.0
0x40f008,0.3333333333333333
0x40f00d,0.25
0x40f010,0.3333333333333333
0x40f012,0.4
0x40f020,0.5555555555555556
0x40f023,0.6666666666666666
0x40f026,0.0196078431372549
0x40f02b,0.5833333333333334
0x40f02e,0.0
0x40f032,0.7083333333333334
0x40f035,0.5862068965517241
0x40f039,0.0
0x40f048,0.4666666666666667
0x40f04b,0.6296296296296297
0x40f04e,0.5294117647058824
0x40f052,0.043478260869565216
0x40f05a,0.7
0x40f05d,0.0
0x40f062,0.2857142857142857
0x40f065,0.07692307692307693
0x40f068,0.0
0x40f06c,0.0
0x40f071,0.0
0x40f075,0.0
0x40f07d,0.0
0x40f081,0.0
0x40f086,0.75
0x40f089,0.0
0x40f08c,1.0
0x40f08f,1.0
0x40f0a0,0.8
0x40f0a5,0.8
0x40f0a8,0.5714285714285714
0x40f0ab,0.7
0x40f0ae,0.0
0x40f0b3,0.0
0x40f0b8,0.5652173913043478
0x40f0bb,0.0625
0x40f0bf,0.45454545454545453
0x40f0c2,0.4666666666666667
0x40f0c6,0.0
0x40f0d0,0.5714285714285714
0x40f0d3,0.3448275862068966
0x40f0d6,0.7
0x40f0da,0.07692307692307693
0x40f0de,0.7857142857142857
0x40f0e1,0.0
0x40f0e6,0.125
0x40f0e9,0.0
0x40f0ec,0.0
0x40f0f0,0.0
0x40f0f5,0.125
0x40f0f9,0.0
0x40f0fd,0.8333333333333334
0x40f101,0.45454545454545453
0x40f104,0.875
0x40f108,0.35714285714285715
0x40f112,0.0
0x40f115,0.7142857142857143
0x40f120,0.5294117647058824
0x40f123,0.5
0x40f127,0.42105263157894735
0x40f12d,0.0
0x40f130,0.6666666666666666
0x40f138,0.7027027027027027
0x40f13b,0.48
0x40f13f,0.39473684210526316
0x40f148,0.2857142857142857
0x40f14d,0.6
0x40f151,0.0
0x40f15b,0.7272727272727273
0x40f160,0.5882352941176471
0x40f164,0.5
0x40f169,0.0
0x40f16d,0.0
0x40f760,0.0
0x40f764,0.8333333333333334
0x40f766,0.0
0x40f76b,0.0
0x40f76f,0.0
0x40f774,0.0
0x40f779,0.0
0x40f77d,0.0
0x40f782,0.0
0x40f790,0.0
0x40f795,0.047619047619047616
0x40f79a,0.05263157894736842
0x40f79e,0.0
0x40f7a4,0.038461538461538464
0x40f7a9,0.0
0x40f7ad,0.0
0x40f7b1,0.0
0x40f7b5,0.043478260869565216
0x40f7b9,0.0
0x40f7be,0.0
0x40f7c4,0.0
0x40f7c8,0.0
0x40f7cd,0.1
0x40f7d3,0.1
0x40f7d8,0.05
0x40f7dd,0.0
0x40f7e2,0.0
0x40f7e7,0.041666666666666664
0x40f7eb,0.0
0x40f7f0,0.0
0x40f7f5,0.0
0x40f7fb,0.9642857142857143
0x40f7ff,0.0
0x40f803,0.0
0x40f807,0.09523809523809523
0x40f80b,0.07142857142857142
0x40f80f,0.0
0x40f813,0.0
0x40f818,0.041666666666666664
0x40f822,0.0
0x40f827,0.0
0x40f82c,0.0
0x40f831,0.0
0x40f836,0.0
0x40f83b,0.0
0x40f83f,0.0
0x40f843,0.0
0x40f848,0.0
0x40f84d,0.0
0x40f851,0.0
0x40f856,0.0
0x40f85b,0.0
0x40f85f,0.16666666666666666
0x40f864,0.3333333333333333
0x40f869,0.0
0x40f86e,0.0
0x40f872,0.0
0x40f876,0.0
0x40f87b,0.0
0x40f87f,0.0
