loop_name,COUNT,CRASHC,Crash%
loop__12.csv,11,3,0.2727
loop__13.csv,11,3,0.2727
loop__15.csv,215,25,0.1163
loop__16.csv,2578,267,0.1036
loop__17.csv,4729,507,0.1072
loop__18.csv,4729,507,0.1072
loop__19.csv,4735,507,0.1071
loop__20.csv,4735,507,0.1071
loop__21.csv,130,18,0.1385
loop__22.csv,315,35,0.1111
loop__25.csv,4219,444,0.1052
loop__26.csv,3745,387,0.1033
loop__3.csv,2,0,0.0000
loop__31.csv,151,15,0.0993
loop__32.csv,202,21,0.1040
loop__33.csv,476,56,0.1176
loop__34.csv,750,82,0.1093
loop__35.csv,516,56,0.1085
loop__36.csv,688,56,0.0814
loop__37.csv,651,93,0.1429
loop__38.csv,542,71,0.1310
loop__39.csv,397,44,0.1108
loop__4.csv,1,0,0.0000
loop__40.csv,394,37,0.0939
loop__41.csv,318,27,0.0849
loop__42.csv,304,38,0.1250
loop__43.csv,227,28,0.1233
loop__44.csv,254,26,0.1024
loop__45.csv,113,11,0.0973
loop__46.csv,1368,125,0.0914
loop__47.csv,2456,243,0.0989
loop__48.csv,37,6,0.1622
loop__49.csv,65,9,0.1385
loop__5.csv,1,0,0.0000
loop__50.csv,92,8,0.0870
loop__51.csv,13,2,0.1538
loop__54.csv,11,1,0.0909
