IP,CrashOnSameIP,count
0x403dce,100.0,1
0x403e29,71.42857142857143,7
0x403e2d,50.0,10
0x403e31,20.0,5
0x403e34,75.0,4
0x403e38,50.0,6
0x403e3b,50.0,12
0x403e3f,63.63636363636363,11
0x403e42,0.0,7
0x403e46,33.333333333333336,6
0x403e4a,55.55555555555556,9
0x403e4e,50.0,6
0x403e51,75.0,4
0x403e55,50.0,10
0x403e59,30.0,10
0x403e5d,33.333333333333336,6
0x403e60,0.0,12
0x403e64,0.0,6
0x403e68,81.81818181818181,11
0x403e6c,80.0,10
0x403e70,71.42857142857143,7
0x403e73,58.333333333333336,12
0x403e77,60.0,10
0x403e7a,46.15384615384615,13
0x403e7e,50.0,8
0x403e81,14.285714285714286,14
0x403e85,0.0,8
0x403e89,55.55555555555556,9
0x403e8d,71.42857142857143,7
0x403e91,80.0,10
0x403e94,50.0,6
0x403e98,77.77777777777777,9
0x403e9c,60.0,5
0x403ea0,44.44444444444444,9
0x403ea3,0.0,11
0x403ea7,8.333333333333334,12
0x403eab,66.66666666666667,9
0x403eaf,27.272727272727273,11
0x403eb3,66.66666666666667,3
0x403eb6,50.0,8
0x403eba,14.285714285714286,7
0x403ebd,45.45454545454545,11
0x403ec1,71.42857142857143,7
0x403ec4,11.11111111111111,9
0x403ec8,0.0,13
0x403ecc,44.44444444444444,9
0x403ed0,42.857142857142854,7
0x403ed4,85.71428571428571,7
0x403ed7,46.666666666666664,15
0x403edb,42.857142857142854,7
0x403edf,75.0,4
0x403ee3,50.0,12
0x403ee6,0.0,12
0x403eea,0.0,10
0x403eee,25.0,4
0x403ef3,0.0,15
0x403f01,14.285714285714286,7
0x403f08,9.090909090909092,11
0x404042,50.0,8
0x404046,71.42857142857143,14
0x40404a,100.0,5
0x40404d,50.0,8
0x404051,25.0,8
0x404054,66.66666666666667,3
0x404058,33.333333333333336,9
0x404066,0.0,8
0x40406d,63.63636363636363,11
0x404071,71.42857142857143,7
0x404075,75.0,8
0x404078,78.57142857142857,14
0x40407c,87.5,8
0x404080,83.33333333333333,6
0x404084,60.0,15
0x404092,8.333333333333334,12
0x40409e,0.0,12
0x4040a5,7.6923076923076925,13
0x404256,62.5,8
0x40425a,63.63636363636363,11
0x40425e,71.42857142857143,7
0x404261,62.5,8
0x404265,57.142857142857146,7
0x404268,50.0,10
0x40426c,76.92307692307692,13
0x404270,0.0,10
0x404276,0.0,6
0x40427e,0.0,13
0x404282,0.0,6
0x404288,28.571428571428573,7
0x40428c,0.0,7
0x404292,8.333333333333334,12
0x4042a0,0.0,7
0x4042a7,64.28571428571429,14
0x4042ab,16.666666666666668,6
0x4042af,14.285714285714286,7
0x4042b2,38.46153846153846,13
0x4042b6,54.54545454545455,11
0x4042ba,71.42857142857143,7
0x4042be,100.0,3
0x4042c2,0.0,11
0x4042c8,0.0,7
0x4042d0,0.0,6
0x4042d4,0.0,6
0x4042da,0.0,8
0x4042de,0.0,6
0x4042e4,22.22222222222222,9
0x4042ed,20.0,5
0x4042f5,8.333333333333334,12
0x404302,0.0,9
0x404306,0.0,6
0x40432a,82.3529411764706,17
0x40432b,61.53846153846154,13
0x40433e,0.0,26
0x404350,57.923497267759565,183
0x404354,57.23270440251572,159
0x404358,4.1450777202072535,193
0x40435c,45.88235294117647,170
0x40435f,57.5,200
0x40436f,2.4154589371980677,207
0x404373,3.6458333333333335,192
0x404379,75.0,8
0x40437d,86.36363636363636,22
0x404ec6,72.72727272727273,11
0x404eca,53.84615384615385,13
0x404ece,80.0,10
0x404ed1,61.53846153846154,13
0x404ed6,72.72727272727273,11
0x404ed9,70.0,10
0x404edd,62.5,8
0x404ee0,75.0,12
0x404ee4,60.0,10
0x404ee7,70.0,10
0x404eeb,33.333333333333336,6
0x404eee,0.0,13
0x404ef5,0.0,13
0x404efb,85.71428571428571,7
0x404eff,72.72727272727273,11
0x404f03,42.857142857142854,7
0x404f06,20.0,10
0x404f0b,30.0,10
0x404f0e,50.0,12
0x404f12,88.88888888888889,9
0x404f15,46.15384615384615,13
0x404f19,85.71428571428571,7
0x404f1d,70.0,10
0x404f21,28.571428571428573,7
0x404f24,14.285714285714286,7
0x404f28,0.0,10
0x404f31,60.0,10
0x404f35,55.55555555555556,9
0x404f39,50.0,8
0x404f3c,66.66666666666667,6
0x404f40,57.142857142857146,7
0x404f43,0.0,12
0x404f4a,75.0,8
0x404f4e,70.0,10
0x404f52,66.66666666666667,12
0x404f56,45.45454545454545,11
0x404f5a,57.142857142857146,7
0x404f5d,0.0,5
0x404f64,66.66666666666667,12
0x404f68,0.0,4
0x404f6c,61.53846153846154,13
0x404f6f,62.5,8
0x404f73,33.333333333333336,6
0x404f76,0.0,11
0x404f7b,9.090909090909092,11
0x404f80,0.0,8
0x404f85,20.0,5
0x404f8a,9.090909090909092,11
0x404f92,100.0,8
0x404f96,77.77777777777777,9
0x404f9a,66.66666666666667,12
0x404f9e,50.0,12
0x404fa2,28.571428571428573,7
0x404fa5,0.0,11
0x404faa,0.0,9
0x404fae,0.0,7
0x404fb3,0.0,11
0x404fb8,0.0,3
0x404fbd,12.5,8
0x404fca,0.0,11
0x404fce,13.333333333333334,15
0x4054a1,74.19354838709677,31
0x4054a5,83.33333333333333,30
0x4054a9,76.47058823529412,17
0x4054b0,69.23076923076923,26
0x4054b4,55.0,20
0x4054b9,68.42105263157895,19
0x4054bc,63.63636363636363,22
0x4054c0,66.66666666666667,33
0x4054c3,51.851851851851855,27
0x4054c7,61.76470588235294,34
0x4054ca,70.58823529411765,17
0x4054d1,61.53846153846154,26
0x4054d4,73.07692307692308,26
0x4054d8,48.0,25
0x4054dd,63.333333333333336,30
0x4054e0,75.0,24
0x4054e4,74.19354838709677,31
0x4054e7,60.869565217391305,23
0x4054eb,72.41379310344827,29
0x4054ee,64.28571428571429,28
0x4054f5,57.69230769230769,26
0x4054f8,3.0303030303030303,33
0x4054fe,58.333333333333336,24
0x405502,65.51724137931035,29
0x405507,61.53846153846154,26
0x40550a,66.66666666666667,24
0x40550e,51.515151515151516,33
0x405511,64.28571428571429,28
0x405515,51.351351351351354,37
0x405519,79.41176470588235,34
0x405520,44.44444444444444,27
0x405523,72.72727272727273,22
0x405527,46.42857142857143,28
0x40552c,51.851851851851855,27
0x40552f,42.30769230769231,26
0x405533,41.666666666666664,24
0x405536,65.51724137931035,29
0x40553a,62.5,32
0x40553e,65.38461538461539,26
0x405545,76.47058823529412,17
0x405548,8.0,25
0x405553,0.0,21
0x405557,8.695652173913043,23
0x405653,16.666666666666668,18
0x405657,57.142857142857146,21
0x40565b,14.285714285714286,21
0x40565e,66.66666666666667,18
0x40566a,0.0,17
0x40566e,4.761904761904762,21
0x405678,33.333333333333336,6
0x40567c,85.71428571428571,7
0x405680,70.0,10
0x405683,33.333333333333336,9
0x405687,50.0,4
0x40568a,0.0,8
0x405691,70.0,10
0x405695,55.55555555555556,9
0x405699,66.66666666666667,9
0x40569c,57.142857142857146,14
0x4056a0,70.0,10
0x4056a3,76.92307692307692,13
0x4056a7,33.333333333333336,6
0x4056ab,60.0,5
0x4056ae,40.0,5
0x4056b2,50.0,8
0x4056b5,0.0,8
0x4056bb,55.55555555555556,9
0x4056bf,33.333333333333336,6
0x4056c3,88.88888888888889,9
0x4056c6,70.0,10
0x4056ca,50.0,8
0x4056cd,0.0,9
0x4056d4,100.0,4
0x4056d8,57.142857142857146,7
0x4056dc,42.857142857142854,7
0x4056e0,40.0,5
0x4056e4,100.0,5
0x4056e7,0.0,11
0x4056ee,60.0,10
0x4056f2,77.77777777777777,9
0x4056f6,33.333333333333336,6
0x4056fa,83.33333333333333,6
0x4056fe,37.5,8
0x405701,100.0,2
0x405705,30.76923076923077,13
0x405709,26.666666666666668,15
0x40570d,71.42857142857143,7
0x405711,66.66666666666667,9
0x405714,16.666666666666668,6
0x40571a,44.44444444444444,9
0x40571e,33.333333333333336,9
0x405722,75.0,12
0x405726,61.53846153846154,13
0x40572a,85.71428571428571,7
0x40572d,9.090909090909092,11
0x405739,0.0,11
0x40573d,6.25,16
0x4057af,0.0,2
0x405809,50.0,18
0x40580d,39.130434782608695,23
0x405812,50.0,16
0x405816,50.0,10
0x405819,78.57142857142857,14
0x405820,47.05882352941177,17
0x405827,52.63157894736842,19
0x40582b,75.0,16
0x405830,50.0,18
0x405833,69.23076923076923,13
0x405837,62.5,16
0x40583a,66.66666666666667,18
0x40583e,62.5,8
0x405841,59.09090909090909,22
0x405848,76.92307692307692,13
0x40585c,65.88235294117646,85
0x405860,65.625,96
0x405864,68.08510638297872,94
0x405867,71.5909090909091,88
0x40586b,70.96774193548387,93
0x40586e,5.333333333333333,75
0x405875,5.2631578947368425,76
0x40587e,61.8421052631579,76
0x405882,77.77777777777777,81
0x405886,64.70588235294117,85
0x40588a,70.73170731707317,82
0x40588e,62.5,72
0x405891,7.368421052631579,95
0x405895,2.272727272727273,88
0x40589e,60.55045871559633,109
0x4058a2,69.14893617021276,94
0x4058a6,59.22330097087379,103
0x4058a9,54.651162790697676,86
0x4058ad,63.095238095238095,84
0x4058b0,6.741573033707865,89
0x4058b7,67.70833333333333,96
0x4058bb,56.38297872340426,94
0x4058bf,51.61290322580645,93
0x4058c3,70.4225352112676,71
0x4058c7,52.63157894736842,95
0x4058ca,6.451612903225806,93
0x4058d1,3.883495145631068,103
0x4058d6,4.081632653061225,98
0x4058db,5.714285714285714,105
0x4058e0,3.225806451612903,93
0x4058e5,2.7027027027027026,74
0x4058ee,1.2658227848101267,79
0x4058f3,5.617977528089888,89
0x4058f7,6.481481481481482,108
0x4058fc,4.49438202247191,89
0x405901,9.574468085106384,94
0x405906,5.333333333333333,75
0x40590f,53.08641975308642,81
0x405913,60.869565217391305,92
0x405917,57.77777777777778,90
0x40591a,56.8421052631579,95
0x40591e,44.086021505376344,93
0x405921,4.301075268817204,93
0x405928,57.57575757575758,99
0x40592c,71.25,80
0x405930,65.17857142857143,112
0x405934,48.35164835164835,91
0x405938,58.42696629213483,89
0x40593b,2.4390243902439024,82
0x405942,54.54545454545455,88
0x405946,68.36734693877551,98
0x40594a,50.68493150684932,73
0x40594d,51.96078431372549,102
0x405951,64.0,100
0x405954,6.185567010309279,97
0x405959,5.747126436781609,87
0x405962,57.94392523364486,107
0x405966,55.172413793103445,87
0x40596a,54.929577464788736,71
0x40596e,54.08163265306123,98
0x405972,61.03896103896104,77
0x405975,6.930693069306931,101
0x40597a,7.407407407407407,81
0x405983,52.63157894736842,95
0x405987,62.5,104
0x40598b,57.31707317073171,82
0x40598e,63.75,80
0x405992,65.38461538461539,78
0x405995,4.054054054054054,74
0x40599a,5.319148936170213,94
0x4059a3,60.714285714285715,84
0x4059a7,61.03896103896104,77
0x4059ab,57.64705882352941,85
0x4059af,51.470588235294116,68
0x4059b3,63.63636363636363,99
0x4059b6,4.395604395604396,91
0x4059bb,9.473684210526315,95
0x4059c9,1.0869565217391304,92
0x4059cd,9.322033898305085,118
0x4059dc,5.882352941176471,17
0x4059e0,0.0,20
0x414939,100.0,1
0x4154b7,0.0,1
0x4158a8,0.0,1
0x415a87,0.0,1
0x41e5dd,100.0,1
0x41ea84,100.0,1
0x41eb35,0.0,1
0x41eb59,0.0,1
0x41eb5d,0.0,1
0x41eb78,0.0,1
0x41ee20,81.81818181818181,11
0x41ee22,0.0,5
0x41ee26,100.0,12
0x41ee27,100.0,10
0x41ee28,100.0,5
0x41ee32,0.0,5
0x41ee36,66.66666666666667,6
0x41ee38,28.571428571428573,7
0x41ee3b,14.285714285714286,7
0x41ee47,0.0,5
0x41ee4e,0.0,10
0x41ee52,0.0,8
0x41ee55,0.0,9
0x41ee59,0.0,9
0x41ee5b,33.333333333333336,3
0x41ee60,14.285714285714286,7
0x41ee6b,0.0,8
0x41ee76,0.0,1
0x41ee7a,0.0,4
0x41ee82,0.0,3
0x41ee8a,0.0,3
0x41ee8e,0.0,4
0x41ee92,0.0,3
0x41ee96,0.0,2
0x41ee9e,0.0,3
0x41eea6,0.0,1
0x41eeaa,33.333333333333336,3
0x41eeb2,0.0,2
0x41eeb6,0.0,1
0x41eebe,0.0,2
0x41eec2,0.0,1
0x41eec6,0.0,5
0x41eeca,0.0,1
0x41eed2,0.0,1
0x41eed6,0.0,2
0x41eee2,0.0,1
0x41eee6,0.0,1
0x41eef6,33.333333333333336,3
0x41ef00,14.285714285714286,7
0x41ef09,91.66666666666667,12
0x41ef0d,20.0,5
0x41ef11,90.9090909090909,11
0x41ef12,88.88888888888889,9
0x41ef13,55.55555555555556,9
0x41ef20,0.0,5
0x41ef2b,50.0,2
0x41ef33,0.0,3
0x41ef35,0.0,1
