IP,CrashOnSameIP,count
0x403cde,0.0,1
0x403ced,100.0,1
0x403cf1,0.0,1
0x403cf9,100.0,2
0x403d04,0.0,1
0x403d08,0.0,1
0x403d0c,0.0,1
0x403d10,0.0,1
0x403d1b,0.0,1
0x403d24,0.0,3
0x403d2e,0.0,6
0x403d37,0.0,3
0x403d3b,0.0,6
0x403d42,0.0,8
0x403d48,0.0,2
0x403d4c,0.0,4
0x403d56,0.0,6
0x403d5e,66.66666666666667,3
0x403d6b,33.333333333333336,3
0x403d6e,50.0,2
0x403d78,0.0,4
0x403d7d,0.0,5
0x403d81,0.0,3
0x403d87,0.0,12
0x403d91,0.0,3
0x403d99,0.0,1
0x403da6,37.5,8
0x403da9,100.0,6
0x403db0,0.0,2
0x403db5,0.0,5
0x403db9,0.0,7
0x403dbe,0.0,5
0x403dc4,0.0,5
0x403dc8,0.0,4
0x403dd2,0.0,3
0x403dda,50.0,6
0x403de7,57.142857142857146,7
0x403dea,66.66666666666667,3
0x403df0,100.0,9
0x403df3,0.0,8
0x403df6,0.0,4
0x403df9,0.0,5
0x403dfc,0.0,8
0x403dff,66.66666666666667,3
0x403e0c,0.0,2
0x403e11,0.0,1
0x403e2a,100.0,1
0x403e33,0.0,1
0x403e44,100.0,1
0x403e4e,100.0,1
0x403e5c,0.0,1
0x403e7d,0.0,1
0x403f50,100.0,1
0x403f55,0.0,1
0x403f5d,100.0,1
0x403f60,100.0,1
0x403f6d,100.0,2
0x404760,32.89473684210526,76
0x404764,60.256410256410255,78
0x404768,65.78947368421052,76
0x40476d,0.0,72
0x404771,0.0,71
0x404775,26.923076923076923,78
0x404780,58.66276232308443,2049
0x404784,0.0,2107
0x40478a,47.585513078470825,1988
0x40478e,3.9562727745965645,1921
0x404790,0.0,2134
0x404795,0.0,2037
0x4047a1,52.054794520547944,73
0x4047a5,0.0,73
0x404f36,0.0,1
0x404f3b,0.0,1
0x404f44,0.0,1
0x404f4a,0.0,1
0x404f54,0.0,1
0x404f67,0.0,4
0x405128,0.0,251
0x40512d,0.0,265
0x405131,0.0,235
0x40513b,48.03921568627451,204
0x40513f,0.0,252
0x4051c0,0.0,82
0x4051c5,0.0,63
0x4051ca,54.11764705882353,85
0x4051ce,4.6875,64
0x4051d0,0.0,69
0x4051f0,0.0,69
0x4051f5,46.06741573033708,89
0x4051f9,7.5,80
0x4051fb,0.0,83
0x4051ff,0.0,70
