IP,CrashOnSameIP,count
0x403565,0.0,1
0x403644,0.0,1
0x403650,100.0,1
0x403675,100.0,1
0x403678,0.0,2
0x403699,100.0,1
0x4036e0,0.0,1
0x4036f7,100.0,1
0x403727,100.0,1
0x40373c,0.0,1
0x40377c,100.0,1
0x4037bd,0.0,1
0x4037cf,100.0,1
0x4037d7,0.0,1
0x403868,0.0,1
0x403cd7,100.0,1
0x403cdb,0.0,1
0x403e3c,100.0,1
0x404349,0.0,1
0x404367,0.0,1
0x40439d,0.0,1
0x4043a1,0.0,1
0x4043c4,0.0,1
0x4044bb,0.0,1
0x404668,0.0,1
0x404684,0.0,1
0x4046c0,0.0,1
0x40477d,0.0,1
0x404795,0.0,1
0x4047d7,0.0,1
0x404809,0.0,1
0x40483e,0.0,2
0x404846,100.0,1
0x4048c0,0.0,1
0x4049c7,100.0,1
0x4049e7,0.0,1
0x404a0d,100.0,1
0x404a17,0.0,1
0x404a1f,100.0,1
0x404a44,0.0,1
0x404c01,0.0,1
0x404c21,0.0,1
0x404c2b,0.0,1
0x405065,0.0,1
0x405940,100.0,1
0x405d30,100.0,1
0x405d35,0.0,1
0x406422,0.0,1
0x4113c2,0.0,1
0x4114b0,100.0,1
0x4115a4,0.0,2
0x4115a7,50.0,2
0x4115b2,0.0,1
0x4115c6,0.0,3
0x4115d2,0.0,2
0x4115d6,50.0,4
0x4115db,50.0,4
0x4115df,80.0,5
0x4115e4,62.5,8
0x4115ec,42.857142857142854,7
0x4115f2,25.0,4
0x4115f8,0.0,2
0x4115fc,100.0,2
0x411608,33.333333333333336,3
0x41160d,0.0,1
0x411764,0.0,1
0x41176f,0.0,1
0x4117de,0.0,1
0x41180a,100.0,1
0x411829,0.0,1
0x411848,16.666666666666668,6
0x41184c,50.0,6
0x41185a,50.0,4
0x41185e,20.0,5
0x411863,100.0,1
0x411900,0.0,1
0x411913,100.0,1
0x411917,100.0,1
0x41199d,0.0,1
0x411a00,0.0,3
0x411a04,0.0,2
0x411a08,55.55555555555556,9
0x411a12,20.0,5
0x411a16,80.0,10
0x4157ab,0.0,1
0x415d1f,100.0,1
0x416fab,0.0,1
0x41738f,0.0,1
0x424c1c,100.0,1
0x424cd5,0.0,1
0x424d00,50.0,2
0x424d05,0.0,2
0x424d09,100.0,2
0x424d17,0.0,1
0x424d1e,0.0,1
0x424d22,0.0,1
0x424d26,100.0,3
0x424d2b,0.0,1
0x424d42,0.0,1
0x424d53,100.0,1
0x424d6f,0.0,1
0x424d74,0.0,1
0x424d7c,50.0,2
0x424d85,0.0,1
0x424d9e,0.0,1
0x424da6,0.0,1
0x424da9,100.0,1
0x424f1b,0.0,1
