IP,CrashOnSameIP,count
0x400ca0,100.0,26
0x400ca1,0.0,37
0x400ca9,2.857142857142857,35
0x400cac,100.0,21
0x400cb1,100.0,38
0x400cb4,91.66666666666667,36
0x400d08,0.0,39
0x400d0a,3.125,32
0x400d0c,87.09677419354838,31
0x400d19,100.0,35
0x400d60,26.666666666666668,15
0x400d62,0.0,17
0x400d70,68.68686868686869,297
0x400d74,66.77018633540372,322
0x400d78,46.0431654676259,278
0x400d81,0.0,284
0x400d85,4.659498207885305,279
0x400d88,0.0,285
0x400d8c,0.0,268
0x400d9b,54.166666666666664,24
0x400d9f,0.0,19
0x400fa8,80.0,20
0x400fac,100.0,14
0x400fb5,81.81818181818181,11
0x400fb9,100.0,19
0x400fbd,47.61904761904762,21
0x400fc6,0.0,19
0x401090,0.0,14
0x401095,91.30434782608695,23
0x401098,87.5,8
0x4010a6,95.17684887459806,311
0x4010aa,6.94980694980695,259
0x4010af,81.25,16
0x4010b3,0.0,13
0x401190,68.82591093117409,247
0x401194,0.0,297
0x401199,0.0,282
0x4011a0,45.018450184501845,271
0x4011a4,3.041825095057034,263
0x4011a6,0.0,281
0x4013d0,0.0,241
0x4013d4,67.50902527075812,277
0x4013d7,63.983050847457626,236
0x4013db,0.0,265
0x4013df,63.23529411764706,272
0x4013e2,64.4927536231884,276
0x4013e7,0.0,278
0x4013ed,0.0,267
0x4013f3,50.18181818181818,275
0x4013f7,0.0,279
0x4013fb,4.545454545454546,286
0x4013fd,0.0,273
0x401401,0.0,274
0x401405,0.0,269
0x401409,0.0,274
0x40140d,0.0,272
0x401411,0.0,267
0x401416,0.0,251
0x40141a,0.0,259
0x401d25,0.0,23
0x401d29,95.45454545454545,22
0x401d2d,0.0,22
0x401d31,0.0,16
0x401d3e,0.0,19
