IP,CrashOnSameIP,count
0x4008c8,93.22033898305085,59
0x4008cf,82.53968253968254,63
0x4008d4,79.16666666666667,72
0x4008d9,0.0,64
0x4008db,49.31506849315068,73
0x4008e8,32.25806451612903,124
0x4008ec,36.231884057971016,69
0x4008f0,66.66666666666667,57
0x4008f4,2.857142857142857,70
0x40090a,22.058823529411764,68
0x400978,88.39050131926122,379
0x40097f,82.32044198895028,362
0x400984,61.224489795918366,392
0x400989,0.0,356
0x400990,19.024390243902438,410
0x400999,89.34624697336562,413
0x4009a0,79.48717948717949,390
0x4009a5,0.0,382
0x4009a7,66.66666666666667,384
0x4009b1,73.21867321867322,407
0x4009b6,22.0873786407767,412
0x4009ba,74.14248021108179,379
0x4009c1,0.0,392
0x400a00,43.07692307692308,65
0x400a04,0.0,60
0x400a38,62.18274111675127,788
0x400a3b,60.09791921664627,817
0x400a40,0.0,836
0x400a48,60.526315789473685,76
0x400a4c,31.57894736842105,57
0x400a4e,27.536231884057973,69
0x400a51,32.25806451612903,62
0x400a53,0.0,66
0x400a57,35.82089552238806,67
0x400a59,41.1764705882353,68
0x400a5d,65.07936507936508,63
0x400a60,39.130434782608695,69
0x400a63,77.04918032786885,61
0x400a67,80.70175438596492,57
0x400a6a,85.24590163934427,61
0x400a70,58.12807881773399,406
0x400a73,0.0,391
0x400a79,0.0,123
0x400a81,0.0,137
0x400a88,81.01604278074866,374
0x400a8c,18.446601941747574,412
0x400a91,2.3225806451612905,775
0x400a94,0.0,808
0x400aa8,0.0,762
0x400ab9,0.0,86
0x400ac3,50.55762081784387,807
0x400ac7,0.0,800
