IP,CrashOnSameIP,count
0x400adb,100.0,56
0x400ae0,75.43859649122807,57
0x400ae5,94.11764705882354,51
0x400aea,85.41666666666667,48
0x400af4,4.545454545454546,66
0x400af7,0.0,71
0x400afa,96.66666666666667,60
0x400b0a,79.03225806451613,62
0x400b0f,40.32258064516129,62
0x400b18,89.23076923076923,65
0x400b1d,85.71428571428571,63
0x400b22,0.0,46
0x400b24,48.888888888888886,45
0x400b29,71.42857142857143,56
0x400b31,0.0,48
0x400b37,0.0,51
0x400b3d,0.0,50
0x400b42,0.0,52
0x400b48,0.0,47
0x400b4c,0.0,63
0x400b50,0.0,48
0x400b54,0.0,66
0x400b58,0.0,45
0x400b68,1.694915254237288,59
0x400b6c,0.0,55
0x400b70,0.0,59
0x400b75,0.0,57
0x400b7a,53.333333333333336,45
0x400b80,0.0,62
0x400b89,66.07142857142857,56
0x400b8c,0.0,71
0x400b8e,52.94117647058823,68
0x400b90,0.0,49
0x400ba0,0.0,286
0x400ba3,0.0,286
0x400ba8,0.0,287
0x400bab,0.0,275
0x400bb1,0.0,166
0x400bb5,23.28767123287671,146
0x400bb8,0.0,156
0x400bbc,3.3834586466165413,266
0x400bbf,63.46153846153846,312
0x400bc3,0.0,255
0x400bc8,75.80645161290323,62
0x400bcc,0.0,55
0x400bd3,72.41379310344827,58
0x400bd6,0.0,58
0x400bda,0.0,62
0x400bdf,0.0,64
0x400be2,0.0,47
0x400bec,0.0,55
0x400bf0,0.0,62
0x400bf4,0.0,61
0x400bf8,0.0,62
0x400bfc,0.0,55
0x400cc0,0.0,2
0x400ccc,50.0,2
0x400ce4,0.0,1
