IP,CrashOnSameIP,count
0x400d88,0.0,2
0x400d92,0.0,1
0x400da4,0.0,2
0x400dac,0.0,1
0x400dbf,0.0,1
0x400e01,0.0,1
0x400e46,0.0,1
0x400e55,0.0,1
0x400ea2,0.0,2
0x400ebd,0.0,3
0x4012a0,0.0,1
0x401317,0.0,1
0x401371,0.0,1
0x4013b0,33.333333333333336,3
0x4013b4,0.0,6
0x4013b9,100.0,1
0x4013c0,12.62135922330097,103
0x4013c6,10.69182389937107,159
0x4013ca,12.658227848101266,158
0x4013ce,16.853932584269664,89
0x4013d4,7.6923076923076925,91
0x4013da,14.117647058823529,85
0x4013e0,4.040404040404041,99
0x4013e6,6.024096385542169,83
0x4013ec,9.782608695652174,92
0x4013f2,6.578947368421052,76
0x4013f6,8.13953488372093,86
0x4013fc,3.9473684210526314,76
0x401400,11.650485436893204,103
0x401404,9.0,100
0x401408,10.526315789473685,95
0x40140d,10.465116279069768,86
0x401414,6.862745098039215,102
0x40141d,10.0,200
0x401421,8.602150537634408,93
0x401427,8.045977011494253,87
0x40142d,10.227272727272727,88
0x401431,8.695652173913043,92
0x401437,11.538461538461538,104
0x40143d,8.860759493670885,79
0x401440,10.1010101010101,99
0x401446,12.359550561797754,89
0x40144c,9.090909090909092,88
0x40144f,16.091954022988507,87
0x401453,16.831683168316832,101
0x40145a,10.975609756097562,82
0x40145e,17.894736842105264,95
0x401462,8.823529411764707,102
0x401467,10.526315789473685,76
0x40146b,8.974358974358974,78
0x401476,13.513513513513514,74
0x40147d,14.736842105263158,95
0x401487,19.767441860465116,86
0x40148e,5.319148936170213,94
0x40149a,18.823529411764707,85
0x4014a1,14.64968152866242,157
0x4014a4,14.634146341463415,123
0x4014b6,0.0,1
0x4014ba,0.0,2
0x4014be,25.0,4
