IP,CrashOnSameIP,count
0x40107f,100.0,1
0x401090,0.0,5
0x401092,0.0,8
0x401094,28.571428571428573,7
0x401097,0.0,11
0x4010a0,0.0,1254
0x4010a5,46.887631366208566,1237
0x4010a9,0.0,1249
0x4010ad,67.71589991928975,1239
0x4010b0,4.769736842105263,1216
0x4010b2,0.0,1261
0x4010b8,0.0,5
0x4010bd,20.0,5
0x4010c6,71.42857142857143,7
0x4010c9,0.0,8
0x401160,55.55555555555556,9
0x401162,0.0,6
0x401164,100.0,3
0x401168,0.0,9
0x401170,0.0,1214
0x401175,47.86117836965295,1239
0x401179,0.0,1245
0x40117d,69.60065199674001,1227
0x401180,4.286892003297609,1213
0x401182,0.0,1226
0x401188,0.0,9
0x401190,85.71428571428571,7
0x401194,0.0,8
0x401980,72.72727272727273,11
0x401983,78.57142857142857,14
0x401986,72.22222222222223,18
0x40198a,0.0,10
0x401995,0.0,19
