IP,CrashOnSameIP,count
0x4.00E+215,0.0,1
0x4.00E+225,0.0,1
0x4.00E+233,0.0,1
0x4.07E+07,0.0,16
0x4.07E+11,69.23076923076923,13
0x4.09E+62,20.0,5
0x4.09E+67,28.571428571428573,7
0x4.09E+71,0.0,6
0x4.10E+07,0.0,1
0x4.10E+12,0.0,4
0x4.11E+08,100.0,1
0x4.13E+05,0.0,1
0x4.13E+07,0.0,1
0x4.13E+11,0.0,3
0x406590,88.88888888888889,9
0x406592,75.0,8
0x406596,100.0,18
0x406597,100.0,7
0x40659a,90.9090909090909,11
0x40659b,76.92307692307692,13
0x40659f,50.0,10
0x4065a1,92.3076923076923,13
0x4065a4,0.0,11
0x4065bc,0.0,14
0x4065c1,84.61538461538461,13
0x4065c5,90.9090909090909,11
0x4065ca,0.0,10
0x4065d4,0.0,12
0x4065eb,5.882352941176471,17
0x4065f0,0.0,16
0x4065f6,25.0,12
0x4065f8,52.94117647058823,17
0x406601,27.272727272727273,11
0x406604,25.0,12
0x406605,75.0,12
0x406606,72.72727272727273,11
0x406620,6.25,16
0x406896,100.0,1
0x40692d,100.0,1
0x406958,0.0,4
0x40695c,0.0,1
0x406965,0.0,2
0x4069c0,0.0,3
0x4069c3,66.66666666666667,3
0x4069c7,0.0,3
0x4069cc,0.0,3
0x4069d1,85.71428571428571,7
0x4069d5,14.285714285714286,7
0x4069da,0.0,2
0x406a62,100.0,1
0x406a70,0.0,2
0x406a74,0.0,1
0x406ab3,0.0,1
0x406ab6,0.0,1
0x406ab9,0.0,1
0x406ac2,0.0,1
0x406ade,50.0,2
0x406ae3,100.0,1
0x406aee,0.0,1
0x406b06,100.0,1
0x406b10,0.0,16
0x406b15,0.0,19
0x406b19,0.0,16
0x406b1c,72.72727272727273,11
0x406b28,13.793103448275861,58
0x406b2b,87.3015873015873,63
0x406b2f,8.860759493670885,79
0x406b34,0.5714285714285714,175
0x406b39,78.21782178217822,101
0x406b3d,12.64367816091954,87
0x406b42,5.0,20
0x406b47,0.0,14
0x406b5c,0.0,21
0x406b60,0.0,13
