IP,CrashOnSameIP,count
0x400dd0,0.0,3
0x400dd5,50.0,4
0x400dda,0.0,1
0x400dde,50.0,2
0x400de7,0.0,1
0x400f59,0.0,1
0x400fa5,16.666666666666668,6
0x400fa9,0.0,1
0x400fb2,0.0,4
0x40106c,0.0,1
0x40114b,0.0,1
0x404810,8.0,25
0x404811,50.0,6
0x404815,18.181818181818183,11
0x404818,33.333333333333336,9
0x40481b,22.22222222222222,18
0x40481f,10.0,10
0x404822,6.666666666666667,15
0x40482a,8.333333333333334,12
0x40482d,7.142857142857143,14
0x404835,0.0,9
0x404838,11.11111111111111,9
0x40483c,7.6923076923076925,13
0x404980,20.0,5
0x404985,33.333333333333336,6
0x404988,0.0,3
0x40498c,0.0,4
0x404994,0.0,6
0x40499c,0.0,6
0x4049a0,0.0,2
0x4049a4,66.66666666666667,3
0x4049a8,0.0,3
0x4049ac,33.333333333333336,3
0x4049b0,0.0,1
0x4049b4,25.0,4
0x4049b7,20.0,5
0x4049bb,50.0,2
0x4049bf,0.0,3
0x4049c2,20.0,5
0x4049c8,0.0,4
0x4049cc,0.0,3
0x4049d0,0.0,8
0x4049d6,0.0,2
0x4049da,0.0,3
0x4049dd,0.0,3
0x4049e1,0.0,3
0x4049e9,50.0,6
0x4049ee,0.0,6
0x4049f3,16.666666666666668,6
0x4049f7,0.0,1
0x4049fb,0.0,1
0x4049ff,0.0,6
0x404a03,0.0,5
0x404a0b,75.0,4
0x404a13,0.0,2
0x404a17,0.0,2
0x404a1b,0.0,3
0x404a23,0.0,4
0x404a2b,0.0,3
0x404a30,0.0,4
0x404a38,11.11111111111111,9
0x404a3b,0.0,5
0x404a49,0.0,3
0x404a4d,0.0,4
0x404a53,0.0,4
0x404a59,50.0,6
0x404a5f,0.0,5
0x404a66,0.0,1
0x404a6a,0.0,3
0x404a70,0.0,4
0x404a76,0.0,2
0x404a7c,0.0,1
0x404a82,0.0,2
0x404a88,0.0,3
0x404a8c,0.0,5
0x404a91,0.0,4
0x404a95,0.0,2
0x404a99,33.333333333333336,3
0x404a9c,0.0,3
0x404aa2,0.0,2
0x404aae,0.0,4
0x404ab4,66.66666666666667,3
0x404ab9,33.333333333333336,3
0x404ac6,16.666666666666668,6
0x404aca,0.0,3
0x404acf,0.0,3
0x404ad3,0.0,3
0x404ad9,20.0,5
0x404add,0.0,10
0x404ae3,0.0,10
0x404ae7,0.0,4
0x404aef,0.0,4
0x404af3,50.0,4
0x404af7,0.0,2
0x404afb,0.0,2
0x404aff,0.0,4
0x404b07,0.0,5
0x404b0c,0.0,2
0x404b10,0.0,2
0x404b17,0.0,6
0x404b1b,50.0,4
0x404b1f,0.0,5
0x404b23,20.0,5
0x404b27,0.0,2
0x404b2b,50.0,2
0x404b2f,0.0,3
0x404b33,50.0,2
0x404b37,0.0,1
0x404b3b,0.0,3
0x404b3f,33.333333333333336,6
0x404b47,0.0,5
0x404b4c,20.0,5
0x404b51,50.0,2
0x404b55,50.0,2
0x404b5a,0.0,4
0x404b5e,33.333333333333336,6
0x404b62,0.0,4
0x404b66,0.0,2
0x404b6e,0.0,6
0x404b77,0.0,1
0x404b7b,33.333333333333336,3
0x404b83,0.0,6
0x404b87,0.0,5
0x404b8f,0.0,7
0x404b93,0.0,3
0x404b97,50.0,2
0x404b9f,0.0,4
0x404ba3,75.0,4
0x404ba7,0.0,7
0x404bb0,0.0,4
0x404bb3,28.571428571428573,7
0x404bb8,0.0,1
0x404bbc,0.0,6
0x404bc0,20.0,5
0x404bc4,100.0,1
0x404bcc,25.0,4
0x404bcf,25.0,8
0x404bd4,0.0,2
0x404bd8,25.0,4
0x404bdc,0.0,4
0x404be0,0.0,2
0x404be8,0.0,2
0x404bf0,0.0,1
0x404bf4,0.0,3
0x404bf8,50.0,2
0x404c00,0.0,3
0x404c05,0.0,1
0x404c09,33.333333333333336,3
0x404c11,33.333333333333336,3
0x404c16,0.0,1
0x404c20,0.0,6
0x404c22,20.0,5
0x404c24,0.0,4
0x404c27,0.0,4
0x404c28,0.0,1
0x404c29,0.0,3
0x404c2c,33.333333333333336,3
0x404c32,20.0,5
0x404c39,0.0,4
0x404c4a,0.0,3
0x404c57,16.666666666666668,6
0x404c60,0.0,1
0x404c65,33.333333333333336,3
0x404c67,0.0,1
0x404c6b,40.0,5
0x404c6e,18.75,16
0x404c76,23.076923076923077,13
0x404c78,0.0,15
0x404c7d,22.22222222222222,9
0x404c81,8.333333333333334,12
0x404c86,33.333333333333336,3
0x404c8b,0.0,3
0x404c91,0.0,3
0x404c93,0.0,3
0x404c95,0.0,2
0x404d29,33.333333333333336,3
0x404d2e,20.0,10
0x404d33,0.0,4
0x404d38,0.0,2
0x404d3c,25.0,4
0x404d40,20.0,5
0x404d44,28.571428571428573,7
0x404d49,0.0,1
0x404d4f,0.0,1
0x404d55,0.0,3
0x404d5b,0.0,3
0x404d5f,0.0,6
0x404d62,100.0,1
0x404d63,0.0,1
0x404d66,0.0,2
0x404d69,0.0,4
0x404d71,16.666666666666668,6
0x404d72,0.0,8
0x404d73,0.0,7
0x404d7a,0.0,4
0x404d82,14.285714285714286,7
0x404d88,8.30670926517572,313
0x404d8c,9.523809523809524,357
0x404d91,13.595166163141993,331
0x404d94,9.947643979057592,382
0x404d97,9.333333333333334,375
0x404dae,9.243697478991596,357
0x404db2,9.3841642228739,341
0x404db7,0.0,2
0x404dbf,0.0,1
0x404dce,0.0,1
0x404dd5,0.0,7
0x404dd6,50.0,2
0x404dd7,33.333333333333336,6
0x404dd9,33.333333333333336,3
0x404fd9,0.0,1
0x404fe6,100.0,1
0x40501f,0.0,1
0x405030,20.0,5
0x405035,16.666666666666668,6
0x405042,0.0,2
0x405060,4.0,25
0x40506c,11.538461538461538,26
0x405070,9.75609756097561,41
0x405083,0.0,1
0x405094,0.0,1
0x4050bd,0.0,1
0x4050d0,5.0,20
0x4050d5,10.526315789473685,19
0x4050d9,11.11111111111111,27
0x4050e5,16.0,25
0x4050e9,4.545454545454546,22
0x4050f5,100.0,1
0x4050fc,0.0,1
0x405140,5.555555555555555,18
0x405148,19.047619047619047,21
0x405150,10.714285714285714,28
0x405155,13.513513513513514,37
0x40515c,6.666666666666667,30
0x405160,12.5,24
0x405164,11.11111111111111,36
0x405170,10.714285714285714,28
0x405174,3.125,32
0x405180,0.0,1
0x4051be,100.0,1
0x4051d0,25.0,20
0x4051d8,18.181818181818183,22
0x4051e0,9.523809523809524,21
0x4051e5,10.714285714285714,28
0x4051ec,13.043478260869565,23
0x4051f0,16.129032258064516,31
0x4051f4,8.0,25
0x405200,7.407407407407407,27
0x405204,6.666666666666667,30
0x40520c,0.0,2
0x40521c,100.0,1
0x405232,25.0,4
0x40523a,0.0,1
0x405244,0.0,3
0x405254,0.0,1
0x405260,3.8461538461538463,26
0x405268,28.571428571428573,21
0x405270,3.5714285714285716,28
0x405275,11.538461538461538,26
0x40527c,12.5,24
0x405280,10.714285714285714,28
0x405288,4.166666666666667,24
0x40528e,12.0,25
0x405292,19.23076923076923,26
0x405296,10.0,20
0x4052a2,19.23076923076923,26
0x4052a6,16.666666666666668,30
0x4052b2,0.0,1
0x4052b6,0.0,1
0x4052b9,0.0,1
0x4052ca,0.0,1
0x4052ce,0.0,1
0x4052db,0.0,1
0x4052e8,0.0,2
0x4052ee,0.0,1
0x4052f0,0.0,1
0x405300,13.793103448275861,29
0x405308,6.818181818181818,44
0x405310,3.5714285714285716,28
0x405315,7.142857142857143,28
0x40531b,4.545454545454546,22
0x40531f,18.181818181818183,22
0x405327,27.272727272727273,11
0x40532c,3.7037037037037037,27
0x405330,9.523809523809524,21
0x405334,7.407407407407407,27
0x405340,6.0606060606060606,33
0x405344,7.6923076923076925,26
0x405356,0.0,2
0x405387,100.0,1
0x40538f,0.0,1
0x4053a0,16.666666666666668,30
0x4053a8,3.8461538461538463,26
0x4053b0,17.24137931034483,29
0x4053b5,3.8461538461538463,26
0x4053bb,5.555555555555555,36
0x4053bf,0.0,30
0x4053c7,11.764705882352942,17
0x4053cc,19.047619047619047,21
0x4053d0,7.6923076923076925,26
0x4053d8,7.407407407407407,27
0x4053df,12.5,24
0x4053e3,8.695652173913043,23
0x4053e7,3.5714285714285716,28
0x4053f3,13.636363636363637,22
0x4053f7,13.793103448275861,29
0x405434,0.0,1
0x405440,16.0,25
0x405448,21.428571428571427,28
0x405450,0.0,26
0x405455,16.666666666666668,24
0x40545a,4.3478260869565215,23
0x40545e,6.666666666666667,30
0x405466,17.391304347826086,23
0x40546d,5.555555555555555,18
