IP,CrashOnSameIP,count
0x400a18,100.0,1
0x400a27,32.448377581120944,339
0x400a2b,27.24458204334365,323
0x400a87,100.0,1
0x400adb,0.0,1
0x400ae0,100.0,1
0x400ae3,50.0,2
0x400ae5,0.0,1
0x400b45,0.0,1
0x400b50,29.88826815642458,358
0x400b55,34.40233236151604,343
0x400b58,27.548209366391184,363
0x400b63,31.36094674556213,338
0x400b67,34.173669467787114,357
0x400b6c,50.0,2
0x400b73,0.0,1
0x400ba7,100.0,1
0x400bda,0.0,1
0x400c4a,0.0,1
0x400c60,23.863636363636363,176
0x400c64,29.310344827586206,174
0x400c67,28.402366863905325,169
0x400c6c,28.72340425531915,188
0x400c71,28.571428571428573,196
0x400c73,26.21359223300971,206
0x400c76,30.58823529411765,170
0x400c79,30.208333333333332,96
0x400c7d,30.16759776536313,179
0x400c7f,27.528089887640448,178
0x400c81,28.571428571428573,175
0x400c84,32.11009174311926,109
0x400c88,29.064039408866996,203
0x400c8e,28.64864864864865,185
0x400c91,31.21019108280255,157
