IP,CrashOnSameIP,count
400ad0,100.0,105
400ad2,100.0,95
400ad4,100.0,104
400ad6,100.0,82
400ad8,100.0,116
400ad9,100.0,90
400ada,100.0,99
400ae1,100.0,97
400af2,0.0,95
400af4,8.421052631578947,95
400b0d,94.68085106382979,94
400b11,96.07843137254902,102
400b14,95.41284403669725,109
400b1e,3.3707865168539324,89
400b2c,78.125,96
400b30,0.0,93
400b35,100.0,113
400b3c,69.81132075471699,106
400b40,100.0,103
400b42,0.0,100
400b4a,0.0,112
400b52,0.0,95
400b56,73.58490566037736,106
400b5a,100.0,84
400b5c,0.0,100
400b6b,0.0,104
400b6f,0.0,89
400b72,0.0,95
400b76,0.0,88
400b85,6.25,80
400b88,81.31868131868131,91
400b91,0.0,86
400b96,20.0,130
400b9b,100.0,90
400b9f,65.26315789473684,95
400ba2,79.7872340425532,94
400ba6,84.88372093023256,86
400bab,0.0,471
400bb3,96.24217118997912,479
400bbc,20.396039603960396,505
400bc1,91.95402298850574,87
400bc6,100.0,84
400bcb,0.0,91
400bcd,53.333333333333336,105
400bd7,0.0,106
400be0,95.83333333333333,120
400be5,95.83333333333333,96
400bef,1.834862385321101,109
400bfd,0.0,66
400c07,0.0,101
400c0a,100.0,111
400c0f,73.86363636363636,88
400c17,0.0,86
400c1c,0.0,85
400c21,100.0,112
400c29,1.2658227848101267,79
400c2c,0.0,98
400c2f,0.0,79
400c37,93.42105263157895,76
400c41,0.0,87
400c49,100.0,90
400c51,92.5,80
400c5b,0.0,85
400c63,0.0,108
400d92,54.86725663716814,113
400d9c,0.0,95
400e3b,100.0,96
400e45,20.454545454545453,88
400e47,100.0,90
400e4f,0.0,85
400e5e,100.0,95
400e65,48.51485148514851,101
400e66,44.89795918367347,98
400e67,60.24096385542169,83
400e69,48.67256637168141,113
400e6b,47.706422018348626,109
400e6d,55.68181818181818,88
401000,0.0,96
401005,100.0,82
401006,0.0,95
40100c,0.0,93
401010,0.0,84
401030,52.293577981651374,109
401040,0.0,83
401045,97.89473684210526,95
401046,0.0,103
40104d,0.0,106
401051,0.0,79
401054,0.0,89
401057,0.0,98
40105b,0.0,70
40105e,0.0,92
401078,98.75,80
