IP,CrashOnSameIP,count
0x400aa8,92.1875,128
0x400aaf,58.38926174496644,149
0x400ab2,4.57516339869281,153
0x400ab5,59.036144578313255,166
0x400ab9,66.23376623376623,154
0x400ac2,0.0,145
0x400ac4,0.0,168
0x400ac7,0.0,161
0x400ac9,0.0,166
0x400acc,0.0,162
0x400acf,0.0,132
0x400ad1,0.0,180
0x400ad4,0.0,163
0x400ad6,0.0,149
0x400adb,0.0,165
0x400ae1,0.0,158
0x400b10,0.0,4
0x400b16,0.0,2
0x400b1d,0.0,2
0x400cb0,5.8441558441558445,154
0x400cb2,58.50340136054422,147
0x400cba,0.0,149
0x400cbf,0.0,173
0x400cc4,5.921052631578948,152
0x400cc7,0.0,89
0x400ccb,68.51851851851852,162
0x400cce,66.42857142857143,140
0x400cd2,0.0,184
0x400cd6,0.0,159
0x400cdb,0.0,150
0x400cdf,5.333333333333333,150
0x400ce1,0.0,45
0x400ce4,0.0,169
0x400ce8,17.575757575757574,165
0x400cf0,0.0,159
0x400cf7,0.0,146
