IP,CrashOnSameIP,count
0x400f5e,0.0,1
0x400f62,0.0,1
0x401030,25.0,36
0x401034,34.78260869565217,23
0x401038,15.625,32
0x40103b,12.5,32
0x40103f,11.538461538461538,26
0x401043,26.470588235294116,34
0x401046,10.344827586206897,29
0x401054,0.0,1
0x4012d1,100.0,1
0x4012d5,0.0,1
0x4012e9,0.0,1
0x401928,100.0,1
0x401948,21.428571428571427,14
0x40194c,25.0,8
0x401953,0.0,9
0x401959,18.181818181818183,11
0x40195d,29.41176470588235,17
0x401963,22.727272727272727,22
0x401966,21.428571428571427,14
0x40196a,40.0,10
0x401970,0.0,6
0x401976,57.142857142857146,7
0x40197a,16.666666666666668,12
0x401980,0.0,6
0x401986,25.0,8
0x40198a,16.666666666666668,12
0x40198e,36.36363636363637,11
0x401992,11.764705882352942,17
0x401996,22.22222222222222,9
0x40199a,25.0,8
0x40199f,9.090909090909092,11
0x4019a3,8.333333333333334,12
0x4019a7,23.076923076923077,13
0x4019ab,14.285714285714286,7
0x4019b0,45.45454545454545,11
0x4019b4,27.272727272727273,11
0x4019bd,22.727272727272727,22
0x4019c1,20.833333333333332,24
0x4019c6,0.0,2
0x4019f0,0.0,1
0x401b00,20.0,30
0x401b0f,5.2631578947368425,19
0x401b13,18.75,16
0x401b17,23.076923076923077,26
0x401b21,38.888888888888886,18
0x401b25,10.0,10
0x401b2c,18.181818181818183,11
0x401b31,25.0,16
0x401b34,25.0,8
0x401b39,30.0,10
0x401b3d,33.333333333333336,6
0x401b42,18.75,16
0x401b4b,9.090909090909092,11
0x401b50,40.0,5
0x401b5b,0.0,6
0x401b61,16.666666666666668,6
0x401b6b,11.11111111111111,9
0x401b71,30.76923076923077,13
0x401b7c,17.647058823529413,17
0x401b82,10.0,10
0x401b86,25.0,12
0x401b8c,12.5,8
0x401b90,11.11111111111111,9
0x401b95,0.0,11
0x401b9a,22.22222222222222,9
0x401b9e,14.285714285714286,7
0x401ba4,18.75,16
0x401ba9,11.11111111111111,9
0x401bad,11.11111111111111,9
0x401bb1,35.714285714285715,14
0x401bb5,37.5,8
0x401bba,20.0,10
0x401bbe,0.0,7
0x401bc2,16.666666666666668,6
0x401bc7,10.0,10
0x401bcb,8.333333333333334,12
0x401bcf,0.0,7
0x401bd3,11.11111111111111,9
0x401bd8,25.0,8
0x401bdd,25.0,8
0x401be2,16.666666666666668,12
0x401be7,0.0,13
0x401bec,0.0,5
0x401bf1,0.0,11
0x401bf6,20.0,10
0x401bfa,22.22222222222222,9
0x401bff,40.0,5
0x401c04,9.090909090909092,11
0x401c09,0.0,10
0x401c0e,16.666666666666668,6
0x401c13,7.142857142857143,14
0x401c17,30.0,10
0x401c1c,10.526315789473685,19
0x401c21,14.285714285714286,7
0x401c26,30.0,10
0x401c2b,9.090909090909092,11
0x401c2f,16.666666666666668,6
0x401c33,28.571428571428573,14
0x401c37,9.090909090909092,11
0x401c3b,15.0,20
0x401dfc,0.0,1
0x401dff,0.0,1
