X87_ALU,FCMOV,BINARY,LOGICAL,POP,ROTATE,SHIFT,CALL,UNCOND_BR,PUSH,SYSTEM,BITBYTE,VTX,SEMAPHORE,DATAXFER,MMX,SSE,PREFETCH,WIDENOP,MISC,DECIMAL,INTERRUPT,IOSTRINGOP,COND_BR,NOP,CONVERT,FLAGOP,STRINGOP,RET,SEGOP,IO,SYSCALL,SYSRET,CMOV,LOGICAL_FP,SETCC,XSAVE,AES,PCLMULQDQ
FLDENV,FCMOVBE,NEG_LOCK,XOR_LOCK,POPFQ,ROL,SHRD,CALL_NEAR,JMP,PUSHA,SLDT,BTR,VMLAUNCH,CMPXCHG8B_LOCK,MOVDQ2Q,PUNPCKHDQ,BLENDPD,PREFETCHNTA,NOP,UD2,DAS,BOUND,REP_OUTSB,LOOPNE,NOP,CVTTSD2SI,STI,REP_LODSD,IRET,LDS,OUT,SYSENTER,RSM,CMOVNO,ANDNPD,SETL,XRSTOR64,AESKEYGENASSIST,PCLMULQDQ
FIADD,FCMOVNE,NEG,NOT,POPAD,RCL,SHLD,CALL_FAR,JMP_FAR,PUSHAD,WBINVD,BTS_LOCK,VMPTRST,CMPXCHG8B,MOV_DR,PMINUB,PUNPCKLQDQ,PREFETCHT1,,XLAT,AAM,INT1,OUTSB,JNB,,CVTPS2PI,STD,REPNE_CMPSD,IRETQ,LGS,IN,SYSCALL,SYSRET,CMOVBE,ANDPD,SETNO,XSAVE,AESDEC,
FNOP,FCMOVE,DIV,PXOR,POPF,RCR,SHL,,,PUSHFD,SIDT,BT,VMWRITE,XADD,MOVDQA,PMULHRSW,PSIGNW,PREFETCHT2,,PAUSE,AAD,INTO,REP_INSD,JP,,CVTPS2DQ,CLD,SCASW,RET_NEAR,LSS,,,SYSRET64,CMOVNBE,ORPS,SETNZ,XRSTOR,AESENCLAST,
FLDLN2,FCMOVU,SUB,XOR,POP,ROR,SAR,,,PUSH,RDMSR,BTC_LOCK,VMCALL,CMPXCHG_LOCK,MOVNTI,PADDD,PSADBW,PREFETCHT0,,SFENCE,DAA,INT,OUTSD,JZ,,CBW,LAHF,CMPSQ,IRETD,LFS,,,SYSEXIT,CMOVP,XORPS,SETO,XSETBV,AESDECLAST,
FLDL2T,FCMOVNU,SUB_LOCK,OR,POPFD,,SHR,,,PUSHFQ,LIDT,BTR_LOCK,INVEPT,CMPXCHG16B_LOCK,MASKMOVDQU,PSIGNW,PALIGNR,,,LEAVE,AAS,INT3,OUTSW,JRCXZ,,CVTPS2PD,SALC,REPNE_SCASD,RET_FAR,LES,,,,CMOVNZ,XORPD,SETNS,XGETBV,AESIMC,
FLD1,FCMOVNBE,MUL,TEST,POPA,,,,,PUSHF,WRMSR,BSR,VMPTRLD,XADD_LOCK,MOVNTPD,PSUBSW,PSRAD,,,LFENCE,AAA,,REP_OUTSD,JNP,,CVTSI2SD,CLC,REPE_CMPSW,,,,,,CMOVNP,ANDPS,SETNB,XSAVE64,AESENC,
FUCOMIP,FCMOVB,SBB,PANDN,,,,,,,VERW,BTC,INVVPID,CMPXCHG,MOVNTDQ,PSADBW,UNPCKLPD,,,MFENCE,,,INSW,LOOPE,,CVTPI2PS,SAHF,REP_MOVSW,,,,,,CMOVL,ORPD,SETLE,,,
FSUBR,FCMOVNB,ADC,POR,,,,,,,ARPL,BSF,VMXOFF,CMPXCHG16B,MOVMSKPD,EMMS,PHADDW,,,ENTER,,,INSB,JECXZ,,CVTTSS2SI,CMC,REPNE_CMPSW,,,,,,CMOVS,ANDNPS,SETNL,,,
FBLD,,IMUL,PTEST,,,,,,,RDPMC,BTS,VMREAD,,BSWAP,PSRAD,POPCNT,,,MONITOR,,,REP_INSW,JL,,CVTPI2PD,STC,REPE_CMPSQ,,,,,,CMOVNB,,SETNBE,,,
