INTEGER,LOGICAL,STACK,SHIFT,DATAXFER,BR_OR_LP_CTRL,CONVERT,CONDITION,FP
NEG_LOCK,XOR_LOCK,POPFQ,SHRD,MOVDQ2Q,LOOPNE,CVTTSD2SI,PCMPEQB,ADDPD
NEG,NOT,POPAD,SHLD,MOV_DR,JNB,CVTPS2PI,PCMPEQD,ADDPS
DIV,PXOR,POPF,SHL,MOVDQA,JP,CVTPS2DQ,PCMPEQQ,ADDSD
SUB,XOR,POP,SAR,MOVNTI,JZ,CBW,PCMPEQW,ADDSS
SUB_LOCK,OR,POPFD,SHR,MASKMOVDQU,JRCXZ,CVTPS2PD,PCMPESTRI,ADDSUBPD
MUL,PANDN,POPA,,MOVNTPD,JNP,CVTSI2SD,PCMPESTRI64,ADDSUBPS
SBB,POR,PUSHA,,MOVNTDQ,LOOPE,CVTPI2PS,PCMPESTRM,DIVPD
ADC,PAND,PUSHAD,,MOVMSKPD,JECXZ,CVTTSS2SI,PCMPESTRM64,DIVPS
IMUL,OR_LOCK,PUSHFD,,BSWAP,JL,CVTPI2PD,PCMPGTB,DIVSD
DEC_LOCK,AND,PUSH,,MOVZX,JLE,CVTSS2SD,PCMPGTD,DIVSS
ADD,AND_LOCK,PUSHFQ,,MOVHPD,JB,CVTSS2SI,PCMPGTQ,MAXPD
INC_LOCK,NOT_LOCK,PUSHF,,MOVNTPS,JNS,CVTTPD2PI,PCMPGTW,MAXPS
DEC,ANDNPD,,,MOVSHDUP,JNZ,CWDE,PCMPISTRI,MAXSD
ADD_LOCK,ANDPD,,,MOVLHPS,JS,CQO,PCMPISTRI64,MAXSS
SBB_LOCK,ORPS,,,MOVSD_XMM,JO,CWD,PCMPISTRM,MINPD
ADC_LOCK,XORPS,,,MOVDQU,JNL,CVTTPD2DQ,UCOMISD,MINPS
IDIV,XORPD,,,MOVHPS,LOOP,CVTPD2PI,UCOMISS,MINSD
INC,ANDPS,,,MOVD,JNO,CVTSI2SS,CMPPD,MINSS
PABSB,ORPD,,,MOVSXD,JBE,CVTPD2PS,CMPPS,MULPD
PABSD,ANDNPS,,,MOV_CR,JNLE,CDQE,CMPSD_XMM,MULPS
PABSW,, ,,MOVUPD,JCXZ,CVTPD2DQ,CMPSS,MULSD
PACKSSDW,,,,MOVAPS,JNBE,CVTSD2SI,COMISD,MULSS
PACKSSWB,,,,MOVUPS,JMP,CVTSD2SS,COMISS,RCPPS
PACKUSDW,,,,XCHG,JMP_FAR,CDQ,UCOMISD,RCPSS
PACKUSWB,,,,MOVNTQ,,CVTTPS2PI,UCOMISS,RSQRTPS
PADDB,,,,MOVSLDUP,,CVTTPS2DQ,TEST,RSQRTSS
PADDD,,,,MOVAPD,,CVTDQ2PS,CMPB,SQRT*
PADDQ,,,,MOV,,CVTDQ2PD,CMP,SUBPD
PADDSB,,,,MOVQ2DQ,,,PTEST,SUBPS
PADDSW,,,,MOVQ,,,,SUBSD
PADDUSB,,,,MOVHLPS,,,,SUBSS
PADDUSW,,,,MOVSS,,,,
PADDW,,,,MOVBE,,,,
PALIGNR,,,,MASKMOVQ,,,,
PAVGB,,,,MOVMSKPS,,,,
PAVGW,,,,MOVSX,,,,
PBLENDVB,,,,MOVDDUP,,,,
PBLENDW,,,,MOVLPD,,,,
PHADDD,,,,MOVLPS,,,,
PHADDSW,,,,CMOVNO,,,,
PHADDW,,,,CMOVBE,,,,
PHMINPOSUW,,,,CMOVNBE,,,,
PHSUBD,,,,CMOVP,,,,
PHSUBSW,,,,CMOVNZ,,,,
PHSUBW,,,,CMOVNP,,,,
PMADDUBSW,,,,CMOVL,,,,
PMADDWD,,,,CMOVS,,,,
PMAXSB,,,,CMOVNB,,,,
PMAXSD,,,,CMOVNLE,,,,
PMAXSW,,,,CMOVNL,,,,
PMAXUB,,,,CMOVZ,,,,
PMAXUD,,,,CMOVLE,,,,
PMAXUW,,,,CMOVNS,,,,
PMINSB,,,,CMOVO,,,,
PMINSD,,,,CMOVB,,,,
PMINSW,,,,movslq,,,,
PMINUB,,,,movzwl,,,,
PMINUD,,,,,,,,
PMINUW,,,,,,,,
PMULDQ,,,,,,,,
PMULHRSW,,,,,,,,
PMULHUW,,,,,,,,
PMULHW,,,,,,,,
PMULLD,,,,,,,,
PMULLW,,,,,,,,
PMULUDQ,,,,,,,,
PSADBW,,,,,,,,
PSIGNB,,,,,,,,
PSIGND,,,,,,,,
PSIGNW,,,,,,,,
PSLLD,,,,,,,,
PSLLDQ,,,,,,,,
PSLLQ,,,,,,,,
PSLLW,,,,,,,,
PSRAD,,,,,,,,
PSRAW,,,,,,,,
PSRLD,,,,,,,,
PSRLDQ,,,,,,,,
PSRLQ,,,,,,,,
PSRLW,,,,,,,,
PSUBB,,,,,,,,
PSUBD,,,,,,,,
PSUBQ,,,,,,,,
PSUBSB,,,,,,,,
PSUBSW,,,,,,,,
PSUBUSB,,,,,,,,
PSUBUSW,,,,,,,,
PSUBW,,,,,,,,
PUNPCKHBW,,,,,,,,
PUNPCKHDQ,,,,,,,,
PUNPCKHQDQ,,,,,,,,
PUNPCKHWD,,,,,,,,
PUNPCKLBW,,,,,,,,
PUNPCKLDQ,,,,,,,,
PUNPCKLQDQ,,,,,,,,
PUNPCKLWD,,,,,,,,
CRC32,,,,,,,,
MPSADBW,,,,,,,,
HADDPD,,,,,,,,
HADDPS,,,,,,,,
HSUBPD,,,,,,,,
HSUBPS,,,,,,,,
HSUBPS,,,,,,,,
PAVGB,,,,,,,,
PAVGW,,,,,,,,
LEA,,,,,,,,
