IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Dynamic Execution,Masked%,Crash%,INS_type,CrashOnSameIP
480376,rax,16743,1687,masked,<hypre_CSRMatrixMatvecOutOfPlace._omp_fn.6>,subsd,"subsd, %xmm0,%xmm1",1,0,0.0,77.22772277227723,22.77227722772277,FP,0.5555555555555556
4702fb,xmm1,18192,1656,masked,<hypre_ParMatmul._omp_fn.4>,add,"add, $0x1,%rcx",1,0,0.009907,77.66990291262135,22.33009708737864,INTEGER,0.0
470267,xmm0,18192,1656,masked,<hypre_ParMatmul._omp_fn.4>,mov,"mov, 0x10(%rsp),%rbx",1,0,0.009907,77.45098039215686,22.54901960784314,DATAXFER,0.0
48036e,rdx,50198,765,masked,<hypre_CSRMatrixMatvecOutOfPlace._omp_fn.6>,cmp,"cmp, %rcx,%rdx",1,0,0.228745,77.88461538461539,22.115384615384617,CONDITION,0.3
48017a,rax,77476,177,masked,<hypre_CSRMatrixMatvecOutOfPlace._omp_fn.6>,mov,"mov, 0x10(%rbp),%r8",1,0,0.415256,78.0952380952381,21.904761904761905,DATAXFER,0.0
461f60,rax,80449,1551,masked,<hypre_ParCSRRelaxThreads._omp_fn.2>,cmp,"cmp, %rsi,%rax",1,0,0.435583,78.30188679245283,21.69811320754717,CONDITION,0.5555555555555556
461e90,rax,110014,863,masked,<hypre_ParCSRRelaxThreads._omp_fn.2>,laxThreads._omp_fn.2>:,laxThreads._omp_fn.2>:,1,0,0.637731,77.57009345794393,22.42990654205608,UnKnown,0.1282051282051282
4925f8,rdx,136139,475,masked,<hypre_UnorderedIntSetCreate._omp_fn.0>,mov,"mov, 0x20(%rdi),%r8",1,0,0.816358,76.85185185185185,23.14814814814815,DATAXFER,0.3333333333333333
428268,rflags,158212,1446,masked,<hypre_BoomerAMGBuildMultipass>,add,"add, %rsi,%rdi",1,0,0.96728,76.14678899082568,23.85321100917432,INTEGER,0.0
47ff80,rsp,162802,1613,masked,<hypre_CSRMatrixMatvecOutOfPlace._omp_fn.6>,xMatvecOutOfPlace._omp_fn.6>:,xMatvecOutOfPlace._omp_fn.6>:,1,0,0.998663,76.36363636363636,23.63636363636364,UnKnown,0.39285714285714285
480360,rdx,171774,512,crash,<hypre_CSRMatrixMatvecOutOfPlace._omp_fn.6>,mov,"mov, (%rdi,%rdx,8),%rax",0,1,1.060008,76.57657657657657,23.423423423423426,DATAXFER,0.391304347826087
