IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Dynamic Execution,Masked%,Crash%,INS_type,CrashOnSameIP
400ccc,rflags,2649,12817,crash,<bpnn_adjust_weights._omp_fn.1>,add,"add, $0x1,%rax",0,1,0.0,51.48514851485149,48.51485148514851,INTEGER,0.3616600790513834
4012eb,xmm0,27353,5995,masked,<bpnn_create>,cmp,"cmp, %ecx,%ebx",1,0,0.012063,51.96078431372549,48.03921568627451,CONDITION,0.39040207522697795
400fe4,rflags,31979,11,crash,<bpnn_randomize_weights>,lea,"lea, (%rax,%rbx,4),%rbp",0,1,0.014322,52.42718446601942,47.57281553398058,INTEGER,0.37659033078880405
400cc5,rcx,77008,3740,masked,<bpnn_adjust_weights._omp_fn.1>,add,"add, (%r8,%rax,8),%rcx",1,0,0.036309,51.92307692307692,48.07692307692308,INTEGER,0.41252699784017277
400ff5,rcx,115173,5128,masked,<bpnn_randomize_weights>,cmp,"cmp, %ebx,%r12d",1,0,0.054945,52.38095238095238,47.61904761904762,CONDITION,0.3639896373056995
400ce1,rcx,137202,4073,crash,<bpnn_adjust_weights._omp_fn.1>,cvtps2pd,"cvtps2pd, %xmm1,%xmm1",0,1,0.065702,51.886792452830186,48.11320754716981,CONVERT,0.36065573770491804
400cbb,rflags,157539,4589,masked,<bpnn_adjust_weights._omp_fn.1>,mov,"mov, %rsi,%rdx",1,0,0.075632,52.33644859813084,47.66355140186916,DATAXFER,0.3793103448275862
400cd0,rbx,169083,11900,masked,<bpnn_adjust_weights._omp_fn.1>,cmp,"cmp, %eax,%ebx",1,0,0.081269,51.851851851851855,48.14814814814815,CONDITION,0.37467018469656993
4012eb,rflags,176088,13363,crash,<bpnn_create>,cmp,"cmp, %ecx,%ebx",0,1,0.08469,52.293577981651374,47.70642201834863,CONDITION,0.39040207522697795
400ff1,rflags,186122,10767,masked,<bpnn_randomize_weights>,cvtsi2ss,"cvtsi2ss, %eax,%xmm0",1,0,0.089589,51.81818181818182,48.18181818181818,CONVERT,0.3741851368970013
400ff8,rcx,188877,4413,masked,<bpnn_randomize_weights>,mulss,"mulss, 0x1090(%rip),%xmm0",1,0,0.090935,51.35135135135136,48.648648648648646,FP,0.3530895334174023
400d98,rflags,216448,6975,masked,<bpnn_layerforward._omp_fn.0>,mov,"mov, (%r8,%rax,8),%rdx",1,0,0.104397,50.892857142857146,49.10714285714285,DATAXFER,0.4327956989247312
401d60,xmm1,221924,4340,crash,<load>,add,"add, $0x1,%rbx",0,1,0.107071,51.32743362831859,48.67256637168141,INTEGER,0.38636363636363635
400ccc,rflags,229238,4965,crash,<bpnn_adjust_weights._omp_fn.1>,add,"add, $0x1,%rax",0,1,0.110643,51.75438596491228,48.24561403508772,INTEGER,0.3616600790513834
401d51,rbx,229574,11909,masked,<load>,mulss,"mulss, 0x337(%rip),%xmm0",1,0,0.110807,51.30434782608695,48.69565217391305,FP,0.3269230769230769
400cd0,xmm0,243602,6434,crash,<bpnn_adjust_weights._omp_fn.1>,cmp,"cmp, %eax,%ebx",0,1,0.117657,51.72413793103448,48.27586206896552,CONDITION,0.37467018469656993
40100b,rdx,254956,7257,masked,<bpnn_randomize_weights>,cmp,"cmp, %r14d,%r13d",1,0,0.123201,51.282051282051285,48.71794871794872,CONDITION,0.37254901960784315
