IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Sdc,Dynamic Execution,Masked%,Crash%,Sdc%,Masked%+Sdc%,INS_type,Unnamed: 17,0x4209bb,CrashOnSameIP
415881,rax,5219,7001,masked,<HPL_dlamc1>,movapd,"movapd, %xmm0,%xmm1",1,0,0,0.0,27.72277228,11.88118812,60.3960396,88.11881188,DATAXFER,,0x4209c0,0.0
415837,rsi,5274,8959,sdc,<HPL_dlamc1>,mulsd,"mulsd, %xmm1,%xmm0",0,0,1,1.1e-05,28.43137255,11.76470588,59.80392157,88.23529412,FP,,0x4209c3,0.0
4162ea,rdi,6482,5018,masked,<HPL_dlamc4>,jmp,"jmp, 4162ea, <HPL_dlamc4+0x13",1,0,0,0.000259,28.15533981,11.65048544,60.19417476,88.34951456,BR_OR_LP_CTRL,,0x4209c6,0.0
4163bd,rcx,44854,9787,masked,<HPL_dlamc4>,ucomisd,"ucomisd, -0x28(%rbp),%xmm0",1,0,0,0.008142,27.88461538,11.53846154,60.57692308,88.46153846,CONDITION,,0x4209cb,0.0
4161a9,xmm3,173081,11978,masked,<HPL_dlamc3>,mov,"mov, -0x18(%rbp),%rax",1,0,0,0.034482,27.61904762,11.42857143,60.95238095,88.57142857,DATAXFER,,0x4209ce,0.0
41618d,rdi,217683,3852,crash,<HPL_dlamc3>,mov,"mov, %rsp,%rbp",0,1,0,0.043645,27.35849057,11.32075472,61.32075472,88.67924528,DATAXFER,,0x4209d4,1.0
41625b,r9,275473,5127,masked,<HPL_dlamc4>,lea,"lea, -0x1(%rax),%edx",1,0,0,0.055516,27.10280374,11.21495327,61.68224299,88.78504673,INTEGER,,0x4209d9,0.0
41631b,rax,307634,8019,masked,<HPL_dlamc4>,movsd,"movsd, -0x58(%rbp),%xmm0",1,0,0,0.062122,26.85185185,12.03703704,61.11111111,87.96296296,UnKnown,,0x4209de,0.0
41618d,rsp,313798,7338,crash,<HPL_dlamc3>,mov,"mov, %rsp,%rbp",0,1,0,0.063389,26.60550459,11.9266055,61.46788991,88.0733945,DATAXFER,,0x4209e1,1.0
4161b1,rsi,387000,1488,masked,<HPL_dlamc3>,movsd,"movsd, -0x18(%rbp),%xmm0",1,0,0,0.078426,26.36363636,11.81818182,61.81818182,88.18181818,UnKnown,,0x42bdd0,0.0
41619a,rdi,393374,9789,masked,<HPL_dlamc3>,movsd,"movsd, -0x8(%rbp),%xmm0",1,0,0,0.079735,27.02702703,11.71171171,61.26126126,88.28828829,UnKnown,,0x42bdd2,0.0
4165ad,rdi,449299,10521,masked,<HPL_dlamc5>,jmp,"jmp, 4165ad, <HPL_dlamc5+0x1d",1,0,0,0.091223,26.78571429,11.60714286,61.60714286,88.39285714,BR_OR_LP_CTRL,,0x42bdd5,0.0
42be8f,rflags,588298,1753,masked,<HPL_lmul>,mov,"mov, %ebx,%edi",1,0,0,0.119777,26.54867257,11.50442478,61.94690265,88.49557522,DATAXFER,,0x42bdd8,0.0
42be94,rbx,616896,5789,sdc,<HPL_lmul>,mov,"mov, -0x30(%rsp,%rcx,4),%ebx",0,0,1,0.125651,26.31578947,11.40350877,62.28070175,88.59649123,DATAXFER,,0x42bddb,0.0
42bed1,rdi,619583,10100,masked,<HPL_lmul>,movzwl,"movzwl, %si,%esi",1,0,0,0.126203,26.95652174,11.30434783,61.73913043,88.69565217,DATAXFER,,0x42bddf,0.0
42be8f,,676546,5453,sdc,<HPL_lmul>,mov,"mov, %ebx,%edi",0,0,1,0.137905,26.72413793,11.20689655,62.06896552,88.79310345,DATAXFER,,0x42bde3,0.0
42bdd2,rbx,715434,11630,sdc,<HPL_ladd>,mov,"mov, (%rdi),%r10d",0,0,1,0.145893,27.35042735,11.11111111,61.53846154,88.88888889,DATAXFER,,0x42bde6,0.0
42be9d,xmm2,755744,1525,sdc,<HPL_lmul>,imul,"imul, %r9d,%ebx",0,0,1,0.154173,27.11864407,11.01694915,61.86440678,88.98305085,INTEGER,,0x42bde9,0.0
42bf00,rbx,778949,4078,sdc,<HPL_lmul>,cmp,"cmp, $0x4,%rcx",0,0,1,0.15894,26.8907563,10.92436975,62.18487395,89.07563025,CONDITION,,0x42bded,0.20085470085470086
42bf24,rbx,868890,12568,sdc,<HPL_lmul>,or,"or, %r9d,%r11d",0,0,1,0.177416,27.5,10.83333333,61.66666667,89.16666667,LOGICAL,,0x42bdf1,0.0
42be41,rsi,881195,9557,sdc,<HPL_lmul>,mov,"mov, (%rsi),%ecx",0,0,1,0.179944,27.27272727,10.74380165,61.98347107,89.25619835,DATAXFER,,0x42bdf4,0.0
42bf11,rbx,918980,4658,sdc,<HPL_lmul>,movzwl,"movzwl, -0x18(%rsp),%r8d",0,0,1,0.187706,27.04918033,10.6557377,62.29508197,89.3442623,DATAXFER,,0x42bdf8,0.0
42be4a,rcx,1131474,2825,sdc,<HPL_lmul>,mov,"mov, (%rdi),%r11d",0,0,1,0.231356,26.82926829,10.56910569,62.60162602,89.43089431,DATAXFER,,0x42bdfc,0.0
420ad4,rflags,1260566,6567,masked,<HPL_rand>,addsd,"addsd, %xmm2,%xmm1",1,0,0,0.257874,26.61290323,10.48387097,62.90322581,89.51612903,FP,,0x42bdff,0.0
42bea3,r9,1305300,10409,sdc,<HPL_lmul>,mov,"mov, %esi,%edi",0,0,1,0.267064,26.4,10.4,63.2,89.6,DATAXFER,,0x42be02,0.0
42befc,rbx,1310400,4929,masked,<HPL_lmul>,add,"add, $0x4,%rax",1,0,0,0.268111,26.98412698,10.31746032,62.6984127,89.68253968,INTEGER,,0x42be06,0.5772727272727273
42be09,xmm4,1333149,12410,sdc,<HPL_ladd>,sub,"sub, %r9d,%r8d",0,0,1,0.272784,26.77165354,10.23622047,62.99212598,89.76377953,INTEGER,,0x42be09,0.0
42bea3,rcx,1352511,16,masked,<HPL_lmul>,mov,"mov, %esi,%edi",1,0,0,0.276762,26.5625,10.15625,63.28125,89.84375,DATAXFER,,0x42be0c,0.0
42be09,xmm5,1352760,4113,sdc,<HPL_ladd>,sub,"sub, %r9d,%r8d",0,0,1,0.276813,26.35658915,10.85271318,62.79069767,89.14728682,INTEGER,,0x42be10,0.0
42beb8,rbx,1377730,5546,sdc,<HPL_lmul>,imul,"imul, %r11d,%ebx",0,0,1,0.281942,26.15384615,10.76923077,63.07692308,89.23076923,INTEGER,,0x42be13,0.0
42bebc,rbx,1443771,5728,sdc,<HPL_lmul>,add,"add, %ebx,%esi",0,0,1,0.295509,26.71755725,10.6870229,62.59541985,89.3129771,INTEGER,,0x42be16,0.0
42bde6,xmm1,1489627,4721,sdc,<HPL_ladd>,add,"add, %edi,%r8d",0,0,1,0.304928,27.27272727,10.60606061,62.12121212,89.39393939,INTEGER,,0x42be1a,0.0
42be91,rbx,1516126,6378,sdc,<HPL_lmul>,movzwl,"movzwl, %bx,%esi",0,0,1,0.310372,27.06766917,10.52631579,62.40601504,89.47368421,DATAXFER,,0x42be1d,0.0
42bea3,rdi,1532659,8358,sdc,<HPL_lmul>,mov,"mov, %esi,%edi",0,0,1,0.313768,26.86567164,10.44776119,62.68656716,89.55223881,DATAXFER,,0x42be20,0.0
42bed8,rbx,1568786,12560,masked,<HPL_lmul>,add,"add, %ebx,%esi",1,0,0,0.321189,26.66666667,10.37037037,62.96296296,89.62962963,INTEGER,,0x42be22,0.0
420aa5,rbx,1621113,11516,sdc,<HPL_rand>,shr,"shr, $0x10,%eax",0,0,1,0.331938,26.47058824,10.29411765,63.23529412,89.70588235,SHIFT,,0x42be24,0.0
420a9e,rbx,1662459,9987,masked,<HPL_rand>,cvtsi2sd,"cvtsi2sd, %edx,%xmm0",1,0,0,0.340432,27.00729927,10.2189781,62.77372263,89.7810219,CONVERT,,0x42be27,0.0
42befc,rbx,1697297,11601,sdc,<HPL_lmul>,add,"add, $0x4,%rax",0,0,1,0.347588,27.53623188,10.14492754,62.31884058,89.85507246,INTEGER,,0x42be2a,0.5772727272727273
42bdd0,rsi,1700479,9791,sdc,<HPL_ladd>,mov,"mov, (%rsi),%ecx",0,0,1,0.348242,27.3381295,10.07194245,62.58992806,89.92805755,DATAXFER,,0x42be2e,0.0
42beb5,rsi,1802576,5305,sdc,<HPL_lmul>,movzwl,"movzwl, %si,%esi",0,0,1,0.369215,27.14285714,10.0,62.85714286,90.0,DATAXFER,,0x42be31,0.0
420ae0,rsp,1833534,1216,sdc,<HPL_rand>,mulsd,"mulsd, %xmm0,%xmm1",0,0,1,0.375574,26.95035461,9.929078014,63.12056738,90.07092199,FP,,0x42be33,0.0
42bef8,rsi,1900945,795,crash,<HPL_lmul>,add,"add, $0x1,%rcx",0,1,0,0.389422,26.76056338,9.85915493,63.38028169,90.14084507,INTEGER,,0x42be36,0.9689119170984456
42bea1,rflags,1904499,3828,sdc,<HPL_lmul>,add,"add, %ebx,%esi",0,0,1,0.390152,26.57342657,9.79020979,63.63636364,90.20979021,INTEGER,,0x42be38,0.0
42bf11,rcx,1988216,10303,masked,<HPL_lmul>,movzwl,"movzwl, -0x18(%rsp),%r8d",1,0,0,0.407349,26.38888889,9.722222222,63.88888889,90.27777778,DATAXFER,,0x42be3b,0.0
42be58,rdi,2089841,305,sdc,<HPL_lmul>,shr,"shr, $0x10,%ecx",0,0,1,0.428225,26.89655172,9.655172414,63.44827586,90.34482759,SHIFT,,0x42be40,0.0
420b5b,rsi,2098567,4463,crash,<HPL_setran>,mov,"mov, $0xe54938,%edi",0,1,0,0.430017,26.71232877,9.589041096,63.69863014,90.4109589,DATAXFER,,0x42be41,0.40425531914893614
420b8d,,2109217,3491,crash,<HPL_setran>,add,"add, $0x18,%rsp",0,1,0,0.432205,27.21088435,9.523809524,63.26530612,90.47619048,INTEGER,,0x42be43,0.9791666666666666
