IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Dynamic Execution,Masked%,Crash%,INS_type,CrashOnSameIP
400bf3,rdx,41586,1496,masked,<_Z7runTestiPPc._omp_fn.1>,cmp,"cmp, %esi,%edi",1,0,0.0,71.2871287128713,28.71287128712872,CONDITION,0.30434782608695654
400f07,r8,67914,2772,crash,<_Z7runTestiPPc>,cmp,"cmp, %rdi,%rax",0,1,0.037232,71.56862745098039,28.431372549019606,CONDITION,0.3795180722891566
400b0d,rax,94682,1676,masked,<_Z7runTestiPPc._omp_fn.0>,sub,"sub, %ebx,%esi",1,0,0.075086,71.84466019417475,28.155339805825243,INTEGER,0.203125
400b00,rdi,116047,2543,masked,<_Z7runTestiPPc._omp_fn.0>,add,"add, $0x1,%r8d",1,0,0.1053,72.11538461538461,27.884615384615383,INTEGER,0.29508196721311475
400c0e,r8,218250,1160,masked,<_Z7runTestiPPc._omp_fn.1>,add,"add, %r9,%rcx",1,0,0.249831,72.38095238095238,27.61904761904762,INTEGER,0.34375
400b00,rflags,249041,282,masked,<_Z7runTestiPPc._omp_fn.0>,add,"add, $0x1,%r8d",1,0,0.293374,72.64150943396227,27.358490566037737,INTEGER,0.29508196721311475
400f07,rflags,257369,836,crash,<_Z7runTestiPPc>,cmp,"cmp, %rdi,%rax",0,1,0.305151,72.89719626168224,27.10280373831776,CONDITION,0.3795180722891566
400be8,rdi,264427,674,masked,<_Z7runTestiPPc._omp_fn.1>,mov,"mov, 0xc(%rcx,%r11,4),%esi",1,0,0.315133,72.22222222222223,27.77777777777778,DATAXFER,0.22413793103448276
400b09,rdx,266038,196,crash,<_Z7runTestiPPc._omp_fn.0>,mov,"mov, (%rdx),%esi",0,1,0.317411,72.4770642201835,27.52293577981652,DATAXFER,0.34545454545454546
400ef8,rflags,300730,2138,masked,<_Z7runTestiPPc>,mov,"mov, 0x6020c0(,%rdx,4),%edx",1,0,0.366471,72.72727272727273,27.27272727272728,DATAXFER,0.291970802919708
400dd7,rdx,303865,432,masked,<_Z7runTestiPPc>,add,"add, $0x1,%rax",1,0,0.370904,72.07207207207207,27.92792792792793,INTEGER,0.30864197530864196
400bfd,rflags,316887,2486,masked,<_Z7runTestiPPc._omp_fn.1>,add,"add, (%r8),%esi",1,0,0.389319,72.32142857142857,27.678571428571427,INTEGER,0.26
400c0e,rsi,367006,604,crash,<_Z7runTestiPPc._omp_fn.1>,add,"add, %r9,%rcx",0,1,0.460196,72.56637168141593,27.43362831858407,INTEGER,0.34375
400ef0,rsi,398338,277,masked,<_Z7runTestiPPc>,movslq,"movslq, 0x4(%r13,%rax,1),%rdx",1,0,0.504504,71.9298245614035,28.07017543859649,DATAXFER,0.34673366834170855
400b04,rflags,480898,127,masked,<_Z7runTestiPPc._omp_fn.0>,mov,"mov, 0x4(%rdx,%r11,4),%ecx",1,0,0.621257,72.17391304347827,27.82608695652174,DATAXFER,0.2830188679245283
400bf5,rax,506274,404,masked,<_Z7runTestiPPc._omp_fn.1>,cmovl,"cmovl, %esi,%edi",1,0,0.657143,72.41379310344827,27.58620689655172,DATAXFER,0.3939393939393939
400c08,rdx,563491,951,masked,<_Z7runTestiPPc._omp_fn.1>,add,"add, %r9,%r8",1,0,0.738057,72.64957264957265,27.35042735042735,INTEGER,0.43137254901960786
400bf1,rflags,583196,733,masked,<_Z7runTestiPPc._omp_fn.1>,sub,"sub, %ebx,%edi",1,0,0.765923,72.88135593220339,27.11864406779661,INTEGER,0.39344262295081966
400ddb,rdx,667566,1748,masked,<_Z7runTestiPPc>,cmp,"cmp, %eax,%r12d",1,0,0.885235,73.10924369747899,26.89075630252101,CONDITION,0.28
400b11,rcx,698474,1024,crash,<_Z7runTestiPPc._omp_fn.0>,cmovl,"cmovl, %ecx,%esi",0,1,0.928944,72.5,27.5,DATAXFER,0.13793103448275862
400b00,rflags,721813,962,masked,<_Z7runTestiPPc._omp_fn.0>,add,"add, $0x1,%r8d",1,0,0.961949,72.72727272727273,27.27272727272728,INTEGER,0.29508196721311475
400f07,rflags,728591,171,masked,<_Z7runTestiPPc>,cmp,"cmp, %rdi,%rax",1,0,0.971534,72.95081967213115,27.049180327868854,CONDITION,0.3795180722891566
400ddb,rdx,780866,1293,masked,<_Z7runTestiPPc>,cmp,"cmp, %eax,%r12d",1,0,1.045459,73.17073170731707,26.82926829268293,CONDITION,0.28
400c00,rdx,798387,2788,crash,<_Z7runTestiPPc._omp_fn.1>,cmp,"cmp, %esi,%edi",0,1,1.070237,73.38709677419355,26.61290322580645,CONDITION,0.3880597014925373
400bf8,rflags,806740,2022,masked,<_Z7runTestiPPc._omp_fn.1>,mov,"mov, 0xc(%rcx,%r10,4),%esi",1,0,1.082049,73.6,26.4,DATAXFER,0.19642857142857142
400bed,rflags,821258,1236,masked,<_Z7runTestiPPc._omp_fn.1>,mov,"mov, (%rcx),%edi",1,0,1.10258,73.01587301587301,26.984126984126984,DATAXFER,0.33962264150943394
400f07,rax,822745,1660,masked,<_Z7runTestiPPc>,cmp,"cmp, %rdi,%rax",1,0,1.104683,73.22834645669292,26.771653543307085,CONDITION,0.3795180722891566
400bf3,rdx,840644,713,crash,<_Z7runTestiPPc._omp_fn.1>,cmp,"cmp, %esi,%edi",0,1,1.129995,72.65625,27.34375,CONDITION,0.30434782608695654
