IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Dynamic Execution,Masked%,Crash%,INS_type
492571,r12,770,950,crash,<hypre_UnorderedIntSetCopyToArray._omp_fn.2>,cmp,"cmp, %rdx,0x10(%rsp)",0,1,0.0,36.63366337,61.38613861,CONDITION
46fcf5,rflags,2318,817,masked,<hypre_ParMatmul_RowSizes._omp_fn.0>,lea,"lea, (%rbx,%r11,1),%rdi",1,0,0.027735,36.2745098,61.76470588,INTEGER
4115d6,rbx,2797,652,masked,<hypre_BoomerAMGCoarsenPMIS._omp_fn.6>,cmp,"cmp, %rax,(%rdi)",1,0,0.036317,35.9223301,62.13592233,CONDITION
455c9e,rax,2956,1126,masked,<hypre_BoomerAMGCreateS._omp_fn.1>,add,"add, $0x8,%rax",1,0,0.039166,36.53846154,61.53846154,INTEGER
4801a1,xmm1,5703,198,masked,<hypre_CSRMatrixMatvecOutOfPlace._omp_fn.6>,mulsd,"mulsd, (%rsi,%rcx,8),%xmm0",1,0,0.088383,37.14285714,60.95238095,FP
470267,rflags,8319,697,sdc,<hypre_ParMatmul._omp_fn.4>,mov,"mov, 0x10(%rsp),%rbx",0,0,0.135253,36.79245283,61.32075472,DATAXFER
428207,xmm1,9034,1437,masked,<hypre_BoomerAMGBuildMultipass>,add,"add, %rsi,%rdi",1,0,0.148064,36.44859813,61.68224299,INTEGER
424d9e,rax,16443,1189,masked,<hypre_BoomerAMGBuildMultipass._omp_fn.5>,mov,"mov, 0x28(%r13),%rdi",1,0,0.280808,36.11111111,62.03703704,DATAXFER
485871,rflags,19996,735,crash,<hypre_IJMatrixSetValuesOMPParCSR._omp_fn.6>,movsd,"movsd, (%rax,%r8,1),%xmm0",0,1,0.344466,35.77981651,62.3853211,UnKnown
4925f8,rflags,22463,1167,masked,<hypre_UnorderedIntSetCreate._omp_fn.0>,mov,"mov, 0x20(%rdi),%r8",1,0,0.388667,36.36363636,61.81818182,DATAXFER
492571,rdi,30787,290,crash,<hypre_UnorderedIntSetCopyToArray._omp_fn.2>,cmp,"cmp, %rdx,0x10(%rsp)",0,1,0.537805,36.03603604,62.16216216,CONDITION
484f2f,rax,37333,1083,crash,<hypre_IJMatrixAssembleParCSR._omp_fn.3>,mov,"mov, (%r8,%rdx,1),%rax",0,1,0.655088,35.71428571,62.5,DATAXFER
403876,xmm1,40305,345,masked,<BuildIJLaplacian27pt._omp_fn.0>,add,"add, 0x70(%rbx),%rdx",1,0,0.708336,35.39823009,62.83185841,INTEGER
403cc8,rax,41474,575,crash,<BuildIJLaplacian27pt._omp_fn.0>,mov,"mov, 0x8(%rcx),%r8",0,1,0.729281,35.0877193,63.15789474,DATAXFER
4924f9,rflags,54028,1099,crash,<hypre_UnorderedIntSetCopyToArray._omp_fn.2>,cmp,"cmp, %rsi,%rax",0,1,0.954207,35.65217391,62.60869565,CONDITION
480344,rdx,54794,708,crash,<hypre_CSRMatrixMatvecOutOfPlace._omp_fn.6>,mov,"mov, 0x8(%r9,%rbx,8),%rcx",0,1,0.967931,36.20689655,62.06896552,DATAXFER
428227,rax,55476,912,crash,<hypre_BoomerAMGBuildMultipass>,mov,"mov, 0x168(%rsp),%rcx",0,1,0.98015,35.8974359,62.39316239,DATAXFER
48019a,rflags,58849,363,masked,<hypre_CSRMatrixMatvecOutOfPlace._omp_fn.6>,add,"add, $0x1,%rdx",1,0,1.040583,35.59322034,62.71186441,INTEGER
46fd20,rflags,63803,1446,crash,<hypre_ParMatmul_RowSizes._omp_fn.0>,cmp,"cmp, %rcx,(%rdi)",0,1,1.129343,35.29411765,63.02521008,CONDITION
484f2f,rcx,64616,545,crash,<hypre_IJMatrixAssembleParCSR._omp_fn.3>,mov,"mov, (%r8,%rdx,1),%rax",0,1,1.143909,35.0,63.33333333,DATAXFER
485865,r8,64773,517,masked,<hypre_IJMatrixSetValuesOMPParCSR._omp_fn.6>,mov,"mov, 0x20(%r13),%rax",1,0,1.146722,34.7107438,63.63636364,DATAXFER
48019e,rax,71508,541,masked,<hypre_CSRMatrixMatvecOutOfPlace._omp_fn.6>,cmp,"cmp, %rax,%rdx",1,0,1.267391,34.42622951,63.93442623,CONDITION
457720,rax,74613,1277,masked,<hypre_BoomerAMGCreate2ndS._omp_fn.10>,jge,"jge, 457720, <hypre_BoomerAMG",1,0,1.323022,34.95934959,63.41463415,UnKnown
484f4c,rdx,75373,1143,crash,<hypre_IJMatrixAssembleParCSR._omp_fn.3>,add,"add, %rdx,%rax",0,1,1.336639,34.67741935,63.70967742,INTEGER
426c5c,rflags,82900,635,masked,<hypre_BoomerAMGBuildMultipass._omp_fn.10>,mov,"mov, (%rax),%rax",1,0,1.471498,34.4,64.0,DATAXFER
411a08,rdx,84621,883,crash,<hypre_BoomerAMGCoarsenPMIS._omp_fn.2>,mov,"mov, 0x18(%rbx),%rsi",0,1,1.502332,34.12698413,64.28571429,DATAXFER
461f41,rcx,85274,454,crash,<hypre_ParCSRRelaxThreads._omp_fn.2>,add,"add, $0x1,%rax",0,1,1.514032,33.85826772,64.56692913,INTEGER
4957a7,rflags,85805,1176,masked,<hypre_Rand>,mov,"mov, %rcx,%rax",1,0,1.523545,33.59375,64.84375,DATAXFER
4115df,rdi,90230,696,crash,<hypre_BoomerAMGCoarsenPMIS._omp_fn.6>,movsd,"movsd, (%rcx,%rdx,8),%xmm0",0,1,1.602827,33.33333333,65.11627907,UnKnown
4.86E+07,rax,90887,464,masked,<hypre_IJMatrixSetValuesOMPParCSR._omp_fn.6>,cmp,"cmp, 0x38(%r13),%rsi",1,0,1.614598,33.07692308,65.38461538,CONDITION
424d9e,rflags,91936,1163,crash,<hypre_BoomerAMGBuildMultipass._omp_fn.5>,mov,"mov, 0x28(%r13),%rdi",0,1,1.633393,32.82442748,65.64885496,DATAXFER
468a4e,rflags,92391,64,crash,<hypre_ParCSRRelaxThreads>,movsd,"movsd, 0x20(%rsp),%xmm6",0,1,1.641545,32.57575758,65.90909091,UnKnown
42523c,rflags,92896,796,crash,<hypre_BoomerAMGBuildMultipass._omp_fn.5>,add,"add, $0x8,%rcx",0,1,1.650593,33.08270677,65.41353383,INTEGER
46184c,rflags,95858,947,crash,<hypre_ParCSRComputeL1NormsThreads._omp_fn.0>,movsd,"movsd, (%rcx,%rax,8),%xmm0",0,1,1.703662,32.8358209,65.67164179,UnKnown
4115ec,rflags,96107,653,crash,<hypre_BoomerAMGCoarsenPMIS._omp_fn.6>,ucomisd,"ucomisd, %xmm2,%xmm0",0,1,1.708123,32.59259259,65.92592593,CONDITION
4115fc,rflags,96579,602,masked,<hypre_BoomerAMGCoarsenPMIS._omp_fn.6>,add,"add, $0x1,%rax",1,0,1.71658,32.35294118,66.17647059,INTEGER
411a16,rflags,97599,264,masked,<hypre_BoomerAMGCoarsenPMIS._omp_fn.2>,add,"add, $0x8,%rcx",1,0,1.734855,32.11678832,66.42335766,INTEGER
411a04,rflags,99190,1463,masked,<hypre_BoomerAMGCoarsenPMIS._omp_fn.2>,mov,"mov, (%rsi,%rcx,1),%r8",1,0,1.76336,31.88405797,66.66666667,DATAXFER
41185e,xmm0,99283,228,masked,<hypre_BoomerAMGCoarsenPMIS._omp_fn.7>,cmp,"cmp, %rcx,(%r10)",1,0,1.765027,31.65467626,66.90647482,CONDITION
482422,rflags,100559,1239,masked,<hypre_SeqVectorCopy._omp_fn.1>,add,"add, $0x1,%rdx",1,0,1.787888,31.42857143,67.14285714,INTEGER
4251b5,rflags,101868,1321,crash,<hypre_BoomerAMGBuildMultipass._omp_fn.5>,add,"add, $0x1,%r10",0,1,1.811341,31.20567376,67.37588652,INTEGER
