IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Dynamic Execution,Masked%,Crash%,INS_type
47e7af,rdx,23186,376,crash,<hypre_CSRMatrixTranspose._omp_fn.1>,mov,"mov, 0x40(%rbx),%r10",0,1,0.0,46.53465346534654,52.47524752475248,DATAXFER
4702fb,rdx,35198,620,crash,<hypre_ParMatmul._omp_fn.4>,add,"add, $0x1,%rcx",0,1,0.082764,46.07843137254902,52.94117647058823,INTEGER
461e90,rcx,42968,496,crash,<hypre_ParCSRRelaxThreads._omp_fn.2>,laxThreads._omp_fn.2>:,laxThreads._omp_fn.2>:,0,1,0.1363,45.63106796116505,53.398058252427184,UnKnown
403e6a,r12,51424,6,masked,<BuildIJLaplacian27pt._omp_fn.0>,sub,"sub, $0x1,%r12",1,0,0.194563,45.19230769230769,53.84615384615385,INTEGER
461f48,rdi,60146,247,crash,<hypre_ParCSRRelaxThreads._omp_fn.2>,mulsd,"mulsd, (%r8,%rdx,8),%xmm1",0,1,0.254658,45.71428571428572,53.333333333333336,FP
461f38,rdx,61239,925,masked,<hypre_ParCSRRelaxThreads._omp_fn.2>,movsd,"movsd, (%rdi,%rax,8),%xmm1",1,0,0.262189,46.22641509433962,52.83018867924528,UnKnown
480190,xmm0,112363,63,crash,<hypre_CSRMatrixMatvecOutOfPlace._omp_fn.6>,mov,"mov, (%rdi,%rdx,8),%rcx",0,1,0.614438,45.794392523364486,53.271028037383175,DATAXFER
424dae,rflags,146817,536,crash,<hypre_BoomerAMGBuildMultipass._omp_fn.5>,cmp,"cmp, %r9,%rdx",0,1,0.85183,46.2962962962963,52.77777777777778,CONDITION
461f4e,xmm0,153188,85,masked,<hypre_ParCSRRelaxThreads._omp_fn.2>,subsd,"subsd, %xmm1,%xmm0",1,0,0.895727,46.78899082568808,52.293577981651374,FP
4044ee,r8,226996,9,masked,<BuildIJLaplacian27pt._omp_fn.0>,mov,"mov, %r14,%r8",1,0,1.404271,46.36363636363637,52.72727272727273,DATAXFER
491647,rdx,233726,232,sdc,<hypre_LowerBound>,shr,"shr, %rcx",0,0,1.450641,45.94594594594594,53.15315315315316,SHIFT
484f28,r8,279809,268,crash,<hypre_IJMatrixAssembleParCSR._omp_fn.3>,cmp,"cmp, %rcx,0x8(%rdi,%rsi,8)",0,1,1.768158,46.42857142857143,52.67857142857143,CONDITION
461f4e,rax,295538,422,crash,<hypre_ParCSRRelaxThreads._omp_fn.2>,subsd,"subsd, %xmm1,%xmm0",0,1,1.876532,46.017699115044245,53.09734513274336,FP
4801a6,rflags,307916,289,masked,<hypre_CSRMatrixMatvecOutOfPlace._omp_fn.6>,addsd,"addsd, %xmm0,%xmm1",1,0,1.961818,46.49122807017544,52.63157894736842,FP
461f3d,rflags,320757,1344,crash,<hypre_ParCSRRelaxThreads._omp_fn.2>,mov,"mov, (%r9,%rax,8),%rdx",0,1,2.050294,46.95652173913044,52.17391304347826,DATAXFER
461f45,rsp,326682,882,crash,<hypre_ParCSRRelaxThreads._omp_fn.2>,cmp,"cmp, %rsi,%rax",0,1,2.091117,47.41379310344828,51.72413793103448,CONDITION
461f38,rdx,347755,240,masked,<hypre_ParCSRRelaxThreads._omp_fn.2>,movsd,"movsd, (%rdi,%rax,8),%xmm1",1,0,2.236312,47.00854700854701,52.136752136752136,UnKnown
40481e,xmm0,350128,839,masked,<BuildIJLaplacian27pt._omp_fn.0>,lea,"lea, 0x0(,%r8,8),%rbx",1,0,2.252663,46.61016949152543,52.54237288135593,INTEGER
