IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Dynamic Execution,Masked%,Crash%,INS_type
492571,r12,770,950,crash,<hypre_UnorderedIntSetCopyToArray._omp_fn.2>,cmp,"cmp, %rdx,0x10(%rsp)",0,1,0.0,36.63366337,0.60199,CONDITION
46fcf5,rflags,2318,817,masked,<hypre_ParMatmul_RowSizes._omp_fn.0>,lea,"lea, (%rbx,%r11,1),%rdi",1,0,0.010649425,36.2745098,0.60697,INTEGER
4115d6,rbx,2797,652,masked,<hypre_BoomerAMGCoarsenPMIS._omp_fn.6>,cmp,"cmp, %rax,(%rdi)",1,0,0.013944693,35.9223301,0.60199,CONDITION
455c9e,rax,2956,1126,masked,<hypre_BoomerAMGCreateS._omp_fn.1>,add,"add, $0x8,%rax",1,0,0.015038529,36.53846154,0.60199,INTEGER
4801a1,xmm1,5703,198,masked,<hypre_CSRMatrixMatvecOutOfPlace._omp_fn.6>,mulsd,"mulsd, (%rsi,%rcx,8),%xmm0",1,0,0.033936443,37.14285714,0.60199,FP
470267,rflags,8319,697,sdc,<hypre_ParMatmul._omp_fn.4>,mov,"mov, 0x10(%rsp),%rbx",0,0,0.051933146,36.79245283,0.60199,DATAXFER
428207,xmm1,9034,1437,masked,<hypre_BoomerAMGBuildMultipass>,add,"add, %rsi,%rdi",1,0,0.056851969,36.44859813,0.60199,INTEGER
424d9e,rax,16443,1189,masked,<hypre_BoomerAMGBuildMultipass._omp_fn.5>,mov,"mov, 0x28(%r13),%rdi",1,0,0.107821989,36.11111111,0.60697,DATAXFER
485871,rflags,19996,735,crash,<hypre_IJMatrixSetValuesOMPParCSR._omp_fn.6>,movsd,"movsd, (%rax,%r8,1),%xmm0",0,1,0.132264758,35.77981651,0.60199,UnKnown
4925f8,rflags,22463,1167,masked,<hypre_UnorderedIntSetCreate._omp_fn.0>,mov,"mov, 0x20(%rdi),%r8",1,0,0.14923642,36.36363636,0.60199,DATAXFER
47e7af,rdx,23186,376,crash,<hypre_CSRMatrixTranspose._omp_fn.1>,mov,"mov, 0x40(%rbx),%r10",0,1,0.154210279,46.53465347,0.60697,DATAXFER
492571,rdi,30787,290,crash,<hypre_UnorderedIntSetCopyToArray._omp_fn.2>,cmp,"cmp, %rdx,0x10(%rsp)",0,1,0.206501158,36.03603604,0.60697,CONDITION
4702fb,rdx,35198,620,crash,<hypre_ParMatmul._omp_fn.4>,add,"add, $0x1,%rcx",0,1,0.236846515,46.07843137,0.60199,INTEGER
484f2f,rax,37333,1083,crash,<hypre_IJMatrixAssembleParCSR._omp_fn.3>,mov,"mov, (%r8,%rdx,1),%rax",0,1,0.251534191,35.71428571,0.59701,DATAXFER
403876,xmm1,40305,345,masked,<BuildIJLaplacian27pt._omp_fn.0>,add,"add, 0x70(%rbx),%rdx",1,0,0.271979987,35.39823009,0.59204,INTEGER
403cc8,rax,41474,575,crash,<BuildIJLaplacian27pt._omp_fn.0>,mov,"mov, 0x8(%rcx),%r8",0,1,0.280022091,35.0877193,0.59204,DATAXFER
4.61E+92,rcx,42968,496,crash,<hypre_ParCSRRelaxThreads._omp_fn.2>,laxThreads._omp_fn.2>:,laxThreads._omp_fn.2>:,0,1,0.290300025,45.63106796,0.59204,UnKnown
403e6a,r12,51424,6,masked,<BuildIJLaplacian27pt._omp_fn.0>,sub,"sub, $0x1,%r12",1,0,0.348472853,45.19230769,0.59701,INTEGER
4924f9,rflags,54028,1099,crash,<hypre_UnorderedIntSetCopyToArray._omp_fn.2>,cmp,"cmp, %rsi,%rax",0,1,0.366387002,35.65217391,0.60199,CONDITION
480344,rdx,54794,708,crash,<hypre_CSRMatrixMatvecOutOfPlace._omp_fn.6>,mov,"mov, 0x8(%r9,%rbx,8),%rcx",0,1,0.371656679,36.20689655,0.59701,DATAXFER
428227,rax,55476,912,crash,<hypre_BoomerAMGBuildMultipass>,mov,"mov, 0x168(%rsp),%rcx",0,1,0.37634848,35.8974359,0.59204,DATAXFER
48019a,rflags,58849,363,masked,<hypre_CSRMatrixMatvecOutOfPlace._omp_fn.6>,add,"add, $0x1,%rdx",1,0,0.399552944,35.59322034,0.59204,INTEGER
461f48,rdi,60146,247,crash,<hypre_ParCSRRelaxThreads._omp_fn.2>,mulsd,"mulsd, (%r8,%rdx,8),%xmm1",0,1,0.408475621,45.71428571,0.59204,FP
461f38,rdx,61239,925,masked,<hypre_ParCSRRelaxThreads._omp_fn.2>,movsd,"movsd, (%rdi,%rax,8),%xmm1",1,0,0.415994886,46.22641509,0.59701,UnKnown
46fd20,rflags,63803,1446,crash,<hypre_ParMatmul_RowSizes._omp_fn.0>,cmp,"cmp, %rcx,(%rdi)",0,1,0.433633856,35.29411765,0.59701,CONDITION
484f2f,rcx,64616,545,crash,<hypre_IJMatrixAssembleParCSR._omp_fn.3>,mov,"mov, (%r8,%rdx,1),%rax",0,1,0.439226868,35.0,0.59701,DATAXFER
485865,r8,64773,517,masked,<hypre_IJMatrixSetValuesOMPParCSR._omp_fn.6>,mov,"mov, 0x20(%r13),%rax",1,0,0.440306946,34.7107438,0.59204,DATAXFER
48019e,rax,71508,541,masked,<hypre_CSRMatrixMatvecOutOfPlace._omp_fn.6>,cmp,"cmp, %rax,%rdx",1,0,0.4866402,34.42622951,0.59204,CONDITION
457720,rax,74613,1277,masked,<hypre_BoomerAMGCreate2ndS._omp_fn.10>,jge,"jge, 457720, <hypre_BoomerAMG",1,0,0.508000965,34.95934959,0.59701,UnKnown
484f4c,rdx,75373,1143,crash,<hypre_IJMatrixAssembleParCSR._omp_fn.3>,add,"add, %rdx,%rax",0,1,0.513229365,34.67741935,0.59701,INTEGER
426c5c,rflags,82900,635,masked,<hypre_BoomerAMGBuildMultipass._omp_fn.10>,mov,"mov, (%rax),%rax",1,0,0.565011163,34.4,0.60199,DATAXFER
411a08,rdx,84621,883,crash,<hypre_BoomerAMGCoarsenPMIS._omp_fn.2>,mov,"mov, 0x18(%rbx),%rsi",0,1,0.576850737,34.12698413,0.60199,DATAXFER
461f41,rcx,85274,454,crash,<hypre_ParCSRRelaxThreads._omp_fn.2>,add,"add, $0x1,%rax",0,1,0.581343033,33.85826772,0.60199,INTEGER
4957a7,rflags,85805,1176,masked,<hypre_Rand>,mov,"mov, %rcx,%rax",1,0,0.584996033,33.59375,0.60199,DATAXFER
4115df,rdi,90230,696,crash,<hypre_BoomerAMGCoarsenPMIS._omp_fn.6>,movsd,"movsd, (%rcx,%rdx,8),%xmm0",0,1,0.615437704,33.33333333,0.60697,UnKnown
4.86E+07,rax,90887,464,masked,<hypre_IJMatrixSetValuesOMPParCSR._omp_fn.6>,cmp,"cmp, 0x38(%r13),%rsi",1,0,0.619957518,33.07692308,0.60697,CONDITION
424d9e,rflags,91936,1163,crash,<hypre_BoomerAMGBuildMultipass._omp_fn.5>,mov,"mov, 0x28(%r13),%rdi",0,1,0.627174086,32.82442748,0.61194,DATAXFER
468a4e,rflags,92391,64,crash,<hypre_ParCSRRelaxThreads>,movsd,"movsd, 0x20(%rsp),%xmm6",0,1,0.630304246,32.57575758,0.61194,UnKnown
42523c,rflags,92896,796,crash,<hypre_BoomerAMGBuildMultipass._omp_fn.5>,add,"add, $0x8,%rcx",0,1,0.63377838,33.08270677,0.61692,INTEGER
46184c,rflags,95858,947,crash,<hypre_ParCSRComputeL1NormsThreads._omp_fn.0>,movsd,"movsd, (%rcx,%rax,8),%xmm0",0,1,0.654155381,32.8358209,0.61692,UnKnown
4115ec,rflags,96107,653,crash,<hypre_BoomerAMGCoarsenPMIS._omp_fn.6>,ucomisd,"ucomisd, %xmm2,%xmm0",0,1,0.65586837,32.59259259,0.61692,CONDITION
4115fc,rflags,96579,602,masked,<hypre_BoomerAMGCoarsenPMIS._omp_fn.6>,add,"add, $0x1,%rax",1,0,0.659115481,32.35294118,0.61692,INTEGER
411a16,rflags,97599,264,masked,<hypre_BoomerAMGCoarsenPMIS._omp_fn.2>,add,"add, $0x8,%rcx",1,0,0.666132544,32.11678832,0.61692,INTEGER
411a04,rflags,99190,1463,masked,<hypre_BoomerAMGCoarsenPMIS._omp_fn.2>,mov,"mov, (%rsi,%rcx,1),%r8",1,0,0.677077787,31.88405797,0.62189,DATAXFER
41185e,xmm0,99283,228,masked,<hypre_BoomerAMGCoarsenPMIS._omp_fn.7>,cmp,"cmp, %rcx,(%r10)",1,0,0.677717578,31.65467626,0.61692,CONDITION
482422,rflags,100559,1239,masked,<hypre_SeqVectorCopy._omp_fn.1>,add,"add, $0x1,%rdx",1,0,0.686495786,31.42857143,0.61692,INTEGER
4251b5,rflags,101868,1321,crash,<hypre_BoomerAMGBuildMultipass._omp_fn.5>,add,"add, $0x1,%r10",0,1,0.695501017,31.20567376,0.61692,INTEGER
461f45,rflags,101958,587,crash,<hypre_ParCSRRelaxThreads._omp_fn.2>,cmp,"cmp, %rsi,%rax",0,1,0.69612017,30.98591549,0.62189,CONDITION
461f45,rax,103662,190,masked,<hypre_ParCSRRelaxThreads._omp_fn.2>,cmp,"cmp, %rsi,%rax",1,0,0.707842792,30.76923077,0.62189,CONDITION
42822f,rdi,105015,1447,masked,<hypre_BoomerAMGBuildMultipass>,mov,"mov, (%rdx,%rax,8),%rsi",1,0,0.71715072,31.25,0.62189,DATAXFER
480360,rax,106776,115,crash,<hypre_CSRMatrixMatvecOutOfPlace._omp_fn.6>,mov,"mov, (%rdi,%rdx,8),%rax",0,1,0.729265473,31.03448276,0.62189,DATAXFER
461f45,rflags,106865,421,crash,<hypre_ParCSRRelaxThreads._omp_fn.2>,cmp,"cmp, %rsi,%rax",0,1,0.729877746,31.50684932,0.62687,CONDITION
428222,r8,106998,311,crash,<hypre_BoomerAMGBuildMultipass>,cmp,"cmp, %rax,(%rdi)",0,1,0.730792716,31.29251701,0.63184,CONDITION
461f4e,r11,108436,165,masked,<hypre_ParCSRRelaxThreads._omp_fn.2>,subsd,"subsd, %xmm1,%xmm0",1,0,0.740685399,31.08108108,0.63184,FP
