IP,REG,fi,seg,result_class,FUC,INS,INS_FULL,Masked,Crash,Dynamic Execution,Masked%,Crash%,INS_type
401685,rflags,5620,4264,masked,<create_matrix>,cmp,"cmp, %edx,%edi",1,0,0,80.1980198,19.8019802,CONDITION
401685,rflags,19421,4954,masked,<create_matrix>,cmp,"cmp, %edx,%edi",1,0,0.017176,80.39215686,19.60784314,CONDITION
401685,rflags,45361,3517,masked,<create_matrix>,cmp,"cmp, %edx,%edi",1,0,0.049461,80.58252427,19.41747573,CONDITION
401685,rflags,49219,2152,masked,<create_matrix>,cmp,"cmp, %edx,%edi",1,0,0.054262,80.76923077,19.23076923,CONDITION
401676,rcx,92290,996,masked,<create_matrix>,add,"add, $0x4,%rcx",1,0,0.107867,80.95238095,19.04761905,INTEGER
401670,r8,139025,502,crash,<create_matrix>,movslq,"movslq, %edx,%r8",0,1,0.166032,81.13207547,18.86792453,DATAXFER
401673,rdx,140002,2195,masked,<create_matrix>,add,"add, $0x1,%edx",1,0,0.167248,81.30841121,18.69158879,INTEGER
401685,rflags,151779,1442,masked,<create_matrix>,cmp,"cmp, %edx,%edi",1,0,0.181906,81.48148148,18.51851852,CONDITION
401676,rcx,154274,776,crash,<create_matrix>,add,"add, $0x4,%rcx",0,1,0.185011,81.65137615,18.34862385,INTEGER
40167a,xmm0,184858,2343,masked,<create_matrix>,movss,"movss, (%rbx,%r8,4),%xmm0",1,0,0.223075,81.81818182,18.18181818,DATAXFER
401676,rcx,192248,1444,masked,<create_matrix>,add,"add, $0x4,%rcx",1,0,0.232272,81.98198198,18.01801802,INTEGER
401670,r8,200658,684,crash,<create_matrix>,movslq,"movslq, %edx,%r8",0,1,0.242739,82.14285714,17.85714286,DATAXFER
401673,rdx,205077,3202,masked,<create_matrix>,add,"add, $0x1,%edx",1,0,0.248239,81.4159292,18.5840708,INTEGER
401676,rcx,222046,2314,crash,<create_matrix>,add,"add, $0x4,%rcx",0,1,0.269358,81.57894737,18.42105263,INTEGER
401676,rcx,236793,1618,crash,<create_matrix>,add,"add, $0x4,%rcx",0,1,0.287712,81.73913043,18.26086957,INTEGER
